13H7.	Pregnancy unwanted
ZV235	[V]Pregnancy with other poor reproductive history
ZV236	[V]Supervision of pregnancy with history of insufficient antenatal care
ZV237	[V]Supervision of very young primigravida
ZV238	[V]Supervision of high-risk pregnancy due to social problems
ZV23y	[V]Other specified high-risk pregnancy
ZV23z	[V]Unspecified high-risk pregnancy
ZV256	[V]Failed interruption of fallopian tubes
ZV257	[V]Failed interruption of vas deferens
ZV28.	[V]Antenatal screening
ZV280	[V]Amniocentesis to screen for chromosomal anomalies
ZV281	[V]Amniotic fluid to screen for alpha-fetoprotein levels
ZV282	[V]Other screening based on amniocentesis
ZV283	[V]Screening for malformations using ultrasonics
ZV284	[V]Screening for fetal growth retardation using ultrasonics
ZV285	[V]Screening for isoimmunisation
ZV28y	[V]Other specified antenatal screening
ZV28z	[V]Unspecified antenatal screening
ZV4J0	[V]Problems related to unwanted pregnancy
ZV616	[V]Multiparity
ZV618	[V]Illegitimate pregnancy
ZV619	[V]Other unwanted pregnancy
ZV682	[V]Expert advice request
ZVu23	[X]Supervision of other normal pregnancy
ZVu24	[X]Supervision of pregnancy with other poor reproductive obstetric history
ZVu25	[X]Supervision of other high-risk pregnancies
ZVu26	[X]Other antenatal screening based on amniocentesis
ZVu27	[X]Antenatal screening for malformations using ultrasonics and other physical methods
ZVu29	[X]Other antenatal screening
