Xa5dk	Allergy to over-the-counter drug
Xa5Uc	Cefuroxime adverse reaction
Xa5Ub	Cefaclor adverse reaction
Xa5UT	First generation cephalosporin adverse reaction
Xa5UZ	Latamoxef adverse reaction
Xa5UY	Cephradine adverse reaction
Xa5UX	Cephazolin adverse reaction
Xa5UW	Cephalothin adverse reaction
Xa5UV	Cephalexin adverse reaction
Xa5UU	Cefadroxil adverse reaction
Xa5UR	Carbapenem adverse reaction
Xa5UO	Polymyxins adverse reaction
Xa5UQ	Polymyxin B adverse reaction
Xa5UP	Colistin adverse reaction
Xa5To	Penicillin adverse reaction
Xa5UH	Combined penicillin preparation adverse reaction
Xa5UN	Ticarcillin and clavulanic acid adverse reaction
Xa5UM	Pivampicillin and pivmecillinam adverse reaction
Xa5UL	Piperacillin and tazobactam adverse reaction
Xa5UK	Co-fluampicil adverse reaction
Xa5UJ	Co-amoxiclav adverse reaction
Xa5UI	Ampicillin and cloxacillin adverse reaction
Xa5UG	Pivmecillinam adverse reaction
Xa5UF	Mecillinam adverse reaction
Xa5U9	Antipseudomonal penicillins adverse reaction
Xa5UE	Carfecillin adverse reaction
Xa5UD	Ticarcillin adverse reaction
Xa5UC	Azlocillin adverse reaction
Xa5UB	Piperacillin adverse reaction
Xa5UA	Temocillin adverse reaction
Xa5U0	Broad spectrum penicillins adverse reaction
Xa5U8	Talampicillin adverse reaction
Xa5U7	Bacampicillin adverse reaction
Xa5U6	Carbenicillin adverse reaction
Xa5U5	Pivampicillin adverse reaction
Xa5U4	Mezlocillin adverse reaction
Xa5U3	Ciclacillin adverse reaction
Xa5U2	Ampicillin adverse reaction
Xa5U1	Amoxycillin adverse reaction
Xa5Tw	Penicillinase-resistant penicillins adverse reaction
Xa5Tz	Methicillin adverse reaction
Xa5Ty	Flucloxacillin adverse reaction
Xa5Tx	Cloxacillin adverse reaction
Xa5Tp	Penicillinase-sensitive penicillins adverse reaction
Xa5Tv	Benzylpenicillin adverse reaction
Xa5Tu	Procaine penicillin adverse reaction
Xa5Tt	Phenoxymethylpenicillin adverse reaction
Xa5Ts	Phenethicillin adverse reaction
Xa5Tr	Benzathine penicillin adverse reaction
Xa5Tq	Benethamine penicillin adverse reaction
Xa5Tf	4-quinolones adverse reaction
Xa5Tn	Temafloxacin adverse reaction
Xa5Tm	Norfloxacin adverse reaction
Xa5Tl	Ofloxacin adverse reaction
Xa5Tk	Enoxacin adverse reaction
Xa5Tj	Ciprofloxacin adverse reaction
Xa5Ti	Nalidixic acid adverse reaction
Xa5Th	Cinoxacin adverse reaction
Xa5Tg	Acrosoxacin adverse reaction
Xa5Te	Fusidic acid adverse reaction
Xa5Td	Nitrofurazone adverse reaction
Xa5Tc	Mupirocin adverse reaction
Xa5Tb	Hexamine hippurate adverse reaction
Xa5Ta	Nitrofurantoin adverse reaction
Xa5TZ	Trimethoprim adverse reaction
Xa5TY	Teicoplanin adverse reaction
Xa5TX	Vancomycin adverse reaction
Xa5TW	Spectinomycin adverse reaction
Xa5TV	Sodium fusidate adverse reaction
Xa5TR	Macrolide adverse reaction
Xa5TU	Azithromycin adverse reaction
Xa5TT	Clarithromycin adverse reaction
Xa5TS	Erythromycin adverse reaction
Xa5TI	Aminoglycosides adverse reaction
Xa5TQ	Tobramycin adverse reaction
Xa5TP	Gentamicin adverse reaction
Xa5TO	Neomycin adverse reaction
Xa5TN	Framycetin adverse reaction
Xa5TM	Streptomycin adverse reaction
Xa5TL	Netilmicin adverse reaction
Xa5TK	Kanamycin adverse reaction
Xa5TJ	Amikacin adverse reaction
Xa5T7	Anthelmintics adverse reaction
Xa5TD	Benzimidazole anthelmintic adverse reaction
Xa5TG	Thiabendazole adverse reaction
Xa5TF	Albendazole adverse reaction
Xa5TE	Mebendazole adverse reaction
Xa5TC	Diethylcarbamazine adverse reaction
Xa5TB	Bephenium adverse reaction
Xa5TA	Niclosamide adverse reaction
Xa5T9	Pyrantel adverse reaction
Xa5T8	Piperazine adverse reaction
Xa5SM	Disinfectants and cleansers adverse reaction
Xa5T6	Hydrogen peroxide adverse reaction
Xa5T1	Disinfectant dye adverse reaction
Xa5T3	Triphenylmethane azo disinfectant dye adverse reaction
Xa5T5	Brilliant green adverse reaction
Xa5T4	Crystal violet adverse reaction
Xa5T2	Acridine azo disinfectant dye adverse reaction
Xa5Ss	Cationic surfactant adverse reaction
Xa5Sz	Quaternary quinolinium surfactant adverse reaction
Xa5T0	Dequalinium adverse reaction
Xa5Sx	Quaternary pyridinium surfactant adverse reaction
Xa5Sy	Cetylpyridinium adverse reaction
Xa5St	Quaternary ammonium surfactant adverse reaction
Xa5Sw	Domiphen adverse reaction
Xa5Sv	Benzalkonium adverse reaction
Xa5Su	Cetrimide adverse reaction
Xa5Sq	Borate adverse reaction
Xa5Sr	Boric acid adverse reaction
Xa5Sn	Biguanide disinfectant adverse reaction
Xa5Sp	Chlorhexidine hydrochloride and neomycin sulphate adverse reaction
Xa5So	Chlorhexidine adverse reaction
Xa5Sk	Amidine disinfectant adverse reaction
Xa5Sm	Dibromopropamidine isethionate adverse reaction
Xa5Sl	Propamidine isethionate adverse reaction
Xa5Sf	Aldehyde disinfectant adverse reaction
Xa5Sh	Formaldehyde and related compounds adverse reaction
Xa5Sj	Formaldehyde adverse reaction
Xa5Si	Noxythiolin adverse reaction
Xa5Sg	Glutaraldehyde adverse reaction
Xa5Sc	Alcoholic disinfectant adverse reaction
Xa5Sd	Alcohol products adverse reaction
Xa5Se	Industrial methylated spirit adverse reaction
Xa5SV	Phenolics adverse reaction
Xa5Sb	Phenol adverse reaction
Xa5SX	Chlorinated phenol disinfectant adverse reaction
Xa5Sa	Triclosan adverse reaction
Xa5SZ	Hexachlorophane adverse reaction
Xa5SY	Chloroxylenol adverse reaction
Xa5SW	Thymol adverse reaction
Xa5SU	Bismuth subnitrate and iodoform paste impregnated gauze adverse reaction
Xa5ST	Potassium permanganate adverse reaction
Xa5SS	Chlorinated solutions adverse reaction
Xa5SR	Sodium perborate adverse reaction
Xa5SQ	Hexetidine adverse reaction
Xa5SP	Polynoxylin adverse reaction
Xa5SO	Hydragaphen adverse reaction
Xa5SN	Acetic acid adverse reaction
Xa5SL	Anti-infective nasal preparations adverse reaction
Xa5SK	Lactobacill acidophil vaccine adverse reaction
Xa5S6	Antimalarial drug adverse reaction
Xa5SJ	Mepacrine adverse reaction
Xa5SI	Halofantrine adverse reaction
Xa5SG	Cinchona antimalarial adverse reaction
Xa5SH	Quinine adverse reaction
Xa5SE	Biguanide antimalarial adverse reaction
Xa5SF	Proguanil adverse reaction
Xa5S8	Aminoquinoline antimalarial adverse reaction
Xa5SD	Chloroquine adverse reaction
Xa5SC	[X]Hydroxychloroquine adverse reaction
Xa5SB	Mefloquine adverse reaction
Xa5SA	Primaquine adverse reaction
Xa5S9	Amodiaquine adverse reaction
Xa5S7	Pyrimethamine adverse reaction
Xa5Rm	Antiviral drug adverse reaction
Xa5S4	Idoxuridine adverse reaction
Xa5S5	Idoxuridine in dimethylsulphoxide adverse reaction
Xa5S3	Aciclovir adverse reaction
Xa5S2	Vidarabine adverse reaction
Xa5S1	Foscarnet adverse reaction
Xa5S0	Trifluorothymidine adverse reaction
Xa5Rz	Tribavirin adverse reaction
Xa5Ru	Interferons adverse reaction
Xa5Ry	Interferon-A-N1 adverse reaction
Xa5Rx	Interferon-A-2b adverse reaction
Xa5Rw	Interferon-A-2a adverse reaction
Xa5Rv	Human interferon gamma-1b adverse reaction
Xa5Rt	Valaciclovir adverse reaction
Xa5Rs	Zalcitabine adverse reaction
Xa5Rr	Didanosine adverse reaction
Xa5Rq	Famciclovir adverse reaction
Xa5Rp	Ganciclovir adverse reaction
Xa5Ro	Zidovudine adverse reaction
Xa5Rn	Inosine pranobex adverse reaction
Xa5RN	Antifungal drug adverse reaction
Xa5RY	Azole antifungal adverse reaction
Xa5Rj	Triazole antifungals adverse reaction
Xa5Rl	Itraconazole adverse reaction
Xa5Rk	Fluconazole adverse reaction
Xa5Ra	Imidazole antifungal adverse reaction
Xa5Ri	Miconazole adverse reaction
Xa5Rh	Ketoconazole adverse reaction
Xa5Rg	Sulconazole adverse reaction
Xa5Rf	Isoconazole adverse reaction
Xa5Re	Econazole adverse reaction
Xa5Rd	Tioconazole adverse reaction
Xa5Rc	Fenticonazole adverse reaction
Xa5Rb	Clotrimazole adverse reaction
Xa5RZ	Undecenoates adverse reaction
Xa5RT	Antibiotic antifungal adverse reaction
Xa5RX	Nystatin adverse reaction
Xa5RW	Natamycin adverse reaction
Xa5RV	Amphotericin adverse reaction
Xa5RU	Griseofulvin adverse reaction
Xa5RS	Amorolfine adverse reaction
Xa5RR	Tolnaftate adverse reaction
Xa5RQ	Nitrophenol adverse reaction
Xa5RP	Terbinafine adverse reaction
Xa5RO	Flucytosine adverse reaction
Xa5Qw	Adverse reaction to bases and inactive substances
Xa5RD	Viscosity modifier adverse reaction
Xa5RG	Cellulose-derived viscosity modifier adverse reaction
Xa5RL	Carmellose adverse reaction
Xa5RK	Hydroxypropylmethylcellulose adverse reaction
Xa5RJ	Hydroxyethylcellulose adverse reaction
Xa5RH	Hypromellose adverse reaction
Xa5RI	Hypromellose eye drops adverse reaction
Xa5RF	Carbomer-940 adverse reaction
Xa5RE	Polyvinyl alcohol adverse reaction
Xa5R4	Base adverse reaction
Xa5RC	Wool alcohol adverse reaction
Xa5RA	Silicone adverse reaction
Xa5RB	Dimethicone adverse reaction
Xa5R6	Paraffin adverse reaction
Xa5R9	Liquid paraffin adverse reaction
Xa5R8	Paraffin-white soft adverse reaction
Xa5R7	Paraffin-yellow soft adverse reaction
Xa5R5	Barrier preparation adverse reaction
Xa5R3	Lubricant adverse reaction
Xa5R1	Glycerol/glycol/macrogol adverse reaction
Xa5R2	Glycerol adverse reaction
Xa5Qx	Fixed oil adverse reaction
Xa5R0	Castor oil adverse reaction
Xa5Qz	Arachis oil adverse reaction
Xa5Qy	Olive oil adverse reaction
Xa5Qo	Miscellaneous topical preparations adverse reaction
Xa5Qv	Topical zinc adverse reaction
Xa5Qu	Ear wax removal preparation adverse reaction
Xa5Qt	Sucrose adverse reaction
Xa5Qs	Haemorrhoid preparation adverse reaction
Xa5Qr	Citrate adverse reaction
Xa5Qq	Circulatory topical preparations adverse reaction
Xa5Qp	Dimethyl-ether propane adverse reaction
Xa5Qg	Miscellaneous fluids and solutions adverse reaction
Xa5Qn	Cardioplegia solution adverse reaction
Xa5Qj	Dialysis fluid adverse reaction
Xa5Qm	Haemofiltration solution adverse reaction
Xa5Ql	Haemodialysis fluid adverse reaction
Xa5Qk	Peritoneal dialysis solution adverse reaction
Xa5Qi	Glycine adverse reaction
Xa5Qh	Sodium hyaluronate adverse reaction
Xa5Qc	Alternative medicines adverse reaction
Xa5Qf	Herbal medicine adverse reaction
Xa5Qe	Anthroposophical medicine adverse reaction
Xa5Qd	Homoeopathic medicine adverse reaction
Xa5Q8	Chelating agents and antidotes adverse reaction
Xa5QS	Chelating agent adverse reaction
Xa5Qb	Penicillamine adverse reaction
Xa5Qa	Trientine adverse reaction
Xa5QV	Edetate adverse reaction
Xa5QZ	Disodium edetate adverse reaction
Xa5QY	Trisodium edetate adverse reaction
Xa5QX	Sodium calciumedetate adverse reaction
Xa5QW	Dicobalt edetate adverse reaction
Xa5QU	Desferrioxamine adverse reaction
Xa5QT	Dimercaprol adverse reaction
Xa5Q9	Antidote adverse reaction
Xa5QP	Antidotes for pesticides adverse reaction
Xa5QR	Bentonite powder adverse reaction
Xa5QQ	Fullers earth powder adverse reaction
Xa5QO	Protamine adverse reaction
Xa5QL	Opioid antagonist adverse reaction
Xa5QN	Naloxone adverse reaction
Xa5QM	Naltrexone adverse reaction
Xa5QK	Hydrofluoric acid burn antidote adverse reaction
Xa5QI	Cholinesterase reactivator adverse reaction
Xa5QJ	Pralidoxime adverse reaction
Xa5QG	Benzodiazepine antagonist adverse reaction
Xa5QH	Flumazenil adverse reaction
Xa5QF	Mesna adverse reaction
Xa5QE	Digoxin specific antibody adverse reaction
Xa5QD	Sodium thiosulphate adverse reaction
Xa5QC	Sodium nitrite adverse reaction
Xa5QB	Charcoal activated adverse reaction
Xa5QA	Ipecacuanha adverse reaction
Xa5Pq	Drug groups primarily used in obstets, gynae. and urinary tract disorders adverse reaction
Xa5Q7	Terpenes adverse reaction
Xa5Pw	Prostaglandin adverse reaction
Xa5Q5	I series prostaglandin adverse reaction
Xa5Q6	Epoprostenol adverse reaction
Xa5Q2	F series prostaglandin adverse reaction
Xa5Q4	Carboprost adverse reaction
Xa5Q3	Dinoprost adverse reaction
Xa5Py	E series prostaglandin adverse reaction
Xa5Q1	Alprostadil adverse reaction
Xa5Q0	Gemeprost adverse reaction
Xa5Pz	Dinoprostone adverse reaction
Xa5Px	A series prostaglandin adverse reaction
Xa5Ps	Non-ionic surfactant adverse reaction
Xa5Pv	p-di-isobutylphenoxypolyethox. adverse reaction
Xa5Pu	Octoxinol adverse reaction
Xa5Pt	Nonoxinol adverse reaction
Xa5Pr	Mifepristone adverse reaction
Xa5PK	Drug groups primarily affecting the musculoskeletal system adverse reaction
Xa5Pn	Smooth muscle relaxant adverse reaction
Xa5Pp	Flavoxate adverse reaction
Xa5Po	Papaverine adverse reaction
Xa5Pk	Gold adverse reaction
Xa5Pm	Auranofin adverse reaction
Xa5Pl	Sodium aurothiomalate adverse reaction
Xa5PT	Skeletal muscle relaxant adverse reaction
Xa5Pj	Dantrolene adverse reaction
Xa5Pi	Methocarbamol adverse reaction
Xa5Ph	Carisoprodol adverse reaction
Xa5Pg	Baclofen adverse reaction
Xa5PU	Neuromuscular transmission drug adverse reaction
Xa5PX	Non-depolarising muscle relaxant adverse reaction
Xa5Pf	Rocuronium adverse reaction
Xa5Pe	Vecuronium adverse reaction
Xa5Pd	Tubocurarine adverse reaction
Xa5Pc	Pancuronium adverse reaction
Xa5Pb	Gallamine adverse reaction
Xa5Pa	Atracurium adverse reaction
Xa5PZ	Alcuronium adverse reaction
Xa5PY	Mivacurium adverse reaction
Xa5PV	Depolarising muscle relaxant adverse reaction
Xa5PW	Suxamethonium adverse reaction
Xa5PL	Drug for the treatment of gout adverse reaction
Xa5PR	Xanthine oxidase inhibitor adverse reaction
Xa5PS	Allopurinol adverse reaction
Xa5PO	Uricosuric agent adverse reaction
Xa5PQ	Sulphinpyrazone adverse reaction
Xa5PP	Probenecid adverse reaction
Xa5PM	Colchicum alkaloid adverse reaction
Xa5PN	Colchicine adverse reaction
Xa5OX	Drug groups and agents primarily acting on the skin adverse reaction
Xa5PF	Retinoid adverse reaction
Xa5PJ	Isotretinoin adverse reaction
Xa5PI	Tretinoin adverse reaction
Xa5PH	Acitretin adverse reaction
Xa5PG	Etretinate adverse reaction
Xa5PD	Oral dermatological agent adverse reaction
Xa5PE	Gamolenic acid adverse reaction
Xa5OY	Topical dermatological preparation adverse reaction
Xa5PC	Silver nitrate adverse reaction
Xa5PB	Benzoyl peroxide adverse reaction
Xa5PA	Topical abrasive agent adverse reaction
Xa5P9	Topical salicylic acid adverse reaction
Xa5P8	Crotamiton adverse reaction
Xa5P7	Topical selenium adverse reaction
Xa5P5	Astringent adverse reaction
Xa5P6	Aluminium astringent adverse reaction
Xa5P3	Anionic surfactant adverse reaction
Xa5P4	Alkali metal soap adverse reaction
Xa5P2	Poultices adverse reaction
Xa5P1	Emollient adverse reaction
Xa5P0	Counter irritants adverse reaction
Xa5Oz	Collodion adverse reaction
Xa5Ox	Surgical tissue adhesive adverse reaction
Xa5Oy	Enbucrilate adverse reaction
Xa5Ov	Desloughing agents adverse reaction
Xa5Ow	Aserbine adverse reaction
Xa5Ou	Benzoic acid adverse reaction
Xa5Ot	Camouflaging preparations adverse reaction
Xa5Os	Sunscreening preparations adverse reaction
Xa5Or	Podophyllotoxin adverse reaction
Xa5Oq	Podophyllum resin adverse reaction
Xa5Op	Bromine complexes adverse reaction
Xa5Oo	Azelaic acid adverse reaction
Xa5On	Sulphur adverse reaction
Xa5Om	Calcipotriol adverse reaction
Xa5Ol	Ichthammol adverse reaction
Xa5Oh	Dithranol adverse reaction
Xa5Ok	Dithranol paste adverse reaction
Xa5Oj	Dithranol cream adverse reaction
Xa5Oi	Dithranol ointment adverse reaction
Xa5Og	Bufexamac adverse reaction
Xa5Od	Coal tar adverse reaction
Xa5Of	Coal tar bath preparations adverse reaction
Xa5Oe	Coal tar scalp preparations adverse reaction
Xa5Oc	Calamine adverse reaction
Xa5Ob	Dusting powders adverse reaction
Xa5Oa	Emollient bath additives adverse reaction
Xa5OZ	Urea creams adverse reaction
Xa5NN	Drug groups primarily affecting the respiratory system adverse reaction
Xa5OW	Adverse reaction to inhaled corticosteroids
Xa5OV	Bronchodilator preparations adverse reaction
Xa5OR	Xanthine adverse reaction
Xa5OU	Theophylline adverse reaction
Xa5OT	Choline theophyllinate adverse reaction
Xa5OS	Aminophylline adverse reaction
Xa5OH	Cough/decongestant preparation adverse reaction
Xa5OQ	Expectorant adverse reaction
Xa5OP	Proprietary decongestant adverse reaction
Xa5OI	Cough suppressant adverse reaction
Xa5OO	Compound cough suppressant adverse reaction
Xa5OK	Morphinian cough suppressant adverse reaction
Xa5ON	Pholcodine adverse reaction
Xa5OM	Noscapine adverse reaction
Xa5OL	Dextromethorphan hydrobromide adverse reaction
Xa5OJ	Isoaminile adverse reaction
Xa5Ne	Antiallergenic drug adverse reaction
Xa5OC	Cromoglycate and related antiallergenic adverse reaction
Xa5OG	Lodoxamide adverse reaction
Xa5OF	Ketotifen adverse reaction
Xa5OE	Sodium cromoglycate adverse reaction
Xa5OD	Nedocromil adverse reaction
Xa5Ng	H1 antihistamine adverse reaction
Xa5No	Sedating antihistamine adverse reaction
Xa5OB	Trimeprazine adverse reaction
Xa5OA	Triprolidine adverse reaction
Xa5O9	Pheniramine adverse reaction
Xa5O8	Phenindamine adverse reaction
Xa5O7	Mepyramine adverse reaction
Xa5O6	Hydroxyzine adverse reaction
Xa5O5	Diphenylpyraline adverse reaction
Xa5O4	Diphenhydramine adverse reaction
Xa5O3	Dimethindene adverse reaction
Xa5O2	Cyproheptadine adverse reaction
Xa5O1	Cinnarizine adverse reaction
Xa5O0	Chlorpheniramine adverse reaction
Xa5Nz	Brompheniramine adverse reaction
Xa5Ny	Azatadine adverse reaction
Xa5Nx	Promethazine adverse reaction
Xa5Nw	Antazoline adverse reaction
Xa5Nv	Meclozine hydrochloride adverse reaction
Xa5Nu	Dimenhydrinate adverse reaction
Xa5Nt	Cyclizine adverse reaction
Xa5Ns	Oxatomide adverse reaction
Xa5Nr	Mequitazine adverse reaction
Xa5Nq	Mebhydrolin adverse reaction
Xa5Np	Clemastine adverse reaction
Xa5Nh	Non-sedating antihistamine adverse reaction
Xa5Nn	Cetirizine adverse reaction
Xa5Nm	Azelastine adverse reaction
Xa5Nl	Loratadine adverse reaction
Xa5Nk	Acrivastine adverse reaction
Xa5Nj	Terfenadine adverse reaction
Xa5Ni	Astemizole adverse reaction
Xa5Nf	Topical antihistamine adverse reaction
Xa5NZ	Respiratory surfactant adverse reaction
Xa5Nd	Colfosceril adverse reaction
Xa5Nc	Pumactant adverse reaction
Xa5Nb	Phospholipid fraction adverse reaction
Xa5Na	Beractant adverse reaction
Xa5NV	Respiratory stimulant adverse reaction
Xa5NY	Doxapram adverse reaction
Xa5NX	Ethamivan adverse reaction
Xa5NW	Nikethamide adverse reaction
Xa5NP	Mucolytics adverse reaction
Xa5NU	Acetylcysteine adverse reaction
Xa5NT	Methylcysteine adverse reaction
Xa5NS	Carbocisteine adverse reaction
Xa5NR	Bromhexine hydrochloride adverse reaction
Xa5NQ	Tyloxapol adverse reaction
Xa5NO	Dornase alfa adverse reaction
Xa5LK	Drug groups primarily affecting the autonomic nervous system adverse reaction
Xa5My	Anticholinergic adverse reaction
Xa5Mz	Antimuscarinic adverse reaction
Xa5NM	Procyclidine adverse reaction
Xa5NL	Oxybutynin adverse reaction
Xa5NK	Oxitropium adverse reaction
Xa5NH	Orphenadrine adverse reaction
Xa5NJ	Orphenadrine citrate adverse reaction
Xa5NI	Orphenadrine hydrochloride adverse reaction
Xa5NG	Methixene adverse reaction
Xa5NF	Ipratropium adverse reaction
Xa5NE	Homatropine adverse reaction
Xa5ND	Glycopyrronium adverse reaction
Xa5NC	Cyclopentolate adverse reaction
Xa5NB	Benztropine adverse reaction
Xa5NA	Benzhexol adverse reaction
Xa5N9	Atropine adverse reaction
Xa5N7	Hyoscine adverse reaction
Xa5N8	Hyoscine hydrobromide adverse reaction
Xa5N6	Tropicamide adverse reaction
Xa5N5	Lachesine chloride adverse reaction
Xa5N4	Terodiline hydrochloride adverse reaction
Xa5N3	Emepronium bromide adverse reaction
Xa5N2	Biperiden adverse reaction
Xa5N1	Piperidolate hydrochloride adverse reaction
Xa5N0	Belladonna alkaloids adverse reaction
Xa5MH	Sympathomimetic adverse reaction
Xa5Mx	Xamoterol adverse reaction
Xa5Mw	Oxymetazoline adverse reaction
Xa5Mv	Ephedrine adverse reaction
Xa5Mu	Dopamine adverse reaction
Xa5Mt	Dipivefrine adverse reaction
Xa5Mn	Central alpha-adrenoceptor agonist adverse reaction
Xa5Ms	Lofexidine adverse reaction
Xa5Mr	Clonidine adverse reaction
Xa5Mq	Apraclonidine adverse reaction
Xa5Mo	Methyldopa adverse reaction
Xa5Mp	Methyldopa and diuretic adverse reaction
Xa5MT	Beta-adrenoceptor agonist adverse reaction
Xa5Mj	Isoprenaline adverse reaction
Xa5Mm	Parenteral isoprenaline adverse reaction
Xa5Ml	Inhaled isoprenaline adverse reaction
Xa5Mk	Oral isoprenaline adverse reaction
Xa5Mg	Selective beta-1 adrenoceptor stimulants adverse reaction
Xa5Mi	Dopexamine adverse reaction
Xa5Mh	Dobutamine adverse reaction
Xa5MU	Selective beta-2 adrenoceptor stimulants adverse reaction
Xa5Mf	Tulobuterol adverse reaction
Xa5Me	Terbutaline adverse reaction
Xa5Md	Ritodrine adverse reaction
Xa5Mc	Rimiterol adverse reaction
Xa5Mb	Reproterol adverse reaction
Xa5Ma	Orciprenaline adverse reaction
Xa5MZ	Fenoterol adverse reaction
Xa5MY	Bambuterol adverse reaction
Xa5MX	Salbutamol adverse reaction
Xa5MW	Salmeterol adverse reaction
Xa5MV	Pirbuterol adverse reaction
Xa5ML	Alpha-adrenoceptor agonist adverse reaction
Xa5MS	Xylometazoline adverse reaction
Xa5MR	Phenylephrine adverse reaction
Xa5MQ	Noradrenaline adverse reaction
Xa5MP	Naphazoline adverse reaction
Xa5MO	Methoxamine adverse reaction
Xa5MN	Metaraminol adverse reaction
Xa5MM	Oxedrine tartrate adverse reaction
Xa5MK	Pseudoephedrine adverse reaction
Xa5MJ	Phenylpropanolamine hydrochloride adverse reaction
Xa5MI	Isoetharine hydrochloride adverse reaction
Xa5M3	Parasympathomimetic adverse reaction
Xa5MG	Carbachol adverse reaction
Xa5MF	Bethanechol adverse reaction
Xa5M7	Anticholinesterase parasympathomimetic adverse reaction
Xa5ME	Neostigmine adverse reaction
Xa5MD	Pyridostigmine adverse reaction
Xa5MC	Edrophonium adverse reaction
Xa5MB	Ecothiopate adverse reaction
Xa5MA	Distigmine adverse reaction
Xa5M9	Demecarium adverse reaction
Xa5M8	Physostigmine adverse reaction
Xa5M6	Methacholine adverse reaction
Xa5M5	Acetylcholine chloride adverse reaction
Xa5M4	Pilocarpine adverse reaction
Xa5Lr	Calcium-channel blocker adverse reaction
Xa5M2	Verapamil adverse reaction
Xa5M1	Nicardipine adverse reaction
Xa5M0	Diltiazem adverse reaction
Xa5Lz	Amlodipine adverse reaction
Xa5Ly	Nimodipine adverse reaction
Xa5Lx	Lacidipine adverse reaction
Xa5Lw	Felodipine adverse reaction
Xa5Lv	Isradipine adverse reaction
Xa5Lu	Prenylamine adverse reaction
Xa5Lt	Nifedipine adverse reaction
Xa5Ls	Lidoflazine adverse reaction
Xa5Lq	Nicotine adverse reaction
Xa5Li	Alpha-adrenoceptor blocking drug adverse reaction
Xa5Lp	Terazosin adverse reaction
Xa5Lo	Prazosin adverse reaction
Xa5Ln	Phentolamine adverse reaction
Xa5Lm	Phenoxybenzamine adverse reaction
Xa5Ll	Indoramin adverse reaction
Xa5Lk	Doxazosin adverse reaction
Xa5Lj	Alfuzosin adverse reaction
Xa5LL	Beta-adrenoceptor blocking drug adverse reaction
Xa5LU	Non-cardioselective beta-blocker adverse reaction
Xa5Lh	Timolol adverse reaction
Xa5Lg	Sotalol adverse reaction
Xa5Lf	Propranolol adverse reaction
Xa5Le	Practolol adverse reaction
Xa5Ld	Penbutolol adverse reaction
Xa5Lc	Oxprenolol adverse reaction
Xa5Lb	Levobunolol adverse reaction
Xa5La	Labetalol adverse reaction
Xa5LZ	Carteolol adverse reaction
Xa5LY	Metipranolol adverse reaction
Xa5LX	Carvedilol adverse reaction
Xa5LW	Pindolol adverse reaction
Xa5LV	Nadolol adverse reaction
Xa5LM	Cardioselective beta-blocker adverse reaction
Xa5LT	Metoprolol adverse reaction
Xa5LS	Esmolol adverse reaction
Xa5LR	Celiprolol adverse reaction
Xa5LQ	Bisoprolol adverse reaction
Xa5LP	Betaxolol adverse reaction
Xa5LO	Atenolol adverse reaction
Xa5LN	Acebutolol adverse reaction
Xa5Im	Drug groups primarily affecting the central nervous system adverse reaction
Xa5LI	Alcohol metabolism modifier adverse reaction
Xa5LJ	Disulfiram adverse reaction
Xa5LC	Central stimulant adverse reaction
Xa5LG	Amphetamine group adverse reaction
Xa5LH	Dexamphetamine adverse reaction
Xa5LF	Prolintane adverse reaction
Xa5LE	Methylphenidate adverse reaction
Xa5LD	Pemoline adverse reaction
Xa5LA	Decarboxylase inhibitor adverse reaction
Xa5LB	Selegiline adverse reaction
Xa5Ju	Sedative/neuroleptic adverse reaction
Xa5KZ	Neuroleptic adverse reaction
Xa5L9	Remoxipride adverse reaction
Xa5L8	Oxypertine adverse reaction
Xa5L2	Thioxanthene adverse reaction
Xa5L7	Flupenthixol adverse reaction
Xa5L6	Zuclopenthixol adverse reaction
Xa5L5	Zuclopenthixol decanoate adverse reaction
Xa5L4	Flupenthixol decanoate adverse reaction
Xa5L3	Chlorprothixene adverse reaction
Xa5Ko	Phenothiazine adverse reaction
Xa5L1	Trifluoperazine adverse reaction
Xa5L0	Prochlorperazine adverse reaction
Xa5Kz	Perphenazine adverse reaction
Xa5Ky	Thioridazine adverse reaction
Xa5Kx	Promazine adverse reaction
Xa5Kw	Pipothiazine adverse reaction
Xa5Kv	Chlorpromazine adverse reaction
Xa5Ku	Fluphenazine adverse reaction
Xa5Kt	Thiethylperazine adverse reaction
Xa5Ks	Fluphenazine enanthate adverse reaction
Xa5Kr	Fluphenazine decanoate adverse reaction
Xa5Kq	Pericyazine adverse reaction
Xa5Kp	Methotrimeprazine adverse reaction
Xa5Kl	Diphenylbutylpiperidine adverse reaction
Xa5Kn	Fluspirilene adverse reaction
Xa5Km	Pimozide adverse reaction
Xa5Kf	Butyrophenone adverse reaction
Xa5Kk	Haloperidol adverse reaction
Xa5Kj	Droperidol adverse reaction
Xa5Ki	Haloperidol decanoate adverse reaction
Xa5Kh	Trifluperidol adverse reaction
Xa5Kg	Benperidol adverse reaction
Xa5Ke	Tetrabenazine adverse reaction
Xa5Kd	Risperidone adverse reaction
Xa5Kc	Clozapine adverse reaction
Xa5Kb	Loxapine adverse reaction
Xa5Ka	Sulpiride adverse reaction
Xa5Jv	Sedative adverse reaction
Xa5KY	Chlormethiazole adverse reaction
Xa5KX	Buspirone adverse reaction
Xa5KT	Chloral sedative adverse reaction
Xa5KW	Triclofos sodium adverse reaction
Xa5KV	Dichloralphenazone adverse reaction
Xa5KU	Chloral hydrate adverse reaction
Xa5KR	Carbamate sedative adverse reaction
Xa5KS	Meprobamate adverse reaction
