^ESCT1164493	Trimipramine mesylate
^ESCTCL905625	Clomipramine 37.5mg/5ml oral solution (Special Order)
^ESCTCL905626	Clomipramine 5mg/5ml oral solution 1 ml
^ESCTCL905627	Clomipramine 5mg/5ml oral solution (Special Order)
^ESCTCL905628	Clomipramine 37.5mg/5ml oral solution (Special Order) 1 ml
^ESCTCL905629	Clomipramine 5mg/5ml oral solution (Special Order) 1 ml
^ESCTCL905630	Clomipramine 37.5mg/5ml oral suspension 1 ml
^ESCTCL905631	Clomipramine 37.5mg/5ml oral suspension (Special Order)
^ESCTCL905632	Clomipramine 37.5mg/5ml oral suspension (Special Order) 1 ml
^ESCTCL905633	Clomipramine 5mg/5ml oral suspension 1 ml
^ESCTCL905635	Clomipramine 5mg/5ml oral suspension (Special Order)
^ESCTCL905636	Clomipramine 37.5mg/5ml oral suspension
^ESCTCL905637	Clomipramine 5mg/5ml oral solution
^ESCTCL905638	Clomipramine 5mg/5ml oral suspension
^ESCTCL905639	Clomipramine 5mg/5ml oral suspension (Special Order) 1 ml
^ESCTCL905640	Clomipramine 50mg/5ml oral solution 1 ml
^ESCTCL905641	Clomipramine 50mg/5ml oral solution (Special Order)
^ESCTCL905642	Clomipramine 50mg/5ml oral solution (Special Order) 1 ml
^ESCTCL905643	Clomipramine 50mg/5ml oral suspension 1 ml
^ESCTCL905645	Clomipramine 25mg/5ml oral suspension 1 ml
^ESCTCL905647	Clomipramine 50mg/5ml oral suspension (Drug Tariff Special Order)
^ESCTCL905648	Clomipramine 25mg/5ml oral suspension (Special Order)
^ESCTCL905649	Clomipramine 25mg/5ml oral suspension (Special Order) 1 ml
^ESCTCL905650	Clomipramine 50mg/5ml oral suspension (Drug Tariff Special Order) 1 ml
^ESCTCL905653	Clomipramine 25mg/5ml oral solution 1 ml
^ESCTCL905656	Clomipramine 25mg/5ml oral solution (Special Order)
^ESCTCL905658	Clomipramine 25mg/5ml oral solution (Special Order) 1 ml
^ESCTCL905683	Clomipramine 25mg/5ml oral suspension
^ESCTCL905686	Clomipramine 50mg/5ml oral solution
^ESCTCL905687	Clomipramine 50mg/5ml oral suspension
^ESCTCL944716	Clomipramine 10mg/5ml oral suspension 1 ml
^ESCTCL944717	Clomipramine 10mg/5ml oral suspension (Special Order)
^ESCTCL944718	Clomipramine 10mg/5ml oral suspension (Special Order) 1 ml
^ESCTCL944719	Clomipramine 10mg/5ml oral solution 1 ml
^ESCTCL944720	Clomipramine 10mg/5ml oral solution (Special Order)
^ESCTCL944721	Clomipramine 10mg/5ml oral solution (Special Order) 1 ml
^ESCTCL945496	Clomipramine 10mg/5ml oral solution
^ESCTCL945498	Clomipramine 10mg/5ml oral suspension
^ESCTDE291805	Desipramine hydrochloride
^ESCTDE303703	Desipramine
^ESCTDE637085	Desipramine
^ESCTDE640384	Desipramine hydrochloride 10 mg oral tablet
^ESCTDE640386	Desipramine hydrochloride 25 mg oral tablet
^ESCTDE640388	Desipramine hydrochloride 50 mg oral tablet
^ESCTDE640390	Desipramine hydrochloride 75 mg oral tablet
^ESCTDE640392	Desipramine hydrochloride 100 mg oral tablet
^ESCTDE640394	Desipramine hydrochloride 150 mg oral tablet
^ESCTDO1005658	Dosulepin 25mg capsules (Phoenix Healthcare Distribution Ltd)
^ESCTDO1005659	Dosulepin 25mg capsules (Phoenix Healthcare Distribution Ltd) 28 capsule
^ESCTDO1005660	Dosulepin 75mg tablets (Phoenix Healthcare Distribution Ltd)
^ESCTDO1005661	Dosulepin 75mg tablets (Phoenix Healthcare Distribution Ltd) 28 tablet
^ESCTDO1009223	Dosulepin 25mg capsules (Strides Shasun (UK) Ltd)
^ESCTDO1009224	Dosulepin 25mg capsules (Strides Shasun (UK) Ltd) 28 capsule 2 x 14 capsules
^ESCTDO1009225	Dosulepin 75mg tablets (Strides Shasun (UK) Ltd)
^ESCTDO1009226	Dosulepin 75mg tablets (Strides Shasun (UK) Ltd) 28 tablet 2 x 14 tablets
^ESCTDO1042839	Dosulepin 25mg capsules (Waymade Healthcare Plc)
^ESCTDO1042840	Dosulepin 25mg capsules (Waymade Healthcare Plc) 28 capsule
^ESCTDO1042841	Dosulepin 75mg tablets (Waymade Healthcare Plc)
^ESCTDO1042842	Dosulepin 75mg tablets (Waymade Healthcare Plc) 28 tablet
^ESCTDO1045788	Dosulepin 25mg/5ml oral solution 500 ml
^ESCTDO1045789	Dosulepin 25mg/5ml oral solution (Drug Tariff Special Order) 500 ml
^ESCTDO1056412	Dosulepin 75mg/5ml oral solution 150 ml
^ESCTDO1056413	Dosulepin 75mg/5ml oral solution (Drug Tariff Special Order) 150 ml
^ESCTDO1056414	Dosulepin 75mg/5ml oral suspension 150 ml
^ESCTDO1056415	Dosulepin 75mg/5ml oral suspension (Special Order) 150 ml
^ESCTDO1061039	Dosulepin 25mg capsules (DE Pharmaceuticals)
^ESCTDO1061040	Dosulepin 25mg capsules (DE Pharmaceuticals) 28 capsule
^ESCTDO1061043	Dosulepin 75mg tablets (DE Pharmaceuticals)
^ESCTDO1061044	Dosulepin 75mg tablets (DE Pharmaceuticals) 28 tablet
^ESCTDO1066360	Doxepin 25mg capsules (Marlborough Pharmaceuticals Ltd)
^ESCTDO1066361	Doxepin 25mg capsules (Marlborough Pharmaceuticals Ltd) 28 capsule 2 x 14 capsules
^ESCTDO1066362	Doxepin 50mg capsules (Marlborough Pharmaceuticals Ltd)
^ESCTDO1066363	Doxepin 50mg capsules (Marlborough Pharmaceuticals Ltd) 28 capsule 2 x 14 capsules
^ESCTDO1067260	Doxepin 25mg capsules (Alliance Healthcare (Distribution) Ltd)
^ESCTDO1067261	Doxepin 25mg capsules (Alliance Healthcare (Distribution) Ltd) 28 capsule 2 x 14 capsules
^ESCTDO1067262	Doxepin 50mg capsules (Alliance Healthcare (Distribution) Ltd)
^ESCTDO1067263	Doxepin 50mg capsules (Alliance Healthcare (Distribution) Ltd) 28 capsule 2 x 14 capsules
^ESCTDO1067978	Doxepin 25mg capsules (A A H Pharmaceuticals Ltd)
^ESCTDO1067979	Doxepin 25mg capsules (A A H Pharmaceuticals Ltd) 28 capsule
^ESCTDO1067980	Doxepin 50mg capsules (A A H Pharmaceuticals Ltd)
^ESCTDO1067981	Doxepin 50mg capsules (A A H Pharmaceuticals Ltd) 28 capsule
^ESCTDO1104312	Doxepin 10mg capsules 1 capsule
^ESCTDO1104313	Doxepin 10mg capsules (Special Order)
^ESCTDO1104314	Doxepin 10mg capsules (Special Order) 1 capsule
^ESCTDO1117472	Dosulepin 25mg capsules (Sigma Pharmaceuticals Plc)
^ESCTDO1117473	Dosulepin 25mg capsules (Sigma Pharmaceuticals Plc) 28 capsule
^ESCTDO1117475	Dosulepin 75mg tablets (Sigma Pharmaceuticals Plc)
^ESCTDO1117476	Dosulepin 75mg tablets (Sigma Pharmaceuticals Plc) 28 tablet
^ESCTDO1120017	Dosulepin 25mg capsules (Mawdsley-Brooks & Company Ltd)
^ESCTDO1120018	Dosulepin 25mg capsules (Mawdsley-Brooks & Company Ltd) 28 capsule
^ESCTDO1120019	Dosulepin 75mg tablets (Mawdsley-Brooks & Company Ltd)
^ESCTDO1120020	Dosulepin 75mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTDO1145468	Dosulepin 25mg capsules (Genesis Pharmaceuticals Ltd)
^ESCTDO1145472	Dosulepin 25mg capsules (Genesis Pharmaceuticals Ltd) 28 capsule 2 x 14 capsules
^ESCTDO1145486	Dosulepin 75mg tablets (Genesis Pharmaceuticals Ltd)
^ESCTDO1145487	Dosulepin 75mg tablets (Genesis Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
^ESCTDO268854	Doxepin
^ESCTDO388314	Doxepin hydrochloride
^ESCTDO609625	Dosulepin 25mg capsules
^ESCTDO609626	Dosulepin hydrochloride 25 mg/1 each oral capsule
^ESCTDO609627	Dothiepin hydrochloride 25 mg/1 each oral capsule
^ESCTDO609630	Dosulepin 75mg tablets
^ESCTDO609633	Dosulepin hydrochloride 75 mg oral tablet
^ESCTDO609634	Dothiepin hydrochloride 75 mg oral tablet
^ESCTDO609635	Doxepin 10mg capsules
^ESCTDO609636	Doxepin 10 mg/1 each oral capsule
^ESCTDO609638	Doxepin 25mg capsules
^ESCTDO609639	Doxepin 25 mg/1 each oral capsule
^ESCTDO609641	Doxepin 50mg capsules
^ESCTDO609642	Doxepin 50 mg/1 each oral capsule
^ESCTDO609644	Doxepin 75mg capsules
^ESCTDO609645	Doxepin 75 mg/1 each oral capsule
^ESCTDO618924	Dosulepin
^ESCTDO618925	Dothiepin
^ESCTDO636952	Doxepin
^ESCTDO639388	Doxepin hydrochloride 10mg/mL oral solution
^ESCTDO639389	Doxepin hydrochloride 10mg/mL
^ESCTDO639390	Doxepin hydrochloride 150 mg/1 each oral capsule
^ESCTDO640173	Doxepin hydrochloride 100 mg/1 each oral capsule
^ESCTDO656210	Dosulepin hydrochloride
^ESCTDO656211	Dothiepin hydrochloride
^ESCTDO685116	Dosulepin
^ESCTDO685117	Dothiepin
^ESCTDO720864	Doxepin in oral dosage form
^ESCTDO722063	Doxepin in topical dosage form
^ESCTDO729787	Doxepin 3 mg oral tablet
^ESCTDO729789	Doxepin 6 mg oral tablet
^ESCTDO800101	Dothapax 25 capsules (Ashbourne Pharmaceuticals Ltd)
^ESCTDO801989	Dosulepin 75mg tablets (A A H Pharmaceuticals Ltd)
^ESCTDO804679	Dosulepin 25mg capsules (Teva UK Ltd)
^ESCTDO804881	Dosulepin 75mg tablets (Kent Pharmaceuticals Ltd)
^ESCTDO807612	Dosulepin 75mg tablets (Teva UK Ltd)
^ESCTDO808070	Dosulepin 25mg capsules (A A H Pharmaceuticals Ltd)
^ESCTDO811125	Dosulepin 75mg tablets (IVAX Pharmaceuticals UK Ltd)
^ESCTDO813483	Dosulepin 25mg capsules (Actavis UK Ltd)
^ESCTDO814100	Dosulepin 75mg tablets (Sandoz Ltd)
^ESCTDO814162	Dosulepin 25mg capsules (Sterwin Medicines)
^ESCTDO817415	Dosulepin 25mg capsules (Alliance Healthcare (Distribution) Ltd)
^ESCTDO818865	Dosulepin 25mg capsules (IVAX Pharmaceuticals UK Ltd)
^ESCTDO819893	Dosulepin 25mg capsules (Sandoz Ltd)
^ESCTDO820072	Dosulepin 75mg tablets (Sterwin Medicines)
^ESCTDO820220	Dosulepin 25mg capsules (Mylan Ltd)
^ESCTDO820359	Dosulepin 75mg tablets (Actavis UK Ltd)
^ESCTDO820490	Dosulepin 25mg capsules (Kent Pharmaceuticals Ltd)
^ESCTDO829042	Dosulepin 75mg tablets (Mylan Ltd)
^ESCTDO832939	Dosulepin 75mg tablets (Alliance Healthcare (Distribution) Ltd)
^ESCTDO833505	Dothapax 75 tablets (Ashbourne Pharmaceuticals Ltd)
^ESCTDO834434	Dosulepin 25mg capsules 28 capsule
^ESCTDO838291	Dosulepin 25mg capsules 84 capsule
^ESCTDO843399	Doxepin 75mg capsules 28 capsule
^ESCTDO843719	Doxepin 25mg capsules 28 capsule
^ESCTDO847930	Dosulepin 25mg capsules 100 capsule
^ESCTDO848154	Doxepin 10mg capsules 56 capsule
^ESCTDO848162	Dosulepin 75mg tablets 500 tablet
^ESCTDO848598	Dosulepin 75mg tablets 28 tablet
^ESCTDO848741	Doxepin 50mg capsules 28 capsule
^ESCTDO848781	Dosulepin 25mg capsules 600 capsule
^ESCTDO849950	Dosulepin 25mg capsules (A A H Pharmaceuticals Ltd) 28 capsule 2 x 14 capsules
^ESCTDO849952	Dosulepin 25mg capsules (A A H Pharmaceuticals Ltd) 100 capsule
^ESCTDO849953	Dosulepin 25mg capsules (A A H Pharmaceuticals Ltd) 600 capsule
^ESCTDO849954	Dosulepin 25mg capsules (Actavis UK Ltd) 28 capsule 2 x 14 capsules
^ESCTDO849955	Dosulepin 25mg capsules (Teva UK Ltd) 28 capsule 2 x 14 capsules
^ESCTDO849957	Dothapax 25 capsules (Ashbourne Pharmaceuticals Ltd) 84 capsule
^ESCTDO849965	Dosulepin 25mg capsules (Mylan Ltd) 28 capsule 2 x 14 capsules
^ESCTDO849966	Dosulepin 25mg capsules (Mylan Ltd) 100 capsule
^ESCTDO849967	Dosulepin 25mg capsules (Mylan Ltd) 600 capsule
^ESCTDO849969	Dosulepin 25mg capsules (IVAX Pharmaceuticals UK Ltd) 28 capsule 2 x 14 capsules
^ESCTDO849970	Dosulepin 25mg capsules (IVAX Pharmaceuticals UK Ltd) 100 capsule
^ESCTDO849971	Dosulepin 25mg capsules (Kent Pharmaceuticals Ltd) 28 capsule 2 x 14 capsules
^ESCTDO849973	Dosulepin 25mg capsules (Kent Pharmaceuticals Ltd) 100 capsule
^ESCTDO849975	Dosulepin 25mg capsules (Kent Pharmaceuticals Ltd) 600 capsule
^ESCTDO849982	Dosulepin 25mg capsules (Sandoz Ltd) 28 capsule
^ESCTDO849989	Dosulepin 25mg capsules (Sterwin Medicines) 100 capsule
^ESCTDO849992	Dosulepin 25mg capsules (Alliance Healthcare (Distribution) Ltd) 28 capsule 2 x 14 capsules
^ESCTDO849994	Dosulepin 25mg capsules (Alliance Healthcare (Distribution) Ltd) 600 capsule
^ESCTDO849999	Dosulepin 75mg tablets (A A H Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
^ESCTDO850000	Dosulepin 75mg tablets (A A H Pharmaceuticals Ltd) 500 tablet
^ESCTDO850003	Dosulepin 75mg tablets (Actavis UK Ltd) 28 tablet 2 x 14 tablets
^ESCTDO850007	Dosulepin 75mg tablets (Teva UK Ltd) 28 tablet 2 x 14 tablets
^ESCTDO850009	Dothapax 75 tablets (Ashbourne Pharmaceuticals Ltd) 28 tablet
^ESCTDO850014	Dosulepin 75mg tablets (Mylan Ltd) 28 tablet 2 x 14 tablets
^ESCTDO850016	Dosulepin 75mg tablets (Mylan Ltd) 500 tablet
^ESCTDO850020	Dosulepin 75mg tablets (IVAX Pharmaceuticals UK Ltd) 28 tablet 2 x 14 tablets
^ESCTDO850022	Dosulepin 75mg tablets (Kent Pharmaceuticals Ltd) 28 tablet
^ESCTDO850024	Dosulepin 75mg tablets (Kent Pharmaceuticals Ltd) 500 tablet
^ESCTDO850033	Dosulepin 75mg tablets (Sandoz Ltd) 28 tablet 2 x 14 tablets
^ESCTDO850041	Dosulepin 75mg tablets (Sterwin Medicines) 28 tablet 2 x 14 tablets
^ESCTDO850043	Dosulepin 75mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet 2 x 14 tablets
^ESCTDO850044	Dosulepin 75mg tablets (Alliance Healthcare (Distribution) Ltd) 500 tablet
^ESCTDO863583	Dosulepin 25mg capsules (Alliance Healthcare (Distribution) Ltd) 100 capsule
^ESCTDO906361	Dosulepin 75mg/5ml oral solution 1 ml
^ESCTDO906362	Dosulepin 75mg/5ml oral solution (Drug Tariff Special Order)
^ESCTDO906363	Dosulepin 25mg/5ml oral solution 1 ml
^ESCTDO906364	Dosulepin 75mg/5ml oral solution (Drug Tariff Special Order) 1 ml
^ESCTDO906366	Dosulepin 25mg/5ml oral solution (Drug Tariff Special Order)
^ESCTDO906368	Dosulepin 25mg/5ml oral solution (Drug Tariff Special Order) 1 ml
^ESCTDO906369	Dosulepin 75mg/5ml oral suspension 1 ml
^ESCTDO906370	Dosulepin 75mg/5ml oral suspension (Special Order)
^ESCTDO906373	Dosulepin 25mg/5ml oral suspension 1 ml
^ESCTDO906374	Dosulepin 75mg/5ml oral suspension (Special Order) 1 ml
^ESCTDO906375	Dosulepin 25mg/5ml oral suspension (Special Order)
^ESCTDO906378	Dosulepin 25mg/5ml oral suspension (Special Order) 1 ml
^ESCTDO906416	Dosulepin 75mg/5ml oral suspension
^ESCTDO906417	Dosulepin 75mg/5ml oral solution
^ESCTDO906418	Dosulepin 25mg/5ml oral suspension
^ESCTDO906419	Dosulepin 25mg/5ml oral solution
^ESCTDO906478	Doxepin 50mg/5ml oral solution 1 ml
^ESCTDO906481	Doxepin 50mg/5ml oral solution (Special Order)
^ESCTDO906483	Doxepin 50mg/5ml oral solution (Special Order) 1 ml
^ESCTDO906484	Doxepin 50mg/5ml oral suspension 1 ml
^ESCTDO906486	Doxepin 50mg/5ml oral suspension (Special Order)
^ESCTDO906489	Doxepin 50mg/5ml oral suspension (Special Order) 1 ml
^ESCTDO906715	Doxepin 50mg/5ml oral solution
^ESCTDO906716	Doxepin 50mg/5ml oral suspension
^ESCTDO923562	Dosulepin 25mg capsules (Almus Pharmaceuticals Ltd)
^ESCTDO923563	Dosulepin 25mg capsules (Almus Pharmaceuticals Ltd) 28 capsule 2 x 14 capsules
^ESCTDO923565	Dosulepin 75mg tablets (Almus Pharmaceuticals Ltd)
^ESCTDO923566	Dosulepin 75mg tablets (Almus Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
^ESCTDO945805	Dosulepin 100mg/5ml oral solution 1 ml
^ESCTDO945806	Dosulepin 100mg/5ml oral solution (Special Order)
^ESCTDO945807	Dosulepin 100mg/5ml oral solution (Special Order) 1 ml
^ESCTDO945810	Dosulepin 10mg/5ml oral solution 1 ml
^ESCTDO945811	Dosulepin 10mg/5ml oral solution (Special Order)
^ESCTDO945812	Dosulepin 10mg/5ml oral solution (Special Order) 1 ml
^ESCTDO945815	Dosulepin 125mg/5ml oral solution 1 ml
^ESCTDO945816	Dosulepin 125mg/5ml oral solution (Special Order)
^ESCTDO945818	Dosulepin 125mg/5ml oral solution (Special Order) 1 ml
^ESCTDO945819	Dosulepin 150mg/5ml oral solution 1 ml
^ESCTDO945821	Dosulepin 150mg/5ml oral solution (Special Order)
^ESCTDO945823	Dosulepin 150mg/5ml oral solution (Special Order) 1 ml
^ESCTDO945824	Dosulepin 20mg/5ml oral solution 1 ml
^ESCTDO945827	Dosulepin 20mg/5ml oral solution (Special Order)
^ESCTDO945828	Dosulepin 20mg/5ml oral solution (Special Order) 1 ml
^ESCTDO945831	Dosulepin 250mg/5ml oral solution 1 ml
^ESCTDO945833	Dosulepin 250mg/5ml oral solution (Special Order)
^ESCTDO945835	Dosulepin 250mg/5ml oral solution (Special Order) 1 ml
^ESCTDO945837	Dosulepin 37.5mg/5ml oral solution 1 ml
^ESCTDO945839	Dosulepin 37.5mg/5ml oral solution (Special Order)
^ESCTDO945840	Dosulepin 37.5mg/5ml oral solution (Special Order) 1 ml
^ESCTDO945842	Dosulepin 50mg/5ml oral solution 1 ml
^ESCTDO945844	Dosulepin 50mg/5ml oral solution (Special Order)
^ESCTDO945845	Dosulepin 50mg/5ml oral solution (Special Order) 1 ml
^ESCTDO945850	Dosulepin 5mg/5ml oral solution 1 ml
^ESCTDO945851	Dosulepin 5mg/5ml oral solution (Special Order)
^ESCTDO945852	Dosulepin 5mg/5ml oral solution (Special Order) 1 ml
^ESCTDO946054	Dosulepin 100mg/5ml oral solution
^ESCTDO946055	Dosulepin 10mg/5ml oral solution
^ESCTDO946056	Dosulepin 125mg/5ml oral solution
^ESCTDO946057	Dosulepin 150mg/5ml oral solution
^ESCTDO946058	Dosulepin 20mg/5ml oral solution
^ESCTDO946059	Dosulepin 250mg/5ml oral solution
^ESCTDO946060	Dosulepin 37.5mg/5ml oral solution
^ESCTDO946061	Dosulepin 50mg/5ml oral solution
^ESCTDO946062	Dosulepin 5mg/5ml oral solution
^ESCTDO999180	Dosulepin 25mg capsules (Sovereign Medical Ltd)
^ESCTDO999181	Dosulepin 25mg capsules (Sovereign Medical Ltd) 28 capsule 2 x 14 capsules
^ESCTDO999182	Dosulepin 75mg tablets (Sovereign Medical Ltd)
^ESCTDO999183	Dosulepin 75mg tablets (Sovereign Medical Ltd) 28 tablet 2 x 14 tablets
^ESCTFE821268	Feprapax 70mg tablets (Ashbourne Pharmaceuticals Ltd)
^ESCTFE855446	Feprapax 70mg tablets (Ashbourne Pharmaceuticals Ltd) 56 tablet 4 x 14 tablets
^ESCTFL609740	Fluphenazine hydrochloride 1.5 mg and nortriptyline 30 mg oral tablet
^ESCTFL609743	Fluphenazine hydrochloride 0.5 mg and nortriptyline 10 mg oral tablet
^ESCTFL696968	Fluphenazine + nortriptyline
^ESCTGA803015	Gamanil 70mg tablets (Merck Serono Ltd)
^ESCTGA855457	Gamanil 70mg tablets (Merck Serono Ltd) 56 tablet 4 x 14 tablets
^ESCTGA855459	Gamanil 70mg tablets (Merck Serono Ltd) 250 tablet
^ESCTIM1003160	Imipramine 25mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)
^ESCTIM1003161	Imipramine 25mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd) 150 ml
^ESCTIM1006033	Imipramine 10mg tablets (Phoenix Healthcare Distribution Ltd)
^ESCTIM1006034	Imipramine 10mg tablets (Phoenix Healthcare Distribution Ltd) 28 tablet
^ESCTIM1006035	Imipramine 25mg tablets (Phoenix Healthcare Distribution Ltd)
^ESCTIM1006060	Imipramine 25mg tablets (Phoenix Healthcare Distribution Ltd) 28 tablet
^ESCTIM1013225	Imipramine 25mg/5ml oral solution sugar free (Sigma Pharmaceuticals Plc)
^ESCTIM1013226	Imipramine 25mg/5ml oral solution sugar free (Sigma Pharmaceuticals Plc) 150 ml
^ESCTIM1041956	Imipramine 25mg/5ml oral solution sugar free (Cubic Pharmaceuticals Ltd)
^ESCTIM1041957	Imipramine 25mg/5ml oral solution sugar free (Cubic Pharmaceuticals Ltd) 150 ml
^ESCTIM1044020	Imipramine 25mg/5ml oral solution sugar free (Waymade Healthcare Plc)
^ESCTIM1044021	Imipramine 25mg/5ml oral solution sugar free (Waymade Healthcare Plc) 150 ml
^ESCTIM1044023	Imipramine 10mg tablets (Waymade Healthcare Plc)
^ESCTIM1044024	Imipramine 10mg tablets (Waymade Healthcare Plc) 28 tablet
^ESCTIM1044026	Imipramine 25mg tablets (Waymade Healthcare Plc)
^ESCTIM1044027	Imipramine 25mg tablets (Waymade Healthcare Plc) 28 tablet
^ESCTIM1049217	Imipramine 25mg/5ml oral solution sugar free (Colorama Pharmaceuticals Ltd)
^ESCTIM1049218	Imipramine 25mg/5ml oral solution sugar free (Colorama Pharmaceuticals Ltd) 150 ml
^ESCTIM1061685	Imipramine 10mg tablets (DE Pharmaceuticals)
^ESCTIM1061686	Imipramine 10mg tablets (DE Pharmaceuticals) 28 tablet
^ESCTIM1061687	Imipramine 25mg tablets (DE Pharmaceuticals)
^ESCTIM1061688	Imipramine 25mg tablets (DE Pharmaceuticals) 28 tablet
^ESCTIM1062410	Imipramine 25mg/5ml oral solution sugar free (CST Pharma Ltd)
^ESCTIM1062411	Imipramine 25mg/5ml oral solution sugar free (CST Pharma Ltd) 150 ml
^ESCTIM1084649	Imipramine 25mg/5ml oral solution sugar free (Ennogen Healthcare Ltd)
^ESCTIM1084652	Imipramine 25mg/5ml oral solution sugar free (Ennogen Healthcare Ltd) 150 ml
^ESCTIM1100339	Imipramine 25mg/5ml oral solution sugar free (J M McGill Ltd)
^ESCTIM1100340	Imipramine 25mg/5ml oral solution sugar free (J M McGill Ltd) 150 ml
^ESCTIM1109029	Imipramine 25mg/5ml oral solution sugar free (Niche Pharma Ltd)
^ESCTIM1109030	Imipramine 25mg/5ml oral solution sugar free (Niche Pharma Ltd) 150 ml
^ESCTIM1117866	Imipramine 10mg tablets (Sigma Pharmaceuticals Plc)
^ESCTIM1117867	Imipramine 10mg tablets (Sigma Pharmaceuticals Plc) 28 tablet
^ESCTIM1117868	Imipramine 25mg tablets (Sigma Pharmaceuticals Plc)
^ESCTIM1117869	Imipramine 25mg tablets (Sigma Pharmaceuticals Plc) 28 tablet
^ESCTIM1160776	Imipramine 25mg tablets (Crescent Pharma Ltd)
^ESCTIM1160777	Imipramine 25mg tablets (Crescent Pharma Ltd) 28 tablet
^ESCTIM1160778	Imipramine 10mg tablets (Crescent Pharma Ltd)
^ESCTIM1160779	Imipramine 10mg tablets (Crescent Pharma Ltd) 28 tablet
^ESCTIM255284	Imipramine hydrochloride
^ESCTIM256598	Imipramine pamoate
^ESCTIM308203	Imipramine
^ESCTIM609647	Imipramine 10mg tablets
^ESCTIM609649	Imipramine hydrochloride 10 mg oral tablet
^ESCTIM609650	Imipramine 25mg tablets
^ESCTIM609652	Imipramine hydrochloride 25 mg oral tablet
^ESCTIM637098	Imipramine
^ESCTIM639031	Imipramine pamoate 100 mg/1 each oral capsule
^ESCTIM639033	Imipramine pamoate 125 mg/1 each oral capsule
^ESCTIM639035	Imipramine pamoate 150 mg/1 each oral capsule
^ESCTIM639460	Imipramine pamoate 75 mg/1 each oral capsule
^ESCTIM639466	Imipramine hydrochloride 50 mg oral tablet
^ESCTIM645942	Imipramine in parenteral dosage form
^ESCTIM709262	Imipramine in oral dosage form
^ESCTIM797664	Imipramine 25mg tablets (The Boots Company Plc)
^ESCTIM808072	Imipramine 10mg tablets (A A H Pharmaceuticals Ltd)
^ESCTIM815124	Imipramine 10mg tablets (Actavis UK Ltd)
^ESCTIM819995	Imipramine 10mg tablets (Alliance Healthcare (Distribution) Ltd)
^ESCTIM820100	Imipramine 25mg tablets (A A H Pharmaceuticals Ltd)
^ESCTIM820127	Imipramine 25mg tablets (Actavis UK Ltd)
^ESCTIM820893	Imipramine 25mg tablets (Kent Pharmaceuticals Ltd)
^ESCTIM821372	Imipramine 25mg tablets (Alliance Healthcare (Distribution) Ltd)
^ESCTIM832197	Imipramine 10mg tablets (Kent Pharmaceuticals Ltd)
^ESCTIM835416	Imipramine 25mg/5ml oral solution 150 ml
^ESCTIM836731	Imipramine 25mg tablets 28 tablet
^ESCTIM836962	Imipramine 10mg tablets 28 tablet
^ESCTIM847074	Imipramine 10mg tablets 250 tablet
^ESCTIM847091	Imipramine 25mg tablets 500 tablet
^ESCTIM848546	Imipramine 25mg tablets 84 tablet
^ESCTIM855722	Imipramine 10mg tablets (A A H Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
^ESCTIM855724	Imipramine 10mg tablets (Actavis UK Ltd) 28 tablet 2 x 14 tablets
^ESCTIM855730	Imipramine 10mg tablets (Kent Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
^ESCTIM855731	Imipramine 10mg tablets (Kent Pharmaceuticals Ltd) 250 tablet
^ESCTIM855733	Imipramine 10mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet 2 x 14 tablets
^ESCTIM855734	Imipramine 10mg tablets (Alliance Healthcare (Distribution) Ltd) 250 tablet
^ESCTIM855741	Imipramine 25mg tablets (A A H Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
^ESCTIM855743	Imipramine 25mg tablets (Actavis UK Ltd) 28 tablet 2 x 14 tablets
^ESCTIM855746	Imipramine 25mg tablets (The Boots Company Plc) 500 tablet
^ESCTIM855750	Imipramine 25mg tablets (Kent Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
^ESCTIM855751	Imipramine 25mg tablets (Kent Pharmaceuticals Ltd) 500 tablet
^ESCTIM855760	Imipramine 25mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet 2 x 14 tablets
^ESCTIM855762	Imipramine 25mg tablets (Alliance Healthcare (Distribution) Ltd) 500 tablet
^ESCTIM878404	Imipramine 25mg tablets 100 tablet
^ESCTIM903541	Imipramine 10mg tablets (Teva UK Ltd)
^ESCTIM903542	Imipramine 10mg tablets (Teva UK Ltd) 28 tablet
^ESCTIM903543	Imipramine 25mg tablets (Teva UK Ltd)
^ESCTIM903544	Imipramine 25mg tablets (Teva UK Ltd) 28 tablet
^ESCTIM907243	Imipramine 10mg/5ml oral solution 1 ml
^ESCTIM907244	Imipramine 10mg/5ml oral solution (Special Order)
^ESCTIM907246	Imipramine 10mg/5ml oral solution (Special Order) 1 ml
^ESCTIM907249	Imipramine 10mg/5ml oral suspension 1 ml
^ESCTIM907250	Imipramine 10mg/5ml oral suspension (Special Order)
