H06z011	Chest infection
J550000	Peritonitis - gonococcal
A173z00	Tuberculosis of eye NOS
A849.00	Other malaria complications
K214400	Prostatitis in gonorrhoea
J620300	Liver abscess via umbilicus
A788500	Human immunodeficiency virus with secondary infection
H24yz00	Pneumonia with other infectious diseases EC NOS
N301D00	Osteomyelitis of vertebra
N301A00	Osteomyelitis of vertebra
A72x000	Mumps hepatitis
N303300	Osteomyelitis, unspecified
A203.00	Primary pneumonic plague
J521.12	Pseudomembranous colitis
K240100	Orchitis with no abscess
K403.00	Acute parametritis and pelvic cellulitis
N014700	Arthritis in other bacterial diseases classified elsewhere
N308.00	Subacute osteomyelitis
N01zz00	Arthritis in other infectious and parasitic diseases EC
Ayu8.00	[X]Viral infections of the central nervous system
AC8y.00	Other specified helminthiases
A782.11	Miliary fever
N306z00	Tuberculosis of bone
A788300	Human immunodeficiency virus with constitutional disease
AE04.00	Late effects of tuberculosis of other specified organs
Hyu2A00	[X]Other specified diseases of upper respiratory tract
A916100	Secondary syphilitic hepatitis
K41z200	Myometritis unspecified
A98yy11	Gonococcal hepatitis
J641z00	Gallbladder calculus with other cholecystitis - obstruct NOS
N306400	Tuberculosis of bones and joints
AA25.00	Gangosa - tertiary yaws
A654.00	Mosquito-borne haemorrhagic fever
K404200	Chronic abscess of the parametrium
N300P00	Other acute osteomyelitis
N30z900	Osteomyelitis, unspecified
H060200	Acute pseudomembranous bronchitis
A788X00	HIV disease resulting/unspcf infectious+parasitic disease
F011200	Meningitis due to herpes zoster virus
A63y000	Langat encephalitis
Ayu8400	[X]Rabies, unspecified
A3B6100	Proteus morganii infection
L450000	Obstetric nipple infection unspecified
K0y0.00	Late syphilis of kidney
F030A00	Encephalitis due to influenza-virus identified
N300D00	Osteomyelitis of vertebra
J631000	Hepatitis in coxsackie virus
K10y400	Pyelitis in diseases EC
J330200	Epigastric hernia with gangrene
NyuC200	Other chronic osteomyelitis
G52y600	Septic myocarditis NOS
K241300	Epididymitis in diseases EC
L169200	Herpes gestationis - delivered with postnatal complication
A98y.00	Gonococcal infection of other specified sites
A180.00	Acute miliary tuberculosis
A136z00	Tuberculous encephalitis or myelitis NOS
F00yz00	Other specified bacterial meningitis NOS
Ayu3H00	[X]Other specified septicaemia
N302900	Osteomyelitis, unspecified
A93y100	Syphilitic myocarditis
AA1z.00	Vincent's angina NOS
AA2x100	Mucosal yaws
H24y400	Pneumonia with salmonellosis
A3By200	Mima polymorpha infection
F00y400	Meningitis due to klebsiella pneumoniae
L450400	Obstetric nipple infection with postnatal complication
J064400	Inflammatory conditions of jaws
F007300	Meningitis due to salmonella
AA0yz00	Other specified leptospiral infection NOS
F030200	Encephalitis due to poliomyelitis
A272z11	Pseudotuberculosis
AAy..00	Other specified spirochaetal infections
A12y100	Tuberculosis of nasopharynx
F007600	Meningitis due to typhoid fever
F033111	Syphilis encephalitis
J511400	Diverticulitis of the small intestine NOS
A94y500	Syphilitic acoustic neuritis
A3A0F00	Gas gangrene-foot
AB62100	Phaeomycotic brain abscess
Ayu0F00	[X]Viral intestinal infection, unspecified
F012.00	Meningitis due to trypanosomiasis
Ayu1600	[X]Tuberculosis of other specified organs
Kyu5000	[X]Other chronic cystitis
N307700	Poliomyelitis osteopathy of the ankle and foot
F011600	Meningitis due to adenovirus
A166000	Tuberculous oophoritis
A32yz00	Other specified diphtheria NOS
NyuC300	Other osteomyelitis
A384z00	Other gram negative septicaemia NOS
Ayu3G00	[X]Septicaemia due to other gram-negative organisms
ZVu1300	[X]Carrier of other specified bacterial diseases
AyuAA00	[X]Rubella without complication
A915100	Secondary syphilitic chorioretinitis
J650100	Acute angiocholecystitis
FyuP500	[X]Otitis media in other diseases classified elsewhere
FyuP400	[X]Otitis media in viral diseases classified elsewhere
AyuD900	[X]Other specified viral diseases
AyuDD00	[X]Parvovirus infection, unspecified
Ayu3D00	[X]Meningococcal infection, unspecified
L450100	Obstetric nipple infection - delivered
G02z.00	Rheumatic chorea NOS
K41z.00	Unspecified uterine inflammatory disease
L176.00	Other maternal viral dis. in pregnancy/childbirth/puerperium
N303500	Osteomyelitis, unspecified
Hyu1000	[X]Acute bronchitis due to other specified organisms
N230A00	Muscle abscess
Hyu0200	[X]Acute tonsillitis due to other specified organisms
Ayu8B00	[X]Unspecified viral encephalitis
Ayu1.00	[X]Tuberculosis
Gyu5J00	[X]Myocarditis in viral diseases classified elsewhere
Ayu1000	[X]Other resp tubercul,confirmd bacteriologicly+histologicly
AyuD.00	[X]Other viral diseases
Ayu1100	[X]Resp tuberculos unspcfd,confirmd bacteriolog+histologicly
Ayu4C00	[X]Gonococcal infection, unspecified
AE01.00	Late effects of central nervous system tuberculosis
N010x00	Pyogenic arthritis, unspecified
A36y.00	Other specified meningococcal infection
A39y000	Pulmonary nocardiosis
K102z00	Renal and perinephric abscess NOS
N014000	Arthritis in other bacterial diseases classified elsewhere
J615D00	Bacterial portal cirrhosis
A880000	Systemic bartonellosis
A912200	Primary lip syphilis
F040z00	Intracranial abscess NOS
G01y.00	Other acute rheumatic heart disease
H160300	Chronic atrophic laryngitis
AE03.00	Late effects of tuberculosis of bones and joints
F530300	Acute mastoiditis with other complication
A9y..00	Other specified syphilis or other venereal diseases
A918z00	Other secondary syphilis NOS
A175.00	Tuberculosis of thyroid gland
A73x.00	Ornithosis with other specified complications
A918.00	Other forms of secondary syphilis
L402000	Puerperal peritonitis unspecified
A987z00	Gonococcal proctitis NOS
A849z00	Other malaria complications NOS
ZVu0J00	[X]Special screening examinat for other bacterial diseases
H232.00	Pneumonia due to pleuropneumonia like organisms
F041200	Subdural intraspinal abscess
A661z00	Tick-borne fever NOS
N230B00	Muscle abscess-neck
N303900	Osteomyelitis, unspecified
L175z00	Maternal rubella in pregnancy/childbirth/puerperium NOS
Ayu3200	[X]Other Mycobacterium infections
AyuD100	[X]Cytomegaloviral disease, unspecified
Ayu6100	[X]Other chlamydial diseases
AyuG600	[X]Taeniasis, unspecified
A95..00	Other forms of late syphilis with symptoms
173e.00	Viral wheeze
173e.11	Viral induced wheeze
K401100	Chronic perioophoritis
A22z.00	Anthrax NOS
745F.00	Tuberculosis support
8BP5.00	Antiviral therapy
A3A0011	Clostridium histolyticum infection
N302A00	Osteomyelitis of vertebra
A86z.00	Trypanosomiasis NOS
A916.12	Secondary syphilis of viscera
A630.00	Russian spring-summer (taiga) encephalitis
A704z00	Other specified viral hepatitis with hepatic coma NOS
A4zy000	Acute inclusion body encephalitis
F00y600	Meningitis due to pseudomonas
AA0yz13	Swamp fever
A55x000	Measles keratoconjunctivitis
A073000	Proteus mirabilis gastrointestinal tract infection
65Y2.00	Streptomycin resistant tuberculosis
G520600	Acute myocarditis - tuberculous
N302E00	Osteomyelitis of vertebra
A950.00	Syphilitic episcleritis
A932200	Syphilitic endocarditis of aortic valve
H023000	Acute pneumococcal pharyngitis
F034E00	Post mumps vaccination encephalitis
F037000	Varicella transverse myelitis
A78y400	Tanapox
H511100	Staphylococcal pleurisy with effusion
A122000	Isolated tracheal tuberculosis
A92z.00	Latent early syphilis NOS
A914.00	Adenopathy due to secondary syphilis
A320.00	Faucial diphtheria
A124100	Tuberculosis of lung, confirmed by culture only
A301000	Borderline tuberculoid leprosy
H060B00	Acute bronchitis due to coxsackievirus
A811.00	Brill's disease
N230800	Infective myositis-leg
A136000	Tuberculous encephalitis
A651.00	Omsk haemorrhagic fever
43w3.00	Human immunodeficiency virus RNA/DNA ratio
L293100	Septicaemia during labour - delivered
AyuJ400	[X]Sequelae of respiratory and unspecified tuberculosis
A601.00	Urban yellow fever
A98yy13	Gonococcal perihepatitis
A122100	Isolated bronchial tuberculosis
Hyu0100	[X]Acute pharyngitis due to other specified organisms
Qyu4200	[X]Other bacterial sepsis of newborn
A661200	Colorado tick fever
A3B1112	Methicillin resistant staphylococcus aureus
AyuA.00	[X]Viral infections characterized by skin and mucous membra
Q400.11	Extended rubella syndrome
Ayu5700	[X]Spirochaetal infection, unspecified
AyuD500	[X]Infectious mononucleosis, unspecified
H014.00	Acute rhinosinusitis
F4A5500	Keratitis due to tuberculosis
A3B0000	Group B streptococcus infection
L175000	Maternal rubella, unspecified whether pregnancy/puerperium
AC2z.00	Echinococcus NOS
ZV02000	[V]Cholera carrier
AC0yz00	Other specified schistosoma NOS
N230500	Infective myositis-hand
Gyu1100	[X]Other rheumatic aortic valve diseases
A981.00	Acute gonorrhoea of upper genitourinary tract
N01z700	Arthritis in other infectious and parasitic diseases EC
AyuG.00	[X]Helminthiasis
A71..11	Lyssa - rabies
AyuA600	[X]Measles with other complications
FyuP700	[X]Other mastoiditis and related conditions
N230K00	Muscle abscess-leg
N30z500	Osteomyelitis, unspecified
N01z500	Arthritis in other infectious and parasitic diseases EC
N230.12	Suppurative myositis
N230L00	Muscle abscess-foot
AA22.00	Other early yaws skin lesions
F011611	Adenovirus meningitis
N230J00	Muscle abscess-thigh
L096600	Septic embolism following abortive pregnancy
A270200	Cutaneous listeriosis
AC01.11	Intestinal schistosomiasis
M08C.00	Cellulitis of toe
H29..00	Avian influenza
A93..00	Cardiovascular syphilis
Jyu6000	[X]Other peritonitis
F381200	Myasthenic syndrome due to botulism
N230H00	Muscle abscess-pelvis
Q407511	Neonatal monilial septicaemia
7005400	Excision of abscess of tissue of brain
N305500	Tuberculosis of bone
Fyu0500	[X]Bacterial meningoencephalitis+meningomyelitis,NEC
N01z800	Pyogenic arthritis, unspecified
Ayu3T00	[X]Streptococcal infection, unspecified
Ayu8100	[X]Acute poliomyelitis, unspecified
A3A0311	Clostridium septicum infection
N303400	Osteomyelitis, unspecified
K400400	Acute perisalpingitis
F03z.11	Encephalomyelitis NOS
A392100	Actinomycosis of caecum
K10y300	Pyelonephritis in diseases EC
A65..00	Arthropod-borne haemorrhagic fever
65Y9.11	Latent tuberculosis
4JU5.00	Influenza B virus detected
4JU2.00	Influenza H3 virus detected
4JU0.00	Influenza H1 virus detected
4JUB.00	Respiratory syncytial virus untyped strain detected
4JUK.00	Mycoplasma pneumoniae detected
A853.00	Ethiopian cutaneous leishmaniasis
A541600	Genital herpes simplex type 1
Ayu9800	[X]Unspecified viral haemorrhagic fever
Nyu0100	[X]Arthritis+polyarthritis due/other specfd bacterial agents
A541700	Genital herpes simplex type 2
A625.00	California viral encephalitis
AyuDA00	[X]Adenovirus infection, unspecified
4JUF.00	Human parainfluenza virus detected
4JUA.00	Respiratory syncytial virus B detected
A323.00	Laryngeal diphtheria
A364z00	Meningococcal carditis NOS
A981400	Acute gonococcal seminal vesiculitis
F034z00	Postimmunisation encephalitis NOS
L170000	Maternal syphilis, unspec whether in pregnancy or puerperium
A98y200	Gonococcal pericarditis
65Y9.00	Inactive tuberculosis
A760.00	Trachoma dubium - initial stage
N302F00	Osteomyelitis, unspecified
4JU9.00	Respiratory syncytial virus A detected
AyuKA00	[X]Klebsiella pneumoniae/cause/disease classifd/oth chapters
4JU8.00	Amantadine resistant virus detected
H57y500	Lung disease with syphilis
A17y000	Tuberculosis endocardium
J643z00	Bile duct calculus + acute cholecystitis - obstruct NOS
Q408600	Pseudomonas pyocyaneus congenital infection
AyuCB00	[X]HIV disease result/haematological+immunologic abnorms,NEC
NyuC100	Other chronic haematogenous osteomyelitis
A661000	Nairobi sheep disease
A844.11	Monkey malaria
Ayu3300	[X]Mycobacterium infection, unspecified
4JUC.00	Human metapneumovirus detected
4J3F.00	Human immunodeficiency virus viral load by log rank
K190500	Urinary tract infection
K154100	Cystitis in amoebiasis
4JU4.00	Influenza A virus, other or untyped strain detected
7Q05600	Antiretroviral drugs Band 1
Ayu0100	[X]Paratyphoid fever, unspecified
N302K00	Osteomyelitis, unspecified
F030700	Encephalitis due to cytomegalovirus
L401200	Puerperal salpingitis with postnatal complication
Hyu0700	[X]Influenza+other manifestations, virus not identified
N304300	Tuberculosis of bones and joints
Hyu0000	[X]Other acute sinusitis
F00y.00	Other specified bacterial meningitis
A981611	Uterus - acute gonorrhoea
Ayu5000	[X]Other early skin lesions of yaws
A983.00	Chronic gonorrhoea of upper genitourinary tract
A981111	Bladder gonorrhoea - acute
Ayu4500	[X]Other secondary syphilis
L403000	Puerperal septicaemia unspecified
65Y8.00	Ciprofloxacin resistant tuberculosis
4JUD.00	Human bocavirus detected
N018.00	Tuberculous arthritis
Ayu4G00	[X]Anogenital herpes viral infection, unspecified
Ayu4900	[X]Late syphilis, unspecified
Hyu0600	[X]Influenza+oth respiratory manifestatns,virus not identifd
F007200	Meningitis due to neurosyphilis
A30z.00	Leprosy NOS
A12y200	Tuberculosis of nasal septum
Ayu8200	[X]Other slow virus infections of central nervous system
4JUH.00	Human enterovirus detected
F033311	Tuberculous encephalitis
F034A00	Post typhus vaccination encephalitis
A72x100	Mumps polyneuropathy
F034100	Post typhoid vaccination encephalitis
AyuJ500	[X]Sequelae of poliomyelitis
Ayu0700	[X]Bacterial intestinal infection, unspecified
AyuD200	[X]Mumps with other complications
AyuKN00	[X]Resp syncytial virus/cause/diseases classfd/oth chapters
Ayu1900	[X]Miliary tuberculosis, unspecified
Hyu0500	[X]Influenza+other manifestations,influenza virus identified
4JUJ.00	Other respiratory virus detected
H2A..11	Influenza A (H1N1) swine flu
1W0..00	Possible influenza A virus H1N1 subtype
1J72.11	Suspected swine influenza
1J72.00	Suspected influenza A virus subtype H1N1 infection
H2A..00	Influenza due to Influenza A virus subtype H1N1
4J3L.00	Influenza A virus H1N1 subtype detected
4JU3.00	Influenza H5 virus detected
66j..00	Human immunodeficiency virus monitoring
4JUG.00	Human adenovirus detected
4JU6.00	Oseltamivir resistant virus detected
9kR..00	Chronic hepatitis annual review - enhanced services admin
7Q05200	Hepatitis B treatment drugs Band 1
J666.00	Biliary sepsis
66j0.00	Human immunodeficiency virus annual review
H470.11	Aspiration pneumonia
A3B1200	Panton-Valentine leucocidin associat staph aureus infection
4JUE.00	Human rhinovirus detected
65Y5.00	Isoniazid resistant tuberculosis
4JU1.00	Influenza H2 virus detected
H564.11	Cryptogenic organising pneumonia
A78y300	Marburg disease
A3C..00	Sepsis
H2B..00	Community acquired pneumonia
K190600	Urosepsis
A3Cy.00	Other specified sepsis
A3C0100	Sepsis due to Streptococcus group B
AB2y500	Candidal sepsis
A3Cz.00	Sepsis NOS
H2C..00	Hospital acquired pneumonia
A396.00	Sepsis due to Actinomyces
A3C0300	Sepsis due to Streptococcus pneumoniae
A70A.00	Hepatitis C genotype 1
A70C.00	Hepatitis C genotype 3
A70z100	Acute viral hepatitis NOS
L179.00	HIV disease complicating pregnancy childbirth puerperium
A023.00	Salmonella sepsis
A3C1000	Sepsis due to Staphylococcus aureus
J203.00	Acute appendicitis with generalised peritonitis
9NgR.00	On hepatitis C treatment plan
A3B0100	Group A streptococcus infection
A3C1.00	Sepsis due to Staphylococcus
A70G.00	Acute hepatitis C
A3C2.11	Sepsis due to anaerobes
A789311	HIV disease resulting in Pneumocystis jirovecii pneumonia
J204.00	Acute appendicitis with localised peritonitis
A3C0000	Sepsis due to Streptococcus group A
A70D.00	Hepatitis C genotype 4
A3C0y00	Other streptococcal sepsis
9kl..00	HIV pos gen health check serv declind - enhanc service admin
A3C3y00	Sepsis due to other Gram negative organisms
A3C3.00	Sepsis due to Gram negative bacteria
A3C2.00	Sepsis due to anaerobic bacteria
A270611	Listerial sepsis
A799.00	Cytomegalovirus infection
A3BC.00	Infection due to ESBL producing bacteria
A270600	Sepsis due to Listeria monocytogenes
A3C0.00	Sepsis due to Streptococcus
A724.00	Mumps parotitis
J550311	Bacterial peritonitis
J554.00	Spontaneous bacterial peritonitis
K106.00	Candida pyelonephritis
J558.00	Ventriculoperitoneal shunt-associated peritonitis
A70B.00	Hepatitis C genotype 2
A799.11	CMV - Cytomegalovirus infection
A3C0z00	Streptococcal sepsis, unspecified
J557.00	Streptococcal peritonitis
H061700	Acute bronchiolitis due to human metapneumovirus
AB2y511	Sepsis due to Candida
A709.00	Viral hepatitis without hepatic coma
H203.00	Pneumonia due to human metapneumovirus
1JN0.00	Suspected sepsis
A78B.11	Hantavirus cardio-pulmonary syndrome
A707300	Chronic viral hepatitis B
8CMWE00	On urinary tract infection care pathway
745Fy00	Other specified tuberculosis support
A663E00	Disease due to West Nile virus
GA...00	Rheumatic heart disease
SP07Q00	Catheter-associated urinary tract infection
GA0..00	Carditis due to rheumatic fever
9Nt1000	Seen by community HIV (human immunodeficiency virus) nurse
SP07Q11	CAUTI - catheter-associated urinary tract infection
A3C3.11	Sepsis due to Gram negative organisms
A789511	HIV disease resulting in Kaposi sarcoma
38QB.00	Westley Croup Score
9mN..00	Human immunodeficiency virus infection monitoring invitation
8Hle.00	Referral to community HIV nurse specialist
A3BD.00	Infection due to carbapenemase producing Enterobacteriacea
N010A11	Lyme arthritis
A871011	Lyme borreliosis
9mN0.00	HIV infection monitoring telephone invitation
A871300	Borrelial lymphocytoma
4J3Q.00	Human immunodeficiency virus IgG avidity
4J3N.00	Human immunodeficiency virus drug resistance test
A871100	Lyme neuroborreliosis
1JN3.00	Suspected Ebola virus infection
K101400	Emphysematous pyelonephritis
A3C1z00	Sepsis due to staphylococcus NOS
A3C1y00	Sepsis due to other specified staphylococcus
A19..00	Disseminated tuberculosis
4J3P.00	Human immunodeficiency virus type 1 subtype identification
AA41.11	Erythema migrans
745Fz00	Tuberculosis support NOS
4L17.00	Hepatitis E virus genotype determination
A1A..00	Multidrug resistant tuberculosis
65Y0.00	Tuberculosis index case
A78B.00	Hantavirus pulmonary syndrome
A396.11	Actinomycotic sepsis
