^ESCT1165213	Olanzapine pamoate
^ESCTRI1011051	Risperidone 4mg tablets (Dr Reddys Laboratories (UK) Ltd)
^ESCTRI1011052	Risperidone 4mg tablets (Dr Reddys Laboratories (UK) Ltd) 60 tablet
^ESCTRI1011302	Risperidone 500microgram tablets (Almus Pharmaceuticals Ltd)
^ESCTRI1011303	Risperidone 500microgram tablets (Almus Pharmaceuticals Ltd) 20 tablet
^ESCTRI1011304	Risperidone 1mg tablets (Almus Pharmaceuticals Ltd)
^ESCTRI1011305	Risperidone 1mg tablets (Almus Pharmaceuticals Ltd) 20 tablet
^ESCTRI1011306	Risperidone 1mg tablets (Almus Pharmaceuticals Ltd) 60 tablet
^ESCTRI1011307	Risperidone 2mg tablets (Almus Pharmaceuticals Ltd)
^ESCTRI1011308	Risperidone 2mg tablets (Almus Pharmaceuticals Ltd) 60 tablet
^ESCTRI1011309	Risperidone 3mg tablets (Almus Pharmaceuticals Ltd)
^ESCTRI1011310	Risperidone 3mg tablets (Almus Pharmaceuticals Ltd) 60 tablet
^ESCTRI1011311	Risperidone 4mg tablets (Almus Pharmaceuticals Ltd)
^ESCTRI1011312	Risperidone 4mg tablets (Almus Pharmaceuticals Ltd) 60 tablet
^ESCTRI1011313	Risperidone 6mg tablets (Almus Pharmaceuticals Ltd)
^ESCTRI1011314	Risperidone 6mg tablets (Almus Pharmaceuticals Ltd) 28 tablet
^ESCTRI1022767	Risperidone 3mg orodispersible tablets sugar free (Teva UK Ltd)
^ESCTRI1022768	Risperidone 3mg orodispersible tablets sugar free (Teva UK Ltd) 28 tablet 4 x 7 tablets
^ESCTRI1022769	Risperidone 4mg orodispersible tablets sugar free (Teva UK Ltd)
^ESCTRI1022770	Risperidone 4mg orodispersible tablets sugar free (Teva UK Ltd) 28 tablet 4 x 7 tablets
^ESCTRI1023783	Risperdal 500microgram tablets (Lexon (UK) Ltd)
^ESCTRI1023784	Risperdal 500microgram tablets (Lexon (UK) Ltd) 20 tablet
^ESCTRI1023785	Risperdal Quicklet 1mg orodispersible tablets (Lexon (UK) Ltd)
^ESCTRI1023786	Risperdal Quicklet 1mg orodispersible tablets (Lexon (UK) Ltd) 28 tablet
^ESCTRI1023787	Risperdal Quicklet 2mg orodispersible tablets (Lexon (UK) Ltd)
^ESCTRI1023788	Risperdal Quicklet 2mg orodispersible tablets (Lexon (UK) Ltd) 28 tablet
^ESCTRI1023789	Risperdal Quicklet 3mg orodispersible tablets (Lexon (UK) Ltd)
^ESCTRI1023790	Risperdal Quicklet 3mg orodispersible tablets (Lexon (UK) Ltd) 28 tablet
^ESCTRI1023791	Risperdal Quicklet 4mg orodispersible tablets (Lexon (UK) Ltd)
^ESCTRI1023792	Risperdal Quicklet 4mg orodispersible tablets (Lexon (UK) Ltd) 28 tablet
^ESCTRI1026460	Risperidone 6mg tablets (Accord Healthcare Ltd)
^ESCTRI1026461	Risperidone 6mg tablets (Accord Healthcare Ltd) 28 tablet
^ESCTRI1033345	Risperidone 2mg orodispersible tablets sugar free (Sandoz Ltd)
^ESCTRI1033346	Risperidone 2mg orodispersible tablets sugar free (Sandoz Ltd) 28 tablet
^ESCTRI1033349	Risperidone 1mg/ml oral solution sugar free (Sandoz Ltd)
^ESCTRI1033350	Risperidone 1mg/ml oral solution sugar free (Sandoz Ltd) 100 ml
^ESCTRI1033353	Risperidone 2mg tablets (Sandoz Ltd)
^ESCTRI1033382	Risperidone 2mg tablets (Sandoz Ltd) 60 tablet
^ESCTRI1033385	Risperidone 3mg tablets (Sandoz Ltd)
^ESCTRI1033390	Risperidone 3mg tablets (Sandoz Ltd) 60 tablet
^ESCTRI1033409	Risperidone 4mg tablets (Sandoz Ltd)
^ESCTRI1033410	Risperidone 4mg tablets (Sandoz Ltd) 60 tablet
^ESCTRI1033417	Risperidone 6mg tablets (Sandoz Ltd)
^ESCTRI1033420	Risperidone 6mg tablets (Sandoz Ltd) 28 tablet
^ESCTRI1036233	Risperdal Consta 25mg powder and solvent for suspension for injection vials (Waymade Healthcare Plc)
^ESCTRI1036234	Risperdal Consta 25mg powder and solvent for suspension for injection vials (Waymade Healthcare Plc) 1 vial
^ESCTRI1042380	Risperidone 500microgram orodispersible tablets sugar free (Waymade Healthcare Plc)
^ESCTRI1042381	Risperidone 500microgram orodispersible tablets sugar free (Waymade Healthcare Plc) 28 tablet
^ESCTRI1042382	Risperidone 1mg orodispersible tablets sugar free (Waymade Healthcare Plc)
^ESCTRI1042383	Risperidone 1mg orodispersible tablets sugar free (Waymade Healthcare Plc) 28 tablet
^ESCTRI1042384	Risperidone 2mg orodispersible tablets sugar free (Waymade Healthcare Plc)
^ESCTRI1042385	Risperidone 2mg orodispersible tablets sugar free (Waymade Healthcare Plc) 28 tablet
^ESCTRI1042386	Risperidone 1mg/ml oral solution sugar free (Waymade Healthcare Plc)
^ESCTRI1042387	Risperidone 1mg/ml oral solution sugar free (Waymade Healthcare Plc) 100 ml
^ESCTRI1042388	Risperidone 500microgram tablets (Waymade Healthcare Plc)
^ESCTRI1042389	Risperidone 500microgram tablets (Waymade Healthcare Plc) 20 tablet
^ESCTRI1042390	Risperidone 1mg tablets (Waymade Healthcare Plc)
^ESCTRI1042391	Risperidone 1mg tablets (Waymade Healthcare Plc) 20 tablet
^ESCTRI1042392	Risperidone 1mg tablets (Waymade Healthcare Plc) 60 tablet
^ESCTRI1042393	Risperidone 2mg tablets (Waymade Healthcare Plc)
^ESCTRI1042394	Risperidone 2mg tablets (Waymade Healthcare Plc) 60 tablet
^ESCTRI1042395	Risperidone 3mg tablets (Waymade Healthcare Plc)
^ESCTRI1042396	Risperidone 3mg tablets (Waymade Healthcare Plc) 60 tablet
^ESCTRI1042397	Risperidone 4mg tablets (Waymade Healthcare Plc)
^ESCTRI1042398	Risperidone 4mg tablets (Waymade Healthcare Plc) 60 tablet
^ESCTRI1042399	Risperidone 6mg tablets (Waymade Healthcare Plc)
^ESCTRI1042400	Risperidone 6mg tablets (Waymade Healthcare Plc) 28 tablet
^ESCTRI1057976	Risperidone 4mg tablets (Dexcel-Pharma Ltd)
^ESCTRI1057977	Risperidone 4mg tablets (Dexcel-Pharma Ltd) 60 tablet 6 x 10 tablets
^ESCTRI1057978	Risperidone 3mg tablets (Dexcel-Pharma Ltd)
^ESCTRI1057979	Risperidone 3mg tablets (Dexcel-Pharma Ltd) 60 tablet 6 x 10 tablets
^ESCTRI1057980	Risperidone 500microgram tablets (Dexcel-Pharma Ltd)
^ESCTRI1057981	Risperidone 500microgram tablets (Dexcel-Pharma Ltd) 20 tablet 2 x 10 tablets
^ESCTRI1057982	Risperidone 2mg tablets (Dexcel-Pharma Ltd)
^ESCTRI1057983	Risperidone 2mg tablets (Dexcel-Pharma Ltd) 60 tablet 6 x 10 tablets
^ESCTRI1057984	Risperidone 6mg tablets (Dexcel-Pharma Ltd)
^ESCTRI1057985	Risperidone 6mg tablets (Dexcel-Pharma Ltd) 28 tablet 2 x 14 tablets
^ESCTRI1119721	Risperidone 1mg tablets (DE Pharmaceuticals)
^ESCTRI1119722	Risperidone 1mg tablets (DE Pharmaceuticals) 20 tablet
^ESCTRI1119723	Risperidone 1mg tablets (DE Pharmaceuticals) 60 tablet
^ESCTRI1119724	Risperidone 2mg tablets (DE Pharmaceuticals)
^ESCTRI1119725	Risperidone 2mg tablets (DE Pharmaceuticals) 60 tablet
^ESCTRI1119726	Risperidone 3mg tablets (DE Pharmaceuticals)
^ESCTRI1119727	Risperidone 3mg tablets (DE Pharmaceuticals) 60 tablet
^ESCTRI1119728	Risperidone 4mg tablets (DE Pharmaceuticals)
^ESCTRI1119729	Risperidone 4mg tablets (DE Pharmaceuticals) 60 tablet
^ESCTRI1119730	Risperidone 6mg tablets (DE Pharmaceuticals)
^ESCTRI1119731	Risperidone 6mg tablets (DE Pharmaceuticals) 28 tablet
^ESCTRI1120486	Risperidone 1mg/ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)
^ESCTRI1120487	Risperidone 1mg/ml oral solution sugar free (Rosemont Pharmaceuticals Ltd) 100 ml
^ESCTRI1127241	Risperidone 500microgram orodispersible tablets sugar free (Mawdsley-Brooks & Company Ltd)
^ESCTRI1127242	Risperidone 500microgram orodispersible tablets sugar free (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTRI1127243	Risperidone 1mg orodispersible tablets sugar free (Mawdsley-Brooks & Company Ltd)
^ESCTRI1127244	Risperidone 1mg orodispersible tablets sugar free (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTRI1127245	Risperidone 2mg orodispersible tablets sugar free (Mawdsley-Brooks & Company Ltd)
^ESCTRI1127246	Risperidone 2mg orodispersible tablets sugar free (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTRI1127247	Risperidone 3mg orodispersible tablets sugar free (Mawdsley-Brooks & Company Ltd)
^ESCTRI1127248	Risperidone 3mg orodispersible tablets sugar free (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTRI1127249	Risperidone 1mg/ml oral solution sugar free (Mawdsley-Brooks & Company Ltd)
^ESCTRI1127250	Risperidone 1mg/ml oral solution sugar free (Mawdsley-Brooks & Company Ltd) 100 ml
^ESCTRI1127251	Risperidone 500microgram tablets (Mawdsley-Brooks & Company Ltd)
^ESCTRI1127252	Risperidone 500microgram tablets (Mawdsley-Brooks & Company Ltd) 20 tablet
^ESCTRI1127253	Risperidone 1mg tablets (Mawdsley-Brooks & Company Ltd)
^ESCTRI1127254	Risperidone 1mg tablets (Mawdsley-Brooks & Company Ltd) 60 tablet
^ESCTRI1127256	Risperidone 6mg tablets (Mawdsley-Brooks & Company Ltd)
^ESCTRI1127258	Risperidone 6mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCTRI1152328	Risperidone 1mg/ml oral solution sugar free (Thame Laboratories Ltd)
^ESCTRI1152329	Risperidone 1mg/ml oral solution sugar free (Thame Laboratories Ltd) 100 ml
^ESCTRI675336	Risperidone 25mg powder+solvent for suspension for injection
^ESCTRI675337	Risperidone depot 25mg powder+solvent for suspension for injection
^ESCTRI675338	Risperidone 37.5mg powder+solvent for suspension for injection
^ESCTRI675339	Risperidone depot 37.5mg powder+solvent for suspension for injection
^ESCTRI675340	Risperidone 50mg powder+solvent for suspension for injection
^ESCTRI675341	Risperidone depot 50mg powder+solvent for suspension for injection
^ESCTRI705624	Risperidone 12.5mg powder+solvent for suspension for injection
^ESCTRI834382	Risperidone 1mg tablets 60 tablet
^ESCTRI844660	Risperidone 1mg tablets 20 tablet
^ESCTRI844705	Risperidone 6mg tablets 28 tablet
^ESCTRI847282	Risperidone 4mg tablets 60 tablet
^ESCTRI847548	Risperidone 3mg tablets 60 tablet
^ESCTRI847780	Risperidone 1mg/ml oral solution sugar free 100 ml
^ESCTRI848581	Risperidone 2mg tablets 60 tablet
^ESCTRI848642	Risperidone 500microgram tablets 20 tablet
^ESCTRI853771	Risperdal 1mg/ml oral solution (Janssen-Cilag Ltd) 100 ml
^ESCTRI853787	Risperdal 500microgram tablets (Janssen-Cilag Ltd) 20 tablet 2 x 10 tablets
^ESCTRI853789	Risperdal 1mg tablets (Janssen-Cilag Ltd) 20 tablet 2 x 10 tablets
^ESCTRI853790	Risperdal 1mg tablets (Janssen-Cilag Ltd) 60 tablet 6 x 10 tablets
^ESCTRI853791	Risperdal 2mg tablets (Janssen-Cilag Ltd) 60 tablet 6 x 10 tablets
^ESCTRI853792	Risperdal 3mg tablets (Janssen-Cilag Ltd) 60 tablet 6 x 10 tablets
^ESCTRI853793	Risperdal 4mg tablets (Janssen-Cilag Ltd) 60 tablet 6 x 10 tablets
^ESCTRI853794	Risperdal 6mg tablets (Janssen-Cilag Ltd) 28 tablet 4 x 7 tablets
^ESCTRI866632	Risperidone 1mg orodispersible tablets sugar free 28 tablet
^ESCTRI866638	Risperdal Quicklet 1mg orodispersible tablets (Janssen-Cilag Ltd) 28 tablet 7 x 4 tablets
^ESCTRI866640	Risperidone 2mg orodispersible tablets sugar free 28 tablet
^ESCTRI866645	Risperdal Quicklet 2mg orodispersible tablets (Janssen-Cilag Ltd) 28 tablet 7 x 4 tablets
^ESCTRI867668	Risperidone 37.5mg powder and solvent for suspension for injection vials 1 vial
^ESCTRI867670	Risperdal Consta 37.5mg powder and solvent for suspension for injection vials (Janssen-Cilag Ltd) 1 vial
^ESCTRI867671	Risperidone 50mg powder and solvent for suspension for injection vials 1 vial
^ESCTRI867673	Risperdal Consta 50mg powder and solvent for suspension for injection vials (Janssen-Cilag Ltd) 1 vial
^ESCTRI870576	Risperidone 25mg powder and solvent for suspension for injection vials 1 vial
^ESCTRI870578	Risperdal Consta 25mg powder and solvent for suspension for injection vials (Janssen-Cilag Ltd) 1 vial
^ESCTRI877407	Risperdal 1mg/ml oral solution (Dowelhurst Ltd)
^ESCTRI877409	Risperdal 1mg/ml oral solution (Dowelhurst Ltd) 100 ml
^ESCTRI878251	Risperdal 1mg/ml oral solution (Waymade Healthcare Plc)
^ESCTRI878252	Risperdal 1mg/ml oral solution (Waymade Healthcare Plc) 100 ml
^ESCTRI878255	Risperidone 1mg tablets 6 tablet
^ESCTRI878259	Risperdal 1mg tablets (Waymade Healthcare Plc)
^ESCTRI878261	Risperdal 1mg tablets (Waymade Healthcare Plc) 6 tablet
^ESCTRI878264	Risperdal 1mg tablets (Waymade Healthcare Plc) 20 tablet
^ESCTRI878267	Risperdal 1mg tablets (Waymade Healthcare Plc) 60 tablet
^ESCTRI878273	Risperdal 2mg tablets (Waymade Healthcare Plc)
^ESCTRI878275	Risperdal 2mg tablets (Waymade Healthcare Plc) 60 tablet
^ESCTRI878278	Risperdal 3mg tablets (Waymade Healthcare Plc)
^ESCTRI878279	Risperdal 3mg tablets (Waymade Healthcare Plc) 60 tablet
^ESCTRI878280	Risperdal 4mg tablets (Waymade Healthcare Plc)
^ESCTRI878281	Risperdal 4mg tablets (Waymade Healthcare Plc) 60 tablet
^ESCTRI878802	Risperidone 6mg tablets 30 tablet
^ESCTRI878803	Risperdal 6mg tablets (Waymade Healthcare Plc)
^ESCTRI878805	Risperdal 6mg tablets (Waymade Healthcare Plc) 30 tablet
^ESCTRI878990	Risperidone 1mg tablets (Dowelhurst Ltd)
^ESCTRI878991	Risperidone 1mg tablets (Dowelhurst Ltd) 6 tablet
^ESCTRI878992	Risperidone 1mg tablets (Dowelhurst Ltd) 20 tablet
^ESCTRI878993	Risperidone 3mg tablets (Dowelhurst Ltd)
^ESCTRI878994	Risperidone 1mg tablets (Dowelhurst Ltd) 60 tablet
^ESCTRI878996	Risperidone 3mg tablets (Dowelhurst Ltd) 60 tablet
^ESCTRI878998	Risperidone 4mg tablets (Dowelhurst Ltd)
^ESCTRI879000	Risperidone 4mg tablets (Dowelhurst Ltd) 60 tablet
^ESCTRI879003	Risperidone 2mg tablets (Dowelhurst Ltd)
^ESCTRI879004	Risperidone 2mg tablets (Dowelhurst Ltd) 60 tablet
^ESCTRI879671	Risperdal 1mg tablets (Dowelhurst Ltd)
^ESCTRI879673	Risperdal 1mg tablets (Dowelhurst Ltd) 6 tablet
^ESCTRI879674	Risperdal 1mg tablets (Dowelhurst Ltd) 20 tablet
^ESCTRI879675	Risperdal 1mg tablets (Dowelhurst Ltd) 60 tablet
^ESCTRI879692	Risperdal 2mg tablets (Dowelhurst Ltd)
^ESCTRI879693	Risperdal 2mg tablets (Dowelhurst Ltd) 60 tablet
^ESCTRI880049	Risperdal 3mg tablets (Dowelhurst Ltd)
^ESCTRI880050	Risperdal 3mg tablets (Dowelhurst Ltd) 60 tablet
^ESCTRI880052	Risperdal 4mg tablets (Dowelhurst Ltd)
^ESCTRI880053	Risperdal 4mg tablets (Dowelhurst Ltd) 60 tablet
^ESCTRI880054	Risperidone 6mg tablets 60 tablet
^ESCTRI880058	Risperdal 6mg tablets (Dowelhurst Ltd)
^ESCTRI880059	Risperdal 6mg tablets (Dowelhurst Ltd) 60 tablet
^ESCTRI912133	Risperidone 500microgram orodispersible tablets sugar free 28 tablet
^ESCTRI912135	Risperdal Quicklet 500microgram orodispersible tablets (Janssen-Cilag Ltd) 28 tablet 7 x 4 tablets
^ESCTRI916054	Risperdal
^ESCTRI916056	Risperdal Consta
^ESCTRI916058	Risperdal Quicklet
^ESCTRI932753	Risperdal 6mg tablets (Waymade Healthcare Plc) 60 tablet
^ESCTRI934916	Risperdal Consta 37.5mg powder and solvent for suspension for injection vials (Waymade Healthcare Plc)
^ESCTRI934917	Risperdal Consta 37.5mg powder and solvent for suspension for injection vials (Waymade Healthcare Plc) 1 vial
^ESCTRI934919	Risperdal Consta 50mg powder and solvent for suspension for injection vials (Waymade Healthcare Plc)
^ESCTRI934920	Risperdal Consta 50mg powder and solvent for suspension for injection vials (Waymade Healthcare Plc) 1 vial
^ESCTRI934921	Risperdal Quicklet 1mg orodispersible tablets (Waymade Healthcare Plc)
^ESCTRI934922	Risperdal Quicklet 1mg orodispersible tablets (Waymade Healthcare Plc) 28 tablet
^ESCTRI936615	Risperidone 4mg orodispersible tablets sugar free 28 tablet
^ESCTRI936617	Risperdal Quicklet 4mg orodispersible tablets (Janssen-Cilag Ltd) 28 tablet 7 x 4 tablets
^ESCTRI936618	Risperidone 3mg orodispersible tablets sugar free 28 tablet
^ESCTRI936621	Risperdal Quicklet 3mg orodispersible tablets (Janssen-Cilag Ltd) 28 tablet 7 x 4 tablets
^ESCTRI942871	Risperdal Quicklet 2mg orodispersible tablets (Waymade Healthcare Plc)
^ESCTRI942872	Risperdal Quicklet 2mg orodispersible tablets (Waymade Healthcare Plc) 28 tablet
^ESCTRI955936	Risperidone 500microgram tablets (Actavis UK Ltd)
^ESCTRI955938	Risperidone 500microgram tablets (Actavis UK Ltd) 20 tablet
^ESCTRI955940	Risperidone 1mg tablets (Actavis UK Ltd)
^ESCTRI955942	Risperidone 1mg tablets (Actavis UK Ltd) 20 tablet
^ESCTRI955945	Risperidone 1mg tablets (Actavis UK Ltd) 60 tablet
^ESCTRI955947	Risperidone 2mg tablets (Actavis UK Ltd)
^ESCTRI955951	Risperidone 2mg tablets (Actavis UK Ltd) 60 tablet
^ESCTRI955953	Risperidone 3mg tablets (Actavis UK Ltd)
^ESCTRI955955	Risperidone 3mg tablets (Actavis UK Ltd) 60 tablet
^ESCTRI955957	Risperidone 4mg tablets (Actavis UK Ltd)
^ESCTRI955961	Risperidone 4mg tablets (Actavis UK Ltd) 60 tablet
^ESCTRI955965	Risperidone 6mg tablets (Actavis UK Ltd)
^ESCTRI955966	Risperidone 6mg tablets (Actavis UK Ltd) 28 tablet
^ESCTRI956152	Risperidone 500microgram tablets (Teva UK Ltd)
^ESCTRI956154	Risperidone 500microgram tablets (Teva UK Ltd) 20 tablet 2 x 10 tablets
^ESCTRI956156	Risperidone 1mg tablets (Teva UK Ltd)
^ESCTRI956160	Risperidone 1mg tablets (Teva UK Ltd) 60 tablet 6 x 10 tablets
^ESCTRI956164	Risperidone 2mg tablets (Teva UK Ltd)
^ESCTRI956166	Risperidone 2mg tablets (Teva UK Ltd) 60 tablet 6 x 10 tablets
^ESCTRI956168	Risperidone 3mg tablets (Teva UK Ltd)
^ESCTRI956170	Risperidone 3mg tablets (Teva UK Ltd) 60 tablet 6 x 10 tablets
^ESCTRI956172	Risperidone 4mg tablets (Teva UK Ltd)
^ESCTRI956174	Risperidone 4mg tablets (Teva UK Ltd) 60 tablet 6 x 10 tablets
^ESCTRI956176	Risperidone 6mg tablets (Teva UK Ltd)
^ESCTRI956178	Risperidone 6mg tablets (Teva UK Ltd) 28 tablet 2 x 14 tablets
^ESCTRI959358	Risperidone 500microgram tablets (Kent Pharmaceuticals Ltd)
^ESCTRI959359	Risperidone 500microgram tablets (Kent Pharmaceuticals Ltd) 20 tablet 2 x 10 tablets
^ESCTRI959360	Risperidone 1mg tablets (Kent Pharmaceuticals Ltd)
^ESCTRI959361	Risperidone 1mg tablets (Kent Pharmaceuticals Ltd) 20 tablet 2 x 10 tablets
^ESCTRI959362	Risperidone 1mg tablets (Kent Pharmaceuticals Ltd) 60 tablet 6 x 10 tablets
^ESCTRI959363	Risperidone 2mg tablets (Kent Pharmaceuticals Ltd)
^ESCTRI959364	Risperidone 2mg tablets (Kent Pharmaceuticals Ltd) 60 tablet 6 x 10 tablets
^ESCTRI959365	Risperidone 3mg tablets (Kent Pharmaceuticals Ltd)
^ESCTRI959366	Risperidone 3mg tablets (Kent Pharmaceuticals Ltd) 60 tablet 6 x 10 tablets
^ESCTRI959367	Risperidone 4mg tablets (Kent Pharmaceuticals Ltd)
^ESCTRI959368	Risperidone 4mg tablets (Kent Pharmaceuticals Ltd) 60 tablet 6 x 10 tablets
^ESCTRI959371	Risperidone 6mg tablets (Kent Pharmaceuticals Ltd)
^ESCTRI959373	Risperidone 6mg tablets (Kent Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets
^ESCTRI959382	Risperidone 500microgram tablets (A A H Pharmaceuticals Ltd)
^ESCTRI959383	Risperidone 500microgram tablets (A A H Pharmaceuticals Ltd) 20 tablet
^ESCTRI959384	Risperidone 1mg tablets (A A H Pharmaceuticals Ltd)
^ESCTRI959385	Risperidone 1mg tablets (A A H Pharmaceuticals Ltd) 20 tablet
^ESCTRI959386	Risperidone 1mg tablets (A A H Pharmaceuticals Ltd) 60 tablet
^ESCTRI959387	Risperidone 2mg tablets (A A H Pharmaceuticals Ltd)
^ESCTRI959388	Risperidone 2mg tablets (A A H Pharmaceuticals Ltd) 60 tablet
^ESCTRI959389	Risperidone 3mg tablets (A A H Pharmaceuticals Ltd)
^ESCTRI959390	Risperidone 3mg tablets (A A H Pharmaceuticals Ltd) 60 tablet
^ESCTRI959391	Risperidone 4mg tablets (A A H Pharmaceuticals Ltd)
^ESCTRI959392	Risperidone 4mg tablets (A A H Pharmaceuticals Ltd) 60 tablet
^ESCTRI959393	Risperidone 6mg tablets (A A H Pharmaceuticals Ltd)
^ESCTRI959394	Risperidone 6mg tablets (A A H Pharmaceuticals Ltd) 28 tablet
^ESCTRI959422	Risperidone 500microgram tablets (Alliance Healthcare (Distribution) Ltd)
^ESCTRI959423	Risperidone 500microgram tablets (Alliance Healthcare (Distribution) Ltd) 20 tablet
^ESCTRI959424	Risperidone 1mg tablets (Alliance Healthcare (Distribution) Ltd)
^ESCTRI959425	Risperidone 1mg tablets (Alliance Healthcare (Distribution) Ltd) 20 tablet
^ESCTRI959426	Risperidone 1mg tablets (Alliance Healthcare (Distribution) Ltd) 60 tablet
^ESCTRI959427	Risperidone 2mg tablets (Alliance Healthcare (Distribution) Ltd)
^ESCTRI959428	Risperidone 2mg tablets (Alliance Healthcare (Distribution) Ltd) 60 tablet
^ESCTRI959429	Risperidone 3mg tablets (Alliance Healthcare (Distribution) Ltd)
^ESCTRI959430	Risperidone 3mg tablets (Alliance Healthcare (Distribution) Ltd) 60 tablet
^ESCTRI959431	Risperidone 4mg tablets (Alliance Healthcare (Distribution) Ltd)
^ESCTRI959432	Risperidone 4mg tablets (Alliance Healthcare (Distribution) Ltd) 60 tablet
^ESCTRI959433	Risperidone 6mg tablets (Alliance Healthcare (Distribution) Ltd)
^ESCTRI959434	Risperidone 6mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet
^ESCTRI959685	Risperidone 1mg/ml oral solution sugar free (Teva UK Ltd)
^ESCTRI959688	Risperidone 1mg/ml oral solution sugar free (Teva UK Ltd) 100 ml
^ESCTRI961556	Risperidone 1mg/ml oral solution sugar free (Kent Pharmaceuticals Ltd)
^ESCTRI961558	Risperidone 1mg/ml oral solution sugar free (Kent Pharmaceuticals Ltd) 100 ml
^ESCTRI961882	Risperidone 500microgram orodispersible tablets sugar free (A A H Pharmaceuticals Ltd)
^ESCTRI961883	Risperidone 500microgram orodispersible tablets sugar free (A A H Pharmaceuticals Ltd) 28 tablet 4 x 7 tablets
^ESCTRI961884	Risperidone 1mg orodispersible tablets sugar free (A A H Pharmaceuticals Ltd)
^ESCTRI961885	Risperidone 1mg orodispersible tablets sugar free (A A H Pharmaceuticals Ltd) 28 tablet
^ESCTRI961886	Risperidone 2mg orodispersible tablets sugar free (A A H Pharmaceuticals Ltd)
^ESCTRI961887	Risperidone 2mg orodispersible tablets sugar free (A A H Pharmaceuticals Ltd) 28 tablet 4 x 7 tablets
^ESCTRI961888	Risperidone 1mg/ml oral solution sugar free (A A H Pharmaceuticals Ltd)
^ESCTRI961889	Risperidone 1mg/ml oral solution sugar free (A A H Pharmaceuticals Ltd) 100 ml
^ESCTRI961935	Risperidone 1mg/ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)
^ESCTRI961937	Risperidone 1mg/ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd) 100 ml
^ESCTRI962474	Risperidone 500microgram tablets (Arrow Generics Ltd)
^ESCTRI962475	Risperidone 500microgram tablets (Arrow Generics Ltd) 20 tablet
^ESCTRI962476	Risperidone 1mg tablets (Arrow Generics Ltd)
^ESCTRI962477	Risperidone 1mg tablets (Arrow Generics Ltd) 20 tablet
^ESCTRI962478	Risperidone 1mg tablets (Arrow Generics Ltd) 60 tablet
^ESCTRI962479	Risperidone 2mg tablets (Arrow Generics Ltd)
^ESCTRI962480	Risperidone 2mg tablets (Arrow Generics Ltd) 60 tablet
^ESCTRI962481	Risperidone 3mg tablets (Arrow Generics Ltd)
^ESCTRI962482	Risperidone 3mg tablets (Arrow Generics Ltd) 60 tablet
^ESCTRI962483	Risperidone 4mg tablets (Arrow Generics Ltd)
^ESCTRI962484	Risperidone 4mg tablets (Arrow Generics Ltd) 60 tablet
^ESCTRI962485	Risperidone 6mg tablets (Arrow Generics Ltd)
^ESCTRI962486	Risperidone 6mg tablets (Arrow Generics Ltd) 28 tablet
^ESCTRI962884	Risperidone 500microgram orodispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd)
^ESCTRI962886	Risperidone 500microgram orodispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd) 28 tablet
^ESCTRI962887	Risperidone 1mg orodispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd)
^ESCTRI962888	Risperidone 1mg orodispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd) 28 tablet
^ESCTRI962889	Risperidone 2mg orodispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd)
^ESCTRI962890	Risperidone 2mg orodispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd) 28 tablet
^ESCTRI962891	Risperidone 3mg orodispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd)
^ESCTRI962892	Risperidone 3mg orodispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd) 28 tablet
^ESCTRI962893	Risperidone 4mg orodispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd)
^ESCTRI962894	Risperidone 4mg orodispersible tablets sugar free (Alliance Healthcare (Distribution) Ltd) 28 tablet
^ESCTRI964596	Risperidone 3mg orodispersible tablets sugar free (A A H Pharmaceuticals Ltd)
^ESCTRI964598	Risperidone 3mg orodispersible tablets sugar free (A A H Pharmaceuticals Ltd) 28 tablet 4 x 7 tablets
^ESCTRI964600	Risperidone 4mg orodispersible tablets sugar free (A A H Pharmaceuticals Ltd)
^ESCTRI964602	Risperidone 4mg orodispersible tablets sugar free (A A H Pharmaceuticals Ltd) 28 tablet 4 x 7 tablets
^ESCTRI965231	Risperidone 500microgram tablets (Ranbaxy (UK) Ltd)
^ESCTRI965232	Risperidone 500microgram tablets (Ranbaxy (UK) Ltd) 20 tablet 2 x 10 tablets
^ESCTRI965233	Risperidone 1mg tablets (Ranbaxy (UK) Ltd)
^ESCTRI965234	Risperidone 1mg tablets (Ranbaxy (UK) Ltd) 20 tablet 2 x 10 tablets
