ACGE9236HILLI	Actonorm  Gel  
GLOR46462NEMIS	Glycopyrronium Bromide  Oral solution  200 micrograms/5 ml
FATA35026MGEMIS	Famotidine  Tablets  20 mg (A.A.H. Pharm)
PRFO2359	Proctofoam Hc  Foam  
IKTA25522EMIS	Ikorel  Tablets  10 mg
IMCA16720NEMIS	Imodium Plus  Caplets  
MOOR34393NEMIS	Movicol Chocolate  Oral powder  13.9 grams/sachet
LITA8610EGTON	Lisinopril  Tablets  20 mg
LESU29424NEMIS	Lecicarbon E  Suppositories  
OMCA36339MGEMIS	Omeprazole  Capsules  10 mg (PLIVA Pharma Ltd)
NICA36247MGEMIS	Nizatidine  Capsules  300 mg (Kent Pharm)
META35923MGEMIS	Mebeverine Hydrochloride  Tablets  135 mg (Sandoz)
LOCA35803MGEMIS	Loperamide Hydrochloride  Capsules  2 mg (A.A.H. Pharm)
MEGA48144NEMIS	Mezzopram  Dispersible (Gastro-Resistant) Tablets  20 mg
COCA34445MGEMIS	Co-Danthramer 25/200  Capsules  (The Boots Company)
ZAEF17931EMIS	Zantac  Effervescent tablets  150 mg
PESU24198EMIS	Pentasa  Suppositories  1 gram
HYTA1409	Hygroton  Tablets  50 mg
GLSU37808MGEMIS	Glycerol (Adult)  Suppositories  4 gram (Thornton & Ross)
OMDI13051NEMIS	Omeprazole  Dispersible (Gastro-Resistant) Tablets  40 mg
HETA34219EMIS	Heliclear Triple Pack  Tablets And Capsules  
ALCA122379NEMIS	Alverine And Simeticone  Capsules  60 mg + 300 mg
UROR131719NEMIS	Urea [13-C]  Oral powder  75 mg Breath Test Kit Sugar Free
NOSA26972EMIS	Normacol Plus  Sachets  
GACH48796NEMIS	Gaviscon Double Action  Chewable tablets  Mint
DAIN22832EMIS	Dalteparin Sodium  Injection  5,000 units/0.2 ml pre-filled syringe
TUTA52612NEMIS	Tums Assorted Fruit Antacid  Tablets  
NETA5128NEMIS	Nexium  Tablets  20 mg
MIEN3921	Micolette Micro-  Enema  
MOTA1868	Moduretic  Tablets  
ISGR30800NEMIS	Ispaghula Husk  Granules, Gluten Free  3.5 grams/sachet
NACA138310NEMIS	Nalcrom (Imported Canada)  Capsules  100 mg
ZISU132972NEMIS	Zinc Oxide And Lidocaine  Suppositories  283.5 mg + 13.2 mg
GATA23985EMIS	Galenamet  Tablets  400 mg
MAGR10577BRIDL	Manevac  Granules  
ESGA39420NEMIS	Esomeprazole  Granules for Oral Suspension (Gastro-Resistant)  10 mg sachet
BUM/101209NEMIS	Budesonide  M/R tablets  9 mg
ZATA35231EMIS	Zantac 75  Tablets  75 mg
ACTA5787	Actal  Tablets  360 mg
OMCA36326MGEMIS	Omeprazole  Capsules  40 mg (PLIVA Pharma Ltd)
TOTA4427	Topal  Tablets  
DOPA541NEMIS	Docusol  Paediatric Oral Solution  12.5 mg/5 ml
CITA34332MGEMIS	Cimetidine  Tablets  200 mg (A.A.H. Pharm)
OMDI13049NEMIS	Omeprazole  Dispersible (Gastro-Resistant) Tablets  10 mg
SUTA37111MGEMIS	Sucralfate  Tablets  1 g (Kent Pharm)
GLOR51131NEMIS	Glycopyrronium Bromide  Oral solution  3 mg/5 ml
AISU26080EMIS	Ailax  Suspension  
COTA5666NEMIS	Coaprovel  Tablets  300 mg + 12.5 mg
COCA34449MGEMIS	Co-Danthramer Strong  Capsules  (Unichem)
SOCA139143NEMIS	NULL
COLI8820EGTON	Colofac  Liquid  50 mg/5 ml
TASY2774	Tagamet  Syrup  200 mg/5 ml
MASU3860	Maalox Plus  Suspension  
SUOR45683NEMIS	Sulfasalazine  Oral Suspension (Sugar-Free)  250 mg/5 ml
COTA9316HILLI	Co-Amilozide 2.5/25  Tablets  
DAIN11629NEMIS	Dalteparin Sodium  Injection  7,500 units/0.3 ml pre-filled syringe
SUTA38266MGEMIS	Sulfasalazine  Tablets  500 mg (Kent Pharm)
SEBA73927NEMIS	Secura Extra Protective  Barrier cream  
IRTA23521NEMIS	Irbesartan And Hydrochlorothiazide  Tablets  300 mg + 25 mg
META1793	Methylcellulose  Tablets  500 mg
NICA1987	Nifedipine  Capsules  5 mg
KOGE3808	Kolanticon  Gel  
