#AUTOGENERATED	DONT EDIT
A0223	Salmonella arthritis
XabfF	Human immunodeficiency virus drug resistance test
Xabjx	Infection due to carbapenemase producing Enterobacteriacea
XaBLu	Infantile viral gastroenteritis
Xabnc	Borrelial lymphocytoma
Xabnk	Human immunodeficiency virus type 1 subtype identification
XabpJ	Human immunodeficiency virus IgG avidity
XabtO	Suspected Ebola virus infection
XaC0x	Perinatal coagulase-negative staphylococcus
Xac8c	Multidrug resistant tuberculosis
XaCM2	Vancomycin-resistant enterococcal septicaemia
XaCMc	Septicaemia due to streptococcus pneumoniae
XaCMd	Septicaemia due to enterococcus
XaD2L	Bacteraemia NOS
XaDbw	Morganella infection
XaEJ0	Meticillin resistant staphylococcus aureus as the cause of diseases classified to other chapters
XaeU4	Severe Dengue
XaEYX	Pfeiffers disease
XaFqq	Presence of virus
XaFuL	HIV viral load
XaFuO	HIV p24 antigen level
XaIby	Malarial parasites
XaIwD	RBC malaria parasitaemia count
XaJqa	Clostridium difficile toxin detection
XaK3x	Tuberculosis index case
XaK3y	On tuberculosis chemoprophylaxis
XaKB6	Streptomycin resistant tuberculosis
XaKB9	Isoniazid resistant tuberculosis
XaKBC	Ciprofloxacin resistant tuberculosis
XaKIf	CD4 immune monitoring
XaMBK	Human immunodeficiency virus ribonucleic acid/deoxyribonucleic acid ratio
XaMGc	Tuberculosis support
XaMGd	Other specified tuberculosis support
XaMGe	Tuberculosis support NOS
XaMzV	Antiviral therapy
XaNhs	Group B streptococcus infection
XaO9K	Human immunodeficiency virus viral load by log rank
XaPEC	Genital herpes simplex type 1 infection
XaPED	Genital herpes simplex type 2 infection
XaPIU	Oseltamivir resistant virus detected
XaPOd	Human metapneumovirus detected
XaPOe	Human bocavirus detected
XaPOj	Human rhinovirus detected
XaPOl	Human adenovirus detected
XaPOm	Human enterovirus detected
XaPOZ	Amantadine resistant virus detected
XaQOt	Human immunodeficiency virus monitoring
XaQOu	Human immunodeficiency virus annual review
XaQOv	Human immunodeficiency virus positive general health check service declined
XaX0k	Panton-Valentine leucocidin associated staphylococcus aureus infection
XaYbc	Sepsis due to Actinomyces
XaYbd	Sepsis due to Streptococcus
XaYbe	Sepsis due to Streptococcus group A
XaYbf	Sepsis due to Streptococcus group B
XaYbj	Sepsis due to Streptococcus pneumoniae
XaYbk	Sepsis due to Staphylococcus
XaYbl	Sepsis due to Staphylococcus aureus
XaYbm	Sepsis due to anaerobic bacteria
XaYbn	Sepsis due to Gram negative bacteria
XaYbo	Sepsis due to Haemophilus influenzae
XaYby	Hantavirus pulmonary syndrome
XaYbz	Sepsis due to Candida
XaYdH	Disease due to West Nile virus
XaYhl	Infectious systemic inflammatory response syndrome
XaYnd	Referral to community human immunodeficiency virus nurse specialist
XaYOv	Impetigo herpetiformis
XaZsP	Suspected sepsis
XaZxo	Seen by community HIV (human immunodeficiency virus) nurse
XaZYG	Infection due to extended spectrum beta-lactamase producing bacteria
XE0Qm	Enteritis due to specified virus
XE0Qv	Cutaneous mycobacterial infections
XE0Qx	Septicaemia NOS
XE0Qy	Cutaneous actinomycosis
XE0R6	Meticillin resistant staphylococcus aureus
XE0R9	Varicella infection
XE0Ra	Rickettsioses and other arthropod-borne diseases
XE0RA	Herpes zoster with other central nervous system complication
XE0Rb	African tick typhus
XE0RB	Herpes simplex infection
XE0Rc	Indian tick typhus
XE0RC	Herpetic gingivostomatitis
XE0Re	Other malaria
XE0RE	Herpes simplex no complication NOS
XE0Rf	New World cutaneous leishmaniasis
XE0RF	Other viral exanthemata NOS
XE0Rg	Bartonellosis
XE0Rh	Syphilis and other venereal diseases
XE0RJ	Mosquito-borne haemorrhagic fever
XE0Rk	Primary syphilis
XE0RL	Mumps with unspecified complication
XE0Rm	Secondary syphilis of viscera or bone
XE0RM	Mumps with no complication
XE0Rn	Acquired syphilis - early latent
XE0RN	Hand foot and mouth disease
XE0Ro	Late cardiovascular syphilis
XE0RO	Trachoma - active stage
XE0RP	Inclusion conjunctivitis
XE0Rr	Tabes dorsalis
XE0Ru	Other and unspecified syphilis
XE0RV	Cytomegalovirus infection
XE0RW	Arenaviral haemorrhagic fever
XE0RX	Acquired immune deficiency syndrome
XE0Ry	Other gonococcal infection of other specified site
XE0Rz	Gonococcal infection of other site NOS
XE0RZ	Viral infection NOS
XE0S0	Gonococcal infections NOS
XE0S3	Other specified leptospiral infection NOS
XE0S7	Yaws hyperkeratosis
XE0S8	Bone and joint yaws lesions
XE0Sa	Other specified intestinal helminthiases
XE0Si	[X]Other specified bacterial agents as the cause of diseases classified to other chapters
XE0Sk	Infectious &/or parasitic disease
XE0SP	Eumycetoma
XE0ST	Schistosomiasis
XE0SW	Intestinal taenia solium infection
XE0T4	Tuberculosis of kidney with other genitourinary organ
XE0T6	Bacterial diseases (& [excl TB])
XE0T8	(Other zoonotic bacterial disease) or (tuluraemia)
XE0TG	Bacterial diseases NOS
XE0TI	Viral: [diseases] or [exanthem]
XE0Tk	Acquired immune deficiency syndrome (& [ARC])
XE0TO	(Herpes simplex (& [type 1] or [type 2])) or (scrumpox)
XE0Tu	(Rickettsioses/arthropod NOS) or (leishmaniasis)
XE0Tw	(Venereal &/or spirochaete diseases [& syphilis]) or (STDs)
XE0U2	Other syphilis
XE0xM	Obstetric pyaemic and septic pulmonary embolism
XE1Ay	Juvenile dermatitis herpetiformis
XE1f1	Intrauterine fetal sepsis, unspecified
XE1fp	Perinatal infections (& [congenital])
XE1Uq	Venereal disease carrier (& [NOS])
XE2aj	Tuberculosis of peripheral lymph nodes
XE2cZ	Herpes: [gestationis] or [+ pregnancy]
XE2QR	Maternal rubella in pregnancy, childbirth and the puerperium
XE2sp	Neuropathic arthropathy
XE2uC	Tuberculosis of skin and subcutaneous tissue
XE2uD	Pulmonary anthrax
XE2uH	Adenovirus infection
XE2uI	Rhinovirus infection
XE2uJ	Scrub typhus
XE2uL	Non-venereal endemic syphilis
XE2uN	Schistosoma haematobium
XE2uO	Schistosoma mansoni
XE2uR	Capillaria hepatica infection
XE2vG	Genital herpes unspecified
XE2vH	Unspecified ophthalmic herpes
XE2x9	Herpes zoster infection
XE2xT	Echovirus disease
XE2y7	Infectious mononucleosis
XM02r	Herpes labialis
XM0pN	Mycobacterial disease
XM1OM	Secondary syphilis of viscera
XSCCR	Late syphilis
XSCGD	Disseminated tuberculosis
XSCGJ	Inactive tuberculosis
ZV01A	[V]Asymptomatic human immunodeficiency virus infection status
ZV02.	[V]Carrier or suspected carrier of infectious disease
ZV020	[V]Cholera carrier
ZV021	[V]Typhoid carrier
ZV029	[V]Carrier of human T-lymphotropic virus type-1 infect
ZV02y	[V]Other specified infectious disease carrier
ZV02z	[V]Unspecified infectious disease carrier
ZVu0J	[X]Special screening examination for other bacterial diseases
ZVu12	[X]Carrier of other intestinal infectious diseases
ZVu13	[X]Carrier of other specified bacterial diseases
ZVu14	[X]Carrier of other infectious diseases
23E2.	O/E - consolidation present
A0222	Salmonella pneumonia
A054.	Amoebic lung abscess
A101.	Tuberculous pleurisy in primary progressive tuberculosis
A11..	Pulmonary tuberculosis
A110.	Infiltrative lung tuberculosis
A111.	Nodular lung tuberculosis
A112.	Tuberculosis of lung with cavitation
A114.	Tuberculous fibrosis of lung
A115.	Tuberculous bronchiectasis
A116.	Tuberculous pneumonia
A117.	Tuberculous pneumothorax
A11y.	Other specified pulmonary tuberculosis
A11z.	Pulmonary tuberculosis NOS
A12..	Other respiratory tuberculosis
A120.	Tuberculosis of pleura
A1201	Tuberculous empyema (& pleural)
A1202	Tuberculous hydrothorax
A120z	Tuberculous pleurisy NOS
A1240	Tuberculosis of lung, confirmed by sputum microscopy with or without culture
A1241	Tuberculosis of lung, confirmed by culture only
A1242	Tuberculosis of lung, confirmed histologically
A1243	Tuberculosis of lung, confirmed by unspecified means
A1246	Tuberculous pleurisy, confirmed bacteriologically and histologically
A1250	Tuberculosis of lung, bacteriologically and histologically negative
A1251	Tuberculosis of lung, bacteriological and histological examination not done
A12y.	Other specified respiratory tuberculosis
A12yz	Other specified respiratory tuberculosis NOS
A203.	Primary pneumonic plague
A205.	Pneumonic plague, unspecified
A391.	Pulmonary actinomycosis
A3B2.	Pneumococcal infection
A3By1	Eatons agent infection
A3By4	Mycoplasmal pneumonia
A551.	Postmeasles pneumonia
A73x.	Ornithosis with other specified complications
A73y.	Ornithosis with unspecified complications
A73z.	Unspecified Ornithosis
A7893	HIV disease resulting in Pneumocystis carinii pneumonia
AB24.	Candidiasis: [lung] or [pneumonia]
AC21.	Lung echinococcus granulosus
AD04.	Toxoplasma pneumonitis
H06..	Acute bronchitis and bronchiolitis
H0600	Acute fibrinous bronchitis
H0601	Acute membranous bronchitis
H0602	Acute pseudomembranous bronchitis
H0603	Acute purulent bronchitis
H0604	Acute croupous bronchitis
H0605	Acute tracheobronchitis
H0606	Acute pneumococcal bronchitis
H0607	Acute streptococcal bronchitis
H0608	Acute haemophilus influenzae bronchitis
H0609	Acute Neisseria catarrhalis bronchitis
H060B	Acute coxsackievirus bronchitis
H060C	Acute parainfluenza virus bronchitis
H060D	Acute respiratory syncytial virus bronchitis
H060E	Acute bronchitis due to rhinovirus
H060F	Acute echovirus bronchitis
H060v	Subacute bronchitis unspecified
H060w	Acute viral bronchitis unspecified
H060x	Acute bacterial bronchitis unspecified
H060z	Acute bronchitis NOS
H061.	Acute bronchiolitis
H0610	Acute capillary bronchiolitis
H0611	Acute obliterating bronchiolitis
H0612	Acute bronchiolitis with bronchospasm
H0613	Acute exudative bronchiolitis
H0615	Acute bronchiolitis due to respiratory syncytial virus
H0616	Acute bronchiolitis due to other specified organisms
H061z	Acute bronchiolitis NOS
H06z.	Acute bronchitis or bronchiolitis NOS
H07..	Chest cold
H2...	Pneumonia and influenza
H20..	Viral pneumonia (& chest infection)
H200.	Adenoviral pneumonia
H201.	Pneumonia due to respiratory syncytial virus
H202.	Parainfluenzal pneumonia
H20y.	Viral pneumonia NEC
H20z.	Viral pneumonia NOS
H21..	Pneumococcal pneumonia (& lobar)
H22..	Other bacterial pneumonia
H220.	Pneumonia due to Klebsiella pneumoniae
H221.	Pseudomonal pneumonia
H222.	Haemophilus influenzae pneumonia
H223.	Streptococcal pneumonia
H2230	Group B streptococcal pneumonia
H224.	Staphylococcal pneumonia
H22y.	Pneumonia due to other specified bacteria
H22y0	Escherichia coli pneumonia
H22y1	Proteus pneumonia
H22y2	Legionella pneumonia
H22yz	Pneumonia due to bacteria NOS
H22z.	Bacterial pneumonia NOS
H23..	Pneumonia due to other specified organisms
H232.	Pneumonia due to pleuropneumonia-like organism
H23z.	Pneumonia due to specified organism NOS
H240.	Measles pneumonia
H241.	Cytomegalovirus pneumonia
H242.	Ornithosis with pneumonia
H243.	Pertussis pneumonia
H245.	Anthrax pneumonia
H246.	Pneumonia with aspergillosis
H247.	Pneumonia with other systemic mycoses
H2470	Candidal pneumonia
H247z	Pneumonia with systemic mycosis NOS
H24y.	Pneumonia with other infectious diseases EC
H24y0	Actinomycotic pneumonia
H24y1	Nocardial pneumonia
H24y2	Pneumocystis carinii pneumonia
H24y3	Q fever pneumonia
H24y6	Typhoid pneumonia
H24y7	Chickenpox pneumonia
H24yz	Pneumonia with other infectious diseases EC NOS
H24z.	Pneumonia with infectious diseases EC NOS
H26..	Pneumonia due to unspecified organism
H260.	Lobar pneumonia due to unspecified organism
H270.	Influenzal pneumonia
H2700	Influenza with bronchopneumonia
H2701	Influenza with pneumonia, influenza virus identified
H270z	Influenza with pneumonia NOS
H2y..	Other specified pneumonia or influenza
H2z..	Pneumonia or influenza NOS
H300.	Tracheobronchitis NOS
H301.	Laryngotracheobronchitis
H30z.	Bronchitis NOS
H3120	Chronic asthmatic bronchitis
H357.	Ventilation pneumonitis
H3y0.	Chronic obstructive pulmonary disease with acute lower respiratory infection
H47..	Aspiration pneumonitis
H47y.	Pneumonitis due to inhalation of other solid or liquid
H47yz	Pneumonitis due to inhalation of solid or liquid NOS
H500.	Empyema with fistula (& pleural)
H5000	Empyema necessitans
H5001	Empyema with bronchopleural fistula
H5004	Empyema with pleural fistula NOS
H5005	Empyema with thoracic fistula NOS
H500z	Empyema with fistula NOS (& pleural)
H501.	Empyema with no fistula (& pleural)
H5010	Loculated empyema
H5013	Lung empyema NOS
H5015	Pyopneumothorax
H51..	Pleurisy
H510.	Pleurisy without effusion or active tuberculosis
H5103	Acute dry pleurisy
H5104	Diaphragmatic pleurisy
H5105	Basal pleurisy
H5106	Chronic dry pleurisy
H5107	Fibrinous pleurisy
H5109	Pneumococcal pleurisy
H510A	Staphylococcal pleurisy
H510B	Streptococcal pleurisy
H510z	Pleurisy without effusion or active tuberculosis NOS
H511.	Bacterial pleurisy with effusion
H5110	Pneumococcal pleurisy with effusion
H5111	Staphylococcal pleurisy with effusion
H511z	Bacterial pleurisy with effusion NOS
H51y0	Encysted pleurisy
H51z0	Exudative pleurisy NOS
H51z1	Serofibrinous pleurisy NOS
H51z2	Serous pleurisy NOS
H53..	Abscess of lung and mediastinum
H530.	Lung abscess
H5300	Single lung abscess
H5301	Multiple lung abscesses
H5302	Gangrenous pneumonia
H5303	Abscess of lung with pneumonia
H530z	Abscess of lung NOS
H53z.	Abscess of lung and mediastinum NOS
H5400	Hypostatic pneumonia
H5401	Hypostatic bronchopneumonia
H56y1	Interstitial pneumonia
Hyu08	[X]Other viral pneumonia
Hyu09	[X]Pneumonia due to other aerobic gram-negative bacteria
Hyu0A	[X]Other bacterial pneumonia
Hyu0B	[X]Pneumonia due to other specified infectious organisms
Hyu0C	[X]Pneumonia in bacterial diseases classified elsewhere
Hyu0D	[X]Pneumonia in viral diseases classified elsewhere
Hyu0E	[X]Pneumonia in mycoses classified elsewhere
Hyu0H	[X]Other pneumonia, organism unspecified
Hyu1.	[X]Other acute lower respiratory infections
Hyu10	[X]Acute bronchitis due to other specified organisms
Hyu11	[X]Acute bronchiolitis due to other specified organisms
Hyu43	[X]Hypersensitivity pneumonitis due to other organic dusts
Hyu47	[X]Pneumonitis due to inhalation of other solids and liquids
Hyu6.	[X]Suppurative and necrotic conditions of the lower respiratory tract
SP132	Postoperative chest infection
X1004	Infection of lower respiratory tract
X1006	Chest infection - unspecified bronchitis
X1007	Acute bacterial bronchitis
X1009	Acute mycoplasmal bronchitis
X100B	Acute viral bronchitis
X100C	Acute viral bronchiolitis
X100g	Herpes simplex pneumonia
X100G	Atypical pneumonia
X100H	Bacterial pneumonia
X100K	Pneumonic plague
X100M	Bronchopneumonia
X100N	Chlamydial pneumonia
X100R	Fungal pneumonia
X102j	Cryptogenic organising pneumonitis
X102z	Bronchiolitis obliterans with usual interstitial pneumonitis
Xa0lW	Acute laryngotracheobronchitis
Xa0lY	Lobar pneumonia
Xa7nL	Basal pneumonia
Xa7u5	Lung consolidation
Xa97Z	Pulmonary mycobacterium avium-intracellulare infection
XaBE9	Basal pneumonia due to unspecified organism
XaBM8	Recurrent chest infection
XaDsa	Infective pneumonia
XaDtB	Acute infective bronchitis
XaDtg	Tracheobronchitis
XaDtl	Legionnaires disease
XaDtP	Bronchitis
XaE01	Empyema
XaFrU	Postoperative pneumonia
XaL2O	Pneumonitis, unspecified
XaPOo	Mycoplasma pneumoniae detected
XaYYt	Acute bronchiolitis due to human metapneumovirus
XaYYu	Pneumonia due to human metapneumovirus
XaZ1k	Community acquired pneumonia
XaZ1l	Hospital acquired pneumonia
XE0Qu	Pulmonary mycobacterial infection
XE0Xr	Acute bronchitis
XE0Xs	Chest infection NOS
XE0Xt	Acute lower respiratory tract infection
XE0YG	Viral pneumonia
XE0YH	Pneumococcal lobar pneumonia
XE0YI	Pneumonia with infectious diseases EC
XE0YJ	Bronchopneumonia due to unspecified organism
XE0YL	Bronchitis unspecified
XE0Zj	(Pleurisy) or (adhesions - pleural)
XE2b5	Psittacosis
XE2uE	Legionella infection
XE2wL	Tuberculous pleural empyema
XE2wM	Pleural empyema
XE2wN	Pleural empyema with fistula
XE2wP	Pleural empyema with no fistula
XE2wR	Pleural empyema NOS
XM1QW	Respiratory tract infection
XM1QX	Acute wheezy bronchitis
A3A00	Gas gangrene caused by clostridium histolyticum
A3A01	Gas gangrene caused by clostridium oedematiens
A3A02	Gas gangrene caused by clostridium perfringens
A3A03	Gas gangrene caused by clostridium septicum
A3A06	Gas gangrene-neck
A3A07	Gas gangrene-back
A3A08	Gas gangrene-shoulder
A3A09	Gas gangrene-arm
A3A0A	Gas gangrene-forearm
A3A0B	Gas gangrene-hand
A3A0C	Gas gangrene-pelvis
A3A0D	Gas gangrene-thigh
A3A0E	Gas gangrene-leg
A3A0F	Gas gangrene-foot
A3A0z	Gas gangrene caused by organism NOS
A3Ay0	Tropical pyomyositis
A9570	Syphilis of synovium
A9571	Syphilis of tendon
F4G12	Orbital myositis
H57y1	Lung disease with polymyositis
H5y40	Diaphragmatitis
J3302	Epigastric hernia with gangrene
N004.	Polymyositis
N2300	Infective myositis-neck
N2301	Infective myositis-back
N2302	Infective myositis-shoulder
N2303	Infective myositis-arm
N2304	Infective myositis-forearm
N2305	Infective myositis-hand
N2306	Infective myositis-pelvis
N2307	Infective myositis-thigh
N2308	Infective myositis-leg
N2309	Infective myositis-foot
N230A	Muscle abscess
N230B	Muscle abscess-neck
N230C	Muscle abscess-back
N230D	Muscle abscess-shoulder
N230E	Muscle abscess-arm
N230F	Muscle abscess-forearm
N230G	Muscle abscess-hand
N230H	Muscle abscess-pelvis
N230J	Muscle abscess-thigh
N230K	Muscle abscess-leg
N230L	Muscle abscess-foot
N2332	Myositis in sarcoidosis
N23y0	Interstitial myositis
N2411	Myositis unspecified
Nyu44	[X]Other dermatomyositis
Nyu48	[X]Dermato(poly)myositis in neoplastic disease classified elsewhere
Nyu4E	[X]Dermatopolymyositis, unspecified
Nyu80	[X]Other myositis
Nyu88	[X]Myositis in other infectious diseases classified elsewhere
Nyu89	[X]Myositis in sarcoidosis classified elsewhere
X00ZV	Acute orbital myositis
X103U	Diaphragmatic trichiniasis
X20GU	Acute sarcoid polymyositis
X20GV	Chronic sarcoid myopathy
X309y	Abscess iliopsoas non-tuberculous
X5013	Necrotising fasciitis
X5014	Necrotising fasciitis of scrotum and perineum
X5015	Progressive bacterial synergistic gangrene
X50FL	Sclerodermatomyositis
X704p	Polymyositis with malignant disease
X704q	Polymyositis associated with autoimmune disease
X704s	Drug-induced polymyositis
X704t	Dermatomyositis with malignant disease
X704u	Juvenile dermatomyositis
X707x	Gonococcal tenosynovitis
X7089	Talc granuloma - muscle
X709d	Myositis
X709e	Viral myositis
X709f	Benign acute myositis
X709i	Bacterial myositis
X709k	Gas gangrene of limb
X709l	Uterine gas gangrene
X709m	Intestinal gas gangrene
X709n	Fungal myositis
X709o	Parasitic myositis
X709p	Protozoal myositis
X709q	Cestode myositis
X709r	Cysticercosis myositis
X709s	Hydatidosis myositis
X709t	Nematode myositis
X709u	Trichinosis myositis
X709v	Toxocariasis myositis
X709w	Inclusion body myositis
X709z	Focal nodular myositis
X70A0	Eosinophilic polymyositis
X70IS	Gas gangrene of skin
X70N7	Gonococcal synovitis
Xa0bF	Meleneys gangrene
Xa1jK	Idiopathic polymyositis
Xa1jL	Idiopathic dermatomyositis
XE0az	Iliopsoas abscess
XE0R0	Gas gangrene
XE0R1	Gas gangrene caused by clostridium histolyticum
XE0R2	Gas gangrene caused by clostridium oedematiens
XE0R3	Gas gangrene caused by clostridium perfringens
XE0R4	Gas gangrene caused by clostridium septicum
XE0Rw	Gonococcal synovitis or tenosynovitis
XE16s	Chronic orbital myositis
XE1DH	Dermatomyositis
XE1Ff	Infective myositis
XSC9R	Gas bacillus infection
70040	Drainage of abscess of brain tissue
70341	Evacuation of intracranial subdural abscess
A055.	Amoebic brain abscess
A13..	Tuberculosis of meninges and central nervous system
A1300	Tuberculosis of cerebral meninges
A1301	Tuberculosis of spinal meninges
A1302	Tuberculous leptomeningitis
A1303	Tuberculous meningoencephalitis
A130z	Tuberculous meningitis NOS
A131.	Tuberculoma of meninges
A132.	Tuberculoma of brain
A133.	Tuberculous abscess of brain
A136.	Tuberculous encephalitis or myelitis
A1361	Tuberculous myelitis
A136z	Tuberculous encephalitis or myelitis NOS
A13y.	Other specified tuberculosis of central nervous system
A13z.	Tuberculosis of central nervous system NOS
A206.	Plague meningitis
A2703	Listerial cerebral arteritis
A36y0	Meningococcal optic neuritis
A4...	Poliomyelitis and other non-arthropod-borne viral diseases of central nervous system
A40..	Acute poliomyelitis
A400.	Acute paralytic bulbar poliomyelitis
A401.	Acute paralytic non-bulbar poliomyelitis
A402.	Acute non-paralytic poliomyelitis
A403.	Acute paralytic poliomyelitis, unspecified
A4030	Acute paralytic poliomyelitis, vaccine-associated
A4031	Acute paralytic poliomyelitis, wild virus, imported
A4032	Acute paralytic poliomyelitis, wild virus, indigenous
A40z.	Acute poliomyelitis NOS
A41..	Slow viral central nervous system infection
A410.	Kuru
A411.	Creutzfeldt-Jakob disease
A413.	Progressive multifocal leucoencephalopathy
A41y.	Other slow virus central nervous system infections
A41z.	Slow virus central nervous system infection NOS
A42..	Enteroviral meningitis
A42y.	Other specified viral meningitis
A4z..	Other and unspecified non-arthropod-borne viral diseases of central nervous system
A4z0.	Lymphocytic choriomeningitis
A4z1.	Adenoviral meningitis
A4zy.	Other specified non-arthropod-borne viral diseases of the central nervous system
A4zy1	Acute necrotising viral encephalitis
A4zy2	Epidemic encephalitis
A4zy3	Encephalitis lethargica
A4zyz	Other specified non-arthropod-borne viral diseases of the central nervous system NOS
A520.	Postvaricella encephalitis
A553.	Measles complicated by meningitis
A5601	Rubella encephalomyelitis
A62..	Mosquito-borne viral encephalitis
A620.	Japanese B encephalitis
A621.	Western equine encephalitis
A622.	Eastern equine encephalitis
A623.	Saint Louis encephalitis
A624.	Murray Valley encephalitis
A63..	Tick-borne viral encephalitis
A630.	Russian spring-summer encephalitis
A632.	Central European tick-borne encephalitis
A63y0	Langat encephalitis
A6637	Oropouche fever
A8400	Plasmodium falciparum malaria with cerebral complications
A904.	Juvenile neurosyphilis
A9040	Unspecified juvenile neurosyphilis
A9041	Congenital syphilitic encephalitis
A904z	Juvenile neurosyphilis NOS
A9180	Acute secondary syphilitic meningitis
A94..	Neurosyphilis
A943.	Asymptomatic neurosyphilis
A94y.	Other specified neurosyphilis
A94y0	Syphilitic encephalitis
A94y1	Syphilitic parkinsonism
A94y3	Syphilitic optic atrophy
A94y4	Syphilitic retrobulbar neuritis
A94yz	Other specified neurosyphilis NOS
A94z.	Neurosyphilis NOS
AA0y0	Leptospiral meningitis
AB2y2	Candidal meningitis
AB32.	Coccidioidal meningitis
AB401	Histoplasma capsulatum with meningitis
AB411	Histoplasma duboisii with meningitis
AB4z1	Histoplasmosis with meningitis
AB621	Phaeohyphomycotic brain abscess
AB654	Cerebral cryptococcosis
AB671	Rhinocerebral mucormycosis
AC310	Cysticercosis of central nervous system
Ayu15	[X]Tuberculosis of nervous system, unspecified
Ayu47	[X]Neurosyphilis, unspecified
Ayu8.	[X]Viral infections of the central nervous system
Ayu80	[X]Acute paralytic poliomyelitis, other and unspecified
Ayu81	[X]Acute poliomyelitis, unspecified
Ayu82	[X]Other slow virus infections of central nervous system
Ayu83	[X]Slow virus infection of central nervous system, unspecified
Ayu84	[X]Rabies, unspecified
Ayu87	[X]Other tick-borne viral encephalitis
Ayu8A	[X]Other specified viral encephalitis
Ayu8B	[X]Unspecified viral encephalitis
Ayu8C	[X]Other viral meningitis
Ayu8D	[X]Viral meningitis, unspecified
Ayu8E	[X]Other specified viral infections of the central nervous system
Ayu8F	[X]Unspecified viral infection of the central nervous system
E0301	Acute confusional state, of infective origin
E0311	Subacute confusional state, of infective origin
F00..	Bacterial meningitis
F000.	Haemophilus meningitis
F001.	Pneumococcal meningitis
F002.	Streptococcal meningitis
F003.	Staphylococcal meningitis
F004.	Tuberculous meningitis
F005.	Meningococcal meningitis
F007.	Meningitis in other bacterial disease classified elsewhere
F0070	Gonococcal meningitis
F0071	Listeria meningitis
F0072	Meningitis due to neurosyphilis
F0073	Salmonella meningitis
F0074	Congenital syphilitic meningitis
F0075	Secondary syphilitic meningitis
F0076	Meningitis due to typhoid fever
F0077	Actinomycotic meningitis
F0078	Meningitis due to pertussis
F007z	Unspecified meningitis in bacterial disease EC
F00y.	Other specified bacterial meningitis
F00y0	Aerobacter meningitis
F00y1	Meningitis due to bacillus pyocyaneus
F00y2	Escherichia coli meningitis
F00y3	Meningitis due to Friedlander bacillus
F00y4	Klebsiella meningitis
F00y5	Morganella morganii meningitis
F00y6	Pseudomonas meningitis
F00yz	Other specified bacterial meningitis NOS
F00z.	Bacterial meningitis NOS
F01..	Meningitis due to other organisms
F010.	Fungal meningitis
F0100	Cryptococcal meningitis
F010z	Other fungal meningitis
F011.	Meningitis due to viral organisms EC
F0110	Coxsackie viral meningitis
F0111	Echovirus meningitis
F0112	Meningitis due to herpes zoster virus
F0113	Herpes simplex meningitis
F0114	Mumps meningitis
F011y	Other viral meningitis
F012.	Meningitis due to trypanosomiasis
F013.	Sarcoid meningitis
F01y.	Other non-bacterial meningitis
F01yz	Other non-bacterial meningitis NOS
F01z.	Meningitis due to organism NOS
F02..	Meningitis of unspecified cause
F020.	Non-pyogenic meningitis
F021.	Chronic eosinophilic meningitis
F022.	Chronic meningitis
F023.	Arachnoiditis
F02z.	Unspecified meningitis
F030.	Encephalitis in viral disease EC
F0301	Subacute sclerosing panencephalitis
F0302	Polioencephalitis
F0303	Arbovirus encephalitis
F0305	Mumps encephalitis
F0306	Rubella encephalitis
F030z	Encephalitis in viral disease NOS
F031.	Encephalitis due to rickettsia EC
F032.	Encephalitis due to protozoa EC
F0320	Malarial encephalitis
F0321	Trypanosomiasis encephalitis
F032z	Encephalitis due to protozoa EC NOS
F033.	Encephalitis due to other infection EC
F0330	Meningococcal encephalitis
F0332	Encephalitis due to syphilis unspecified
F0333	Tuberculous encephalitis
F0334	Toxoplasma encephalitis
F033z	Unspecified encephalitis due to other infection EC
F034.	Post-immunisation encephalitis
F0340	Post BCG vaccination encephalitis
F0341	Post typhoid vaccination encephalitis
F0342	Post paratyphoid vaccination encephalitis
F0345	Post tetanus vaccination encephalitis
F0347	Post pertussis vaccination encephalitis
F0348	Post smallpox vaccination encephalitis
F034A	Post typhus vaccination encephalitis
F034B	Post yellow fever vaccination encephalitis
F034C	Post measles vaccination encephalitis
F034D	Post polio vaccination encephalitis
F034E	Post mumps vaccination encephalitis
F034G	Post influenza vaccination encephalitis
F034H	Post hepatitis A vaccination encephalitis
F034J	Post hepatitis B vaccination encephalitis
F034x	Post mixed vaccination encephalitis
F034y	Post other specified vaccination encephalitis
F034z	Post-immunisation encephalitis NOS
F035.	Post-infectious encephalitis
F0350	Varicella encephalitis
F0351	Post-measles encephalitis
F035z	Post-infectious encephalitis NOS
F037.	Transverse myelitis
F04..	Intracranial and intraspinal abscesses
F0400	Cerebral intracranial abscess
F0401	Cerebellar intracranial abscess
F0402	Otogenic intracranial abscess
F0404	Epidural intracranial abscess
F0405	Subdural intracranial abscess
F0406	Tuberculous intracranial abscess
F040z	Intracranial abscess NOS
F041.	Intraspinal abscess
F0410	Epidural intraspinal abscess
F0412	Subdural intraspinal abscess
F041z	Intraspinal abscess NOS
F04z.	Intracranial or intraspinal abscess NOS
F212.	Acute and subacute haemorrhagic leukoencephalitis [Hurst]
F28y1	Cerebral fungus
Fyu00	[X]Other bacterial meningitis
Fyu01	[X]Meningitis in viral diseases classified elsewhere
Fyu02	[X]Meningitis in mycoses classified elsewhere
Fyu03	[X]Meningitis in other specified infectious and parasitic diseases classified elsewhere
Fyu04	[X]Meningitis due to other specified causes
Fyu05	[X]Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified
Fyu06	[X]Other encephalitis, myelitis and encephalomyelitis
