7G03J	Excision of melanoma
XaF26	Leukaemic infiltrate of retina
XaFr4	Local recurrence of malignant tumour of tongue
XaFr5	Local recurrence of malignant tumour of buccal cavity
XaFr6	Local recurrence of malignant tumour of thyroid gland
XaFr8	Local recurrence of malignant tumour of breast
XaFrD	Local recurrence of malignant tumour of oesophagus
XaFrE	Local recurrence of malignant tumour of stomach
XaFrF	Local recurrence of malignant tumour of gallbladder
XaFrG	Local recurrence of malignant tumour of liver
XaFrH	Local recurrence of malignant tumour of pancreas
XaFrI	Local recurrence of malignant tumour of colon
XaFrJ	Local recurrence of malignant tumour of rectum
XaFrK	Local recurrence of malignant tumour of kidney
XaFrL	Local recurrence of malignant tumour of urinary bladder
XaFrM	Local recurrence of malignant tumour of prostate
XaFrN	Local recurrence of malignant tumour of cervix
XaFrQ	Local recurrence of malignant tumour of bone
XaFrR	Local recurrence of malignant tumour of soft tissue
XaFrT	Local recurrence of malignant melanoma of skin
XaFrc	Metastases by primary malignancy
XaFrd	Metastasis from malignant melanoma of skin
XaFrf	Metastasis from malignant tumour of soft tissues
XaFrg	Metastasis from malignant tumour of bone
XaFrh	Metastasis from malignant tumour of adrenal gland
XaFri	Metastasis from malignant tumour of cervix
XaFrj	Metastasis from malignant tumour of uterus
XaFrk	Metastasis from malignant tumour of prostate
XaFrl	Metastasis from malignant tumour of bladder
XaFrm	Metastasis from malignant tumour of kidney
XaFrn	Metastasis from malignant tumour of rectum
XaFro	Metastasis from malignant tumour of colon
XaFrp	Metastasis from malignant tumour of pancreas
XaFrq	Metastasis from malignant tumour of liver
XaFrr	Metastasis from malignant tumour of gallbladder
XaFrs	Metastasis from malignant tumour of stomach
XaFrt	Metastasis from malignant tumour of oesophagus
XaFru	Metastasis from malignant tumour of breast
XaFrv	Metastasis from malignant tumour of bronchus
XaFrx	Metastasis from malignant tumour of thyroid
XaFry	Metastasis from malignant tumour of buccal cavity
XaFrz	Metastasis from malignant tumour of tongue
XaFsw	Hereditary nonpolyposis colon cancer
XaFzu	Malignant neoplasm of bone
XaIJA	Pathological fracture due to metastatic bone disease
XaIma	Gleason grading of prostate cancer
XaImb	Gleason prostate grade 2-4 (low)
XaImc	Gleason prostate grade 5-7 (medium)
XaImd	Gleason prostate grade 8-10 (high)
XaIn5	Squamous cell carcinoma antigen level
XaIph	Cancer confirmed
XaJM3	Osteosarcoma - disorder
XaJU6	Breast cancer detected by national screening programme
XaKHe	Date cancer diagnosis received in primary care
XaKI4	Cancer hospital treatment completed
XaKI6	Cancer pain and symptom management
XaKI8	Cancer rehabilitation and readaption
XaKWz	Malignant sacral teratoma
XaMeL	Malignant neoplasm of descended testis NOS
XaN5C	Bowel cancer detected by national screening programme
XaOqX	Siewert type II adenocarcinoma
XaOrB	Siewert type III adenocarcinoma
XaOrV	Siewert type I adenocarcinoma
XaX42	Grade 1 (Stage pTa) papillary urothelial/transitionl cell ca
XaX43	Grade 2 (Stage pTa) papillary urothelial/transitionl cell ca
XaX44	Grade 3 (Stage pTa) papillary urothelial/transitionl cell ca
XaXQk	Secondary malignant neoplasm of large intestine and rectum
XaYeq	Secondary malignant neoplasm of liver intrahepatic bile duct
XaZzi	[M]Peripheral neuroectodermal tumour
XaabR	Bowel scope (flexible sigmoidoscopy) screen: cancer detected
Xaafk	Crv smr - hi grade dyskaryosis? invasive squamous carcinoma
XacIU	Malignant melanoma stage IA
XacIV	Malignant melanoma stage IB
XacIW	Malignant melanoma stage IIA
XacIX	Malignant melanoma stage IIB
XacIY	Malignant melanoma stage IIC
XacIZ	Malignant melanoma stage IIIA
XacIa	Malignant melanoma stage IIIB
XacIb	Malignant melanoma stage IIIC
XacId	Malignant melanoma stage IV M1a
XacIe	Malignant melanoma stage IV M1b
XacIf	Malignant melanoma stage IV M1c
XacY5	Active surveillance of prostate cancer
Y3491	Malignant neoplasm of eye and adnexa
Y3656	H/O Carcinoma of breast
ZV676	[V]Follow-up examination aft surgery for malignant neoplasm
ZV677	[V]Follow-up exam after radiotherapy for malignant neoplasm
ZV679	[V]Follow-up exam aft combined treatment for malig neoplasm
ZV67A	[V]Folow-up exam aft other treatment for malignant neoplasm
ZV67B	[V]Folow-up exam aft unspec treatment for malignant neoplasm
4C53.	Bone marrow: myeloma cells
A7896	HIV disease resulting in Burkitt's lymphoma
A7897	HIV dis resulting oth types of non-Hodgkin's lymphoma
AyuC6	[X]HIV disease resulting in other non-Hodgkin's lymphoma
B6...	Malig neoplasm lympha & haemopoiet tiss (& [histiocyt tiss])
B60..	Lymphosarcoma and reticulosarcoma
B600.	Reticulosarcoma
B6000	Reticulosarcoma of unspecified site
B6001	Reticulosarcoma of lymph nodes of head, face and neck
B6002	Reticulosarcoma of intrathoracic lymph nodes
B6003	Reticulosarcoma of intra-abdominal lymph nodes
B6004	Reticulosarcoma of lymph nodes of axilla and upper limb
B6005	Reticulosarcoma of lymph nodes of inguinal region and leg
B6006	Reticulosarcoma of intrapelvic lymph nodes
B6007	Reticulosarcoma of spleen
B6008	Reticulosarcoma of lymph nodes of multiple sites
B600z	Reticulosarcoma NOS
B601.	Lymphosarcoma
B6010	Lymphosarcoma of unspecified site
B6011	Lymphosarcoma of lymph nodes of head, face and neck
B6012	Lymphosarcoma of intrathoracic lymph nodes
B6013	Lymphosarcoma of intra-abdominal lymph nodes
B6014	Lymphosarcoma of lymph nodes of axilla and upper limb
B6015	Lymphosarcoma of lymph nodes of inguinal region and leg
B6016	Lymphosarcoma of intrapelvic lymph nodes
B6017	Lymphosarcoma of spleen
B6018	Lymphosarcoma of lymph nodes of multiple sites
B601z	Lymphosarcoma NOS
B602.	Burkitt's lymphoma - disorder
B6020	Burkitt's lymphoma of unspecified site
B6021	Burkitt's lymphoma of lymph nodes of head, face and neck
B6022	Burkitt's lymphoma of intrathoracic lymph nodes
B6023	Burkitt's lymphoma of intra-abdominal lymph nodes
B6024	Burkitt's lymphoma of lymph nodes of axilla and upper limb
B6025	Burkitt's lymphoma of lymph nodes of inguinal region and leg
B6026	Burkitt's lymphoma of intrapelvic lymph nodes
B6027	Burkitt's lymphoma of spleen
B6028	Burkitt's lymphoma of lymph nodes of multiple sites
B602z	Burkitt's lymphoma NOS
B60y.	Other specified reticulosarcoma or lymphosarcoma
B60z.	Reticulosarcoma or lymphosarcoma NOS
B61..	Hodgkin's disease
B611.	Hodgkin's granuloma
B6110	Hodgkin's granuloma of unspecified site
B6111	Hodgkin's granuloma of lymph nodes of head, face and neck
B6112	Hodgkin's granuloma of intrathoracic lymph nodes
B6113	Hodgkin's granuloma of intra-abdominal lymph nodes
B6114	Hodgkin's granuloma of lymph nodes of axilla and upper limb
B6115	Hodgkin's granuloma lymph nodes of inguinal region and leg
B6116	Hodgkin's granuloma of intrapelvic lymph nodes
B6117	Hodgkin's granuloma of spleen
B6118	Hodgkin's granuloma of lymph nodes of multiple sites
B611z	Hodgkin's granuloma NOS
B612.	Hodgkin's sarcoma
B6120	Hodgkin's sarcoma of unspecified site
B6121	Hodgkin's sarcoma of lymph nodes of head, face and neck
B6122	Hodgkin's sarcoma of intrathoracic lymph nodes
B6123	Hodgkin's sarcoma of intra-abdominal lymph nodes
B6124	Hodgkin's sarcoma of lymph nodes of axilla and upper limb
B6125	Hodgkin's sarcoma of lymph nodes of inguinal region and leg
B6126	Hodgkin's sarcoma of intrapelvic lymph nodes
B6127	Hodgkin's sarcoma of spleen
B6128	Hodgkin's sarcoma of lymph nodes of multiple sites
B612z	Hodgkin's sarcoma NOS
B613.	Lymphocyte-rich classical Hodgkin lymphoma
B6130	Hodgkin's, lymphocytic-histiocytic predominance unspec site
B6131	Hodgkin's, lymphocytic-histiocytic pred of head, face, neck
B6132	Hodgkin's, lymphocytic-histiocytic pred intrathoracic nodes
B6133	Hodgkin's, lymphocytic-histiocytic pred intra-abdominal node
B6134	Hodgkin's, lymphocytic-histiocytic pred axilla and arm
B6135	Hodgkin's, lymphocytic-histiocytic pred inguinal and leg
B6136	Hodgkin's, lymphocytic-histiocytic pred intrapelvic nodes
B6137	Hodgkin's, lymphocytic-histiocytic predominance of spleen
B6138	Hodgkin's, lymphocytic-histiocytic pred of multiple sites
B613z	Hodgkin's, lymphocytic-histiocytic predominance NOS
B614.	Hodgkin's disease, nodular sclerosis
B6140	Hodgkin's disease, nodular sclerosis of unspecified site
B6141	Hodgkin's nodular sclerosis of head, face and neck
B6142	Hodgkin's nodular sclerosis of intrathoracic lymph nodes
B6143	Hodgkin's nodular sclerosis of intra-abdominal lymph nodes
B6144	Hodgkin's nodular sclerosis of lymph nodes of axilla and arm
B6145	Hodgkin's nodular sclerosis of inguinal region and leg
B6146	Hodgkin's nodular sclerosis of intrapelvic lymph nodes
B6147	Hodgkin's disease, nodular sclerosis of spleen
B6148	Hodgkin's nodular sclerosis of lymph nodes of multiple sites
B614z	Hodgkin's disease, nodular sclerosis NOS
B615.	Hodgkin's disease, mixed cellularity
B6150	Hodgkin's disease, mixed cellularity of unspecified site
B6151	Hodgkin's mixed cellularity of lymph nodes head, face, neck
B6152	Hodgkin's mixed cellularity of intrathoracic lymph nodes
B6153	Hodgkin's mixed cellularity of intra-abdominal lymph nodes
B6154	Hodgkin's mixed cellularity of lymph nodes of axilla and arm
B6155	Hodgkin's mixed cellularity of lymph nodes inguinal and leg
B6156	Hodgkin's mixed cellularity of intrapelvic lymph nodes
B6157	Hodgkin's disease, mixed cellularity of spleen
B6158	Hodgkin's mixed cellularity of lymph nodes of multiple sites
B615z	Hodgkin's disease, mixed cellularity NOS
B616.	Hodgkin's disease, lymphocytic depletion
B6160	Hodgkin's lymphocytic depletion of unspecified site
B6161	Hodgkin's lymphocytic depletion of head, face and neck
B6162	Hodgkin's lymphocytic depletion of intrathoracic lymph nodes
B6163	Hodgkin's lymphocytic depletion intra-abdominal lymph nodes
B6164	Hodgkin's lymphocytic depletion lymph nodes axilla and arm
B6165	Hodgkin's lymphocytic depletion lymph nodes inguinal and leg
B6166	Hodgkin's lymphocytic depletion of intrapelvic lymph nodes
B6167	Hodgkin's disease, lymphocytic depletion of spleen
B6168	Hodgkin's lymphocytic depletion lymph nodes multiple sites
B616z	Hodgkin's disease, lymphocytic depletion NOS
B61z.	Hodgkin's disease NOS
B61z0	Hodgkin's disease NOS, unspecified site
B61z1	Hodgkin's disease NOS of lymph nodes of head, face and neck
B61z2	Hodgkin's disease NOS of intrathoracic lymph nodes
B61z3	Hodgkin's disease NOS of intra-abdominal lymph nodes
B61z4	Hodgkin's disease NOS of lymph nodes of axilla and arm
B61z5	Hodgkin's disease NOS of lymph nodes inguinal region and leg
B61z6	Hodgkin's disease NOS of intrapelvic lymph nodes
B61z7	Hodgkin's disease NOS of spleen
B61z8	Hodgkin's disease NOS of lymph nodes of multiple sites
B61zz	Hodgkin's disease NOS
B62..	Other malignant neoplasm of lymphoid and histiocytic tissue
B620.	(Nodular lymphoma: Brill-Symmers) or (reticulosarc foll/nod)
B6200	Nodular lymphoma of unspecified site
B6201	Nodular lymphoma of lymph nodes of head, face and neck
B6202	Nodular lymphoma of intrathoracic lymph nodes
B6203	Nodular lymphoma of intra-abdominal lymph nodes
B6204	Nodular lymphoma of lymph nodes of axilla and upper limb
B6205	Nodular lymphoma of lymph nodes of inguinal region and leg
B6206	Nodular lymphoma of intrapelvic lymph nodes
B6207	Nodular lymphoma of spleen
B6208	Nodular lymphoma of lymph nodes of multiple sites
B620z	Nodular lymphoma NOS
B621.	Mycosis fungoides
B6210	Mycosis fungoides of unspecified site
B6211	Mycosis fungoides of the lymph nodes of head, face and neck
B6212	Mycosis fungoides of intrathoracic lymph nodes
B6213	Mycosis fungoides of intra-abdominal lymph nodes
B6214	Mycosis fungoides of lymph nodes of axilla and upper limb
B6215	Mycosis fungoides of lymph nodes of inguinal region and leg
B6216	Mycosis fungoides of intrapelvic lymph nodes
B6217	Mycosis fungoides of spleen
B6218	Mycosis fungoides of lymph nodes of multiple sites
B621z	Mycosis fungoides NOS
B622.	Sezary's disease
B6220	Sezary's disease of unspecified site
B6221	Sezary's disease of lymph nodes of head, face and neck
B6222	Sezary's disease of intrathoracic lymph nodes
B6223	Sezary's disease of intra-abdominal lymph nodes
B6224	Sezary's disease of lymph nodes of axilla and upper limb
B6225	Sezary's disease of lymph nodes of inguinal region and leg
B6226	Sezary's disease of intrapelvic lymph nodes
B6227	Sezary's disease of spleen
B6228	Sezary's disease of lymph nodes of multiple sites
B622z	Sezary's disease NOS
B623.	Malignant histiocytosis
B6230	Malignant histiocytosis of unspecified site
B6231	Malignant histiocytosis of lymph nodes head, face and neck
B6232	Malignant histiocytosis of intrathoracic lymph nodes
B6233	Malignant histiocytosis of intra-abdominal lymph nodes
B6234	Malignant histiocytosis of lymph nodes of axilla and arm
B6235	Malignant histiocytosis of lymph nodes inguinal and leg
B6236	Malignant histiocytosis of intrapelvic lymph nodes
B6237	Malignant histiocytosis of spleen
B6238	Malignant histiocytosis of lymph nodes of multiple sites
B623z	Malignant histiocytosis NOS
B624.	Hairy cell leukaemia
B6240	Leukaemic reticuloendotheliosis of unspecified sites
B6241	Leukaemic reticuloend of lymph nodes of head, face and neck
B6242	Leukaemic reticuloendotheliosis of intrathoracic lymph nodes
B6243	Leukaemic reticuloend of intra-abdominal lymph nodes
B6244	Leukaemic reticuloend of lymph nodes of axilla and arm
B6245	Leukaemic reticuloend of lymph nodes inguinal region and leg
B6246	Leukaemic reticuloendotheliosis of intrapelvic lymph nodes
B6247	Leukaemic reticuloendotheliosis of spleen
B6248	Leukaemic reticuloend of lymph nodes of multiple sites
B624z	Leukaemic reticuloendotheliosis NOS
B625.	Letterer-Siwe disease
B6250	Letterer-Siwe disease of unspecified sites
B6251	Letterer-Siwe disease of lymph nodes of head, face and neck
B6252	Letterer-Siwe disease of intrathoracic lymph nodes
B6253	Letterer-Siwe disease of intra-abdominal lymph nodes
B6254	Letterer-Siwe disease of lymph nodes of axilla and arm
B6255	Letterer-Siwe disease of lymph nodes inguinal region and leg
B6256	Letterer-Siwe disease of intrapelvic lymph nodes
B6257	Letterer-Siwe disease of spleen
B6258	Letterer-Siwe disease of lymph nodes of multiple sites
B625z	Letterer-Siwe disease NOS
B626.	Malignant mast cell tumours
B6260	Mast cell malignancy of unspecified site
B6261	Mast cell malignancy of lymph nodes of head, face and neck
B6262	Mast cell malignancy of intrathoracic lymph nodes
B6263	Mast cell malignancy of intra-abdominal lymph nodes
B6264	Mast cell malignancy of lymph nodes of axilla and upper limb
B6265	Mast cell malignancy of lymph nodes inguinal region and leg
B6266	Mast cell malignancy of intrapelvic lymph nodes
B6267	Mast cell malignancy of spleen
B6268	Mast cell malignancy of lymph nodes of multiple sites
B626z	Malignant mast cell tumour NOS
B627.	Non-Hodgkin's lymphoma - disorder
B6271	Follicular non-Hodg mixed sml cleavd & lge cell lymphoma
B6273	Diffuse malignant lymphoma - small non-cleaved cell
B6274	Malignant lymphoma - small cleaved cell
B6275	Malignant lymphoma - mixed small and large cell
B6276	Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma
B6277	Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma
B6278	Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse)
B627B	Other types of follicular non-Hodgkin's lymphoma
B627C	Follicular lymphoma: [non-Hodgkin's] or [NOS]
B62x.	Malignant lymphoma otherwise specified
B62x5	Malignant immunoproliferative small intestinal disease
B62y.	Malignant lymphoma NOS
B62y0	Malignant lymphoma NOS of unspecified site
B62y1	Malignant lymphoma NOS of lymph nodes of head, face and neck
B62y2	Malignant lymphoma NOS of intrathoracic lymph nodes
B62y3	Malignant lymphoma NOS of intra-abdominal lymph nodes
B62y4	Malignant lymphoma NOS of lymph nodes of axilla and arm
B62y5	Malignant lymphoma NOS of lymph node inguinal region and leg
B62y6	Malignant lymphoma NOS of intrapelvic lymph nodes
B62y7	Malignant lymphoma NOS of spleen
B62y8	Malignant lymphoma NOS of lymph nodes of multiple sites
B62z.	Malignant neoplasms of lymphoid and histiocytic tissue NOS
B62z0	Unspec malig neop lymphoid/histiocytic of unspecified site
B62z1	Unspec malig neop lymphoid/histiocytic lymph node head/neck
B62z2	Unspec malig neop lymphoid/histiocytic of intrathoracic node
B62z3	Unspec malig neop lymphoid/histiocytic intra-abdominal nodes
B62z4	Unspec malig neop lymphoid/histiocytic lymph node axilla/arm
B62z5	Unspec malig neop lymphoid/histiocytic nodes inguinal/leg
B62z6	Unspec malig neop lymphoid/histiocytic of intrapelvic nodes
B62z7	Unspec malig neop lymphoid/histiocytic of spleen
B62z8	Unspec malig neop lymphoid/histiocytic of multiple sites
B62zz	(Lymphoid & histiocytic malign NOS) or (immunoprolif neopl)
B63..	Multiple myeloma and immunoproliferative disease
B630.	Myeloma
B6300	Malignant plasma cell neoplasm, extramedullary plasmacytoma
B6302	Plasmacytoma NOS
B63y.	Other immunoproliferative neoplasms
B63z.	Immunoproliferative neoplasm or myeloma NOS
B64..	Lymphoid leukaemia
B640.	Acute lymphoid leukaemia
B641.	Chronic lymphoid leukaemia
B642.	Subacute lymphoid leukaemia
B64y.	Other lymphoid leukaemia
B64y0	Aleukaemic lymphoid leukaemia
B64y1	Prolymphocytic leukaemia
B64y2	Adult T-cell leukaemia
B64yz	Other lymphoid leukaemia NOS
B64z.	Lymphoid leukaemia NOS
B65..	Myeloid leukaemia
B650.	Acute myeloid leukaemia
B651.	Chronic myeloid leukaemia
B6510	Chronic eosinophilic leukaemia
B6512	Chronic neutrophilic leukaemia
B651z	Chronic myeloid leukaemia NOS
B652.	Subacute myeloid leukaemia
B653.	Myeloid sarcoma
B6530	Chloroma
B6531	Granulocytic sarcoma
B653z	Myeloid sarcoma NOS
B65y.	Other myeloid leukaemia
B65y0	Aleukaemic myeloid leukaemia
B65y1	Acute promyelocytic leukaemia
B65yz	Other myeloid leukaemia NOS
B65z.	Myeloid leukaemia NOS
B66..	Monocytic leukaemia
B660.	Acute monocytic leukaemia
B661.	Chronic monocytic leukaemia
B662.	Subacute monocytic leukaemia
B66y.	Other monocytic leukaemia
B66y0	Aleukaemic monocytic leukaemia
B66yz	Other monocytic leukaemia NOS
B66z.	Monocytic leukaemia NOS
B67..	Other specified leukaemia
B670.	(Acute erythraemia+erythroleukaemia) or( Di Guglielmo's dis)
B671.	(Chronic erythraemia) or (Heilmeyer - Schoner disease)
B672.	Megakaryocytic leukaemia
B673.	Mast cell leukaemia
B674.	Acute panmyelosis
B675.	Acute myelofibrosis
B67y.	Other and unspecified leukaemia
B67y0	Lymphosarcoma cell leukaemia
B67yz	Other and unspecified leukaemia NOS
B67z.	Other specified leukaemia NOS
B68..	Leukaemia of unspecified cell type
B680.	Acute leukaemia NOS
B681.	Chronic leukaemia NOS
B682.	Subacute leukaemia NOS
B68y.	Other leukaemia of unspecified cell type
B68z.	Leukaemia NOS
B69..	Myelomonocytic leukaemia
B690.	Acute myelomonocytic leukaemia
B691.	Chronic myelomonocytic leukaemia
B692.	Subacute myelomonocytic leukaemia
B6y..	Malignant neoplasm lymphatic or haematopoietic tissue OS
B6z..	Malignant neoplasm lymphatic or haematopoietic tissue NOS
BBg1.	[M]Malignant lymphoma NOS
BBg10	[M]Malignant lymphoma, diffuse NOS
BBg2.	[M]Malignant lymphoma, non-Hodgkin's type
BBg3.	[M]Malignant lymphoma, undifferentiated cell type NOS
BBg4.	Malignant lymphoma, stem cell type
BBg5.	[M]Malignant lymphoma, convoluted cell type NOS
BBg6.	[M]Lymphosarcoma NOS
BBg7.	[M]Malignant lymphoma, lymphoplasmacytoid type
BBg8.	[M]Malignant lymphoma, immunoblastic type
BBg9.	[M]Mal lymphoma, mix lymph-hist NOS (& [diff reticulosarc])
BBgA.	[M]Malignant lymphoma, centroblastic-centrocytic, diffuse
BBgB.	[M]Malignant lymphoma, follicular centre cell NOS
BBgC.	[M]Malignant lymphoma, lymphocytic, well differentiated NOS
BBgD.	[M]Malig lymphoma, lymphocytic, intermediate different NOS
BBgE.	[M]Malignant lymphoma, centrocytic
BBgF.	[M]Malignant lymphoma, follicular centre cell, cleaved NOS
BBgG.	[M]Malignant lymphoma, lymphocytic, poorly different NOS
BBgH.	[M]Prolymphocytic lymphosarcoma
BBgJ.	[M]Malignant lymphoma, centroblastic type NOS
BBgK.	[M]Malig lymphoma, follicular centre cell, non-cleaved NOS
BBgL.	[M]Malignant lymphoma, small lymphocytic NOS
BBgM.	[M]Malignant lymphoma, small cleaved cell, diffuse
BBgN.	[M]Malign lymphoma,lymphocytic,intermediate differn, diffuse
BBgP.	[M]Malignant lymphoma, mixed small and large cell, diffuse
BBgQ.	[M]Malignant lymphomatous polyposis
BBgR.	[M]Malignant lymphoma, large cell, diffuse NOS
BBgS.	[M]Malignant lymphoma, large cell, cleaved, diffuse
BBgT.	[M]Malignant lymphoma, large cell, non-cleaved, diffuse
BBgV.	[M]Malignant lymphoma, small cell, non-cleaved, diffuse
BBgz.	[M]Lymphoma, diffuse or NOS
BBh..	Reticulosarcoma morphology
BBh1.	Reticulosarcoma, pleomorphic cell type
BBh2.	Reticulosarcoma, nodular
BBj..	[M]Hodgkin's disease
BBj0.	[M]Hodgkin's disease NOS (& [lymphogranuloma malignant])
BBj1.	[M]Hodgkin's disease, lymphocytic predominance
BBj10	[M]Hodgkin,s disease, lymphocytic predominance, diffuse
BBj11	[M]Hodgkin,s disease, lymphocytic predominance, nodular
BBj2.	[M]Hodgkin's disease, mixed cellularity
BBj3.	[M]Hodgkin's disease, lymphocytic depletion NOS
BBj4.	[M]Hodgkin's disease,lymphocytic depletion,diffuse fibrosis
BBj5.	[M]Hodgkin's disease, lymphocytic depletion, reticular type
BBj6.	[M]Hodgkin's disease, nodular sclerosis NOS
BBj60	[M]Hodgkin,s disease, nodular sclerosis, lymphocytic predom
BBj61	[M]Hodgkin,s disease, nodular sclerosis, mixed cellularity
BBj62	[M]Hodgkin's disease, nodular sclerosis, lymphocytic deplet
BBj7.	[M]Hodgkin's disease, nodular sclerosis, cellular phase
BBj9.	[M]Hodgkin's granuloma
BBjA.	[M]Hodgkin's sarcoma
BBk..	Lymphoma, nodular or follicular
BBk0.	[M]Malignant lymphoma, nodular NOS (& [Brill-Symmers dis])
BBk1.	[M]Malig lymphoma, mixed lymphocytic-histiocytic, nodular
BBk2.	[M]Malignant lymphoma, centroblastic-centrocytic, follicular
BBk3.	Malign lymphoma, lymphocytic, well differentiated, nodular
BBk4.	Malig lymphoma,lymphocytic,intermed differentiation,nodular
BBk5.	Malig lymphoma, follicular centre cell, cleaved, follicular
BBk6.	Malig lymphoma, lymphocytic, poorly differentiated, nodular
BBk7.	[M]Malignant lymphoma, centroblastic type, follicular
BBk8.	[M]Mal lymphoma, follic centre cell, non-cleaved, follicular
BBkz.	[M]Lymphoma, nodular or follicular NOS
BBl..	[M]Mycosis fungoides
BBl1.	[M]Sezary's disease
BBlz.	[M]Mycosis fungoides NOS
BBm1.	[M]Malignant histiocytosis
BBm2.	[M]Histiocytic medullary reticulosis
BBm3.	[M]Letterer - Siwe disease
BBm4.	[M]True histiocytic lymphoma
BBm5.	[M] Peripheral T-cell lymphoma NOS
BBm6.	[M] Alpha heavy chain disease
BBm8.	[M] Angioimmunoblastic lymphadenopathy
BBmD.	[M] Cutaneous lymphoma
BBmE.	[M] Gamma heavy chain disease
BBmH.	[M] Large cell lymphoma
BBn..	[M]Plasma cell tumours
BBn0.	[M]Plasma cell myeloma
BBn2.	[M]Plasmacytoma NOS
BBn3.	Plasma cell tumour, malignant
BBnz.	[M]Plasma cell tumour NOS
BBp1.	Mast cell sarcoma
BBp2.	[M]Malignant mastocytosis
BBq..	[M]Burkitt's tumours
BBq0.	[M]Burkitt's tumour
BBqz.	[M]Burkitt's tumour NOS
BBr..	Leukaemia morphology
BBr0.	[M]Leukaemias unspecified
BBr00	[M]Leukaemia NOS
BBr01	[M]Acute leukaemia NOS
BBr02	[M]Subacute leukaemia NOS
BBr03	[M]Chronic leukaemia NOS
BBr04	[M]Aleukaemic leukaemia NOS
BBr0z	[M]Leukaemia unspecified, NOS
BBr1.	Compound leukaemias
BBr10	[M]Compound leukaemia
BBr1z	[M]Compound leukaemia NOS
BBr2.	[M]Lymphoid leukaemias
BBr20	[M]Lymphoid leukaemia NOS
BBr21	[M]Acute lymphoid leukaemia
BBr22	[M]Subacute lymphoid leukaemia
BBr23	[M]Chronic lymphoid leukaemia
BBr24	[M]Aleukaemic lymphoid leukaemia
BBr25	[M]Prolymphocytic leukaemia
BBr26	Burkitt's cell leukaemia
BBr27	[M]Adult T-cell leukaemia/lymphoma
BBr2z	[M]Other lymphoid leukaemia NOS
BBr3.	[M]Plasma cell leukaemias
BBr30	[M]Plasma cell leukaemia
BBr3z	[M]Plasma cell leukaemia NOS
BBr4.	[M]Erythroleukaemias
BBr40	[M]Erythroleukaemia
BBr41	Acute erythraemia
BBr42	[M]Chronic erythraemia
BBr4z	[M]Erythroleukaemia NOS
BBr50	[M]Lymphosarcoma cell leukaemia
BBr5z	[M]Lymphosarcoma cell leukaemia NOS
BBr6.	[M]Myeloid leukaemias
BBr60	[M]Myeloid leukaemia NOS
BBr61	[M]Acute myeloid leukaemia
BBr62	[M]Subacute myeloid leukaemia
BBr63	[M]Chronic myeloid leukaemia
BBr64	[M]Aleukaemic myeloid leukaemia
BBr65	[M]Neutrophilic leukaemia
BBr66	[M]Acute promyelocytic leukaemia
BBr67	[M]Acute myelomonocytic leukaemia
BBr68	[M]Chronic myelomonocytic leukaemia
BBr6z	[M]Other myeloid leukaemia NOS
BBr7.	[M]Basophilic leukaemias
BBr70	[M]Basophilic leukaemia
BBr7z	[M]Basophilic leukaemia NOS
BBr8.	[M]Eosinophilic leukaemias
BBr80	Eosinophilic leukaemia
BBr8z	[M]Eosinophilic leukaemia NOS
BBr9.	[M]Monocytic leukaemias
BBr90	[M]Monocytic leukaemia NOS
BBr91	[M]Acute monocytic leukaemia
BBr92	[M]Subacute monocytic leukaemia
BBr93	[M]Chronic monocytic leukaemia
BBr94	[M]Aleukaemic monocytic leukaemia
BBr9z	[M]Other monocytic leukaemia NOS
BBrA.	[M]Miscellaneous leukaemias
BBrA0	[M]Mast cell leukaemia
BBrA1	[M]Megakaryocytic leukaemia
BBrA2	Megakaryocytic myelosis
BBrA3	[M]Myeloid sarcoma
BBrA5	[M]Acute megakaryoblastic leukaemia
BBrA7	[M]Acute myelofibrosis
BBrA8	[M]Leukaemic reticuloendotheliosis
BBrAz	[M]Miscellaneous leukaemia NOS
BBs..	[M]Misc myeloproliferative and lymphoproliferative disorders
BBs1.	[M]Acute panmyelosis
BBv0.	[M]Monocytoid B-cell lymphoma
BBv2.	[M]AngiocentricT-cell lymphoma
ByuD.	[X]Malignant neoplasms of lymphoid, haematopoietic and rela
ByuD0	[X]Other Hodgkin's disease
ByuD1	[X]Other types of follicular non-Hodgkin's lymphoma
ByuD2	[X]Other types of diffuse non-Hodgkin's lymphoma
ByuD3	[X]Other specified types of non-Hodgkin's lymphoma
ByuD4	[X]Other malignant immunoproliferative diseases
ByuD5	[X]Other lymphoid leukaemia
ByuD6	[X]Other myeloid leukaemia
ByuD7	[X]Other monocytic leukaemia
ByuD8	[X]Other specified leukaemias
ByuD9	[X]Other leukaemia of unspecified cell type
ByuDA	[X]Oth spcf mal neoplsm/lymphoid,haematopoietic+rltd tissue
ByuDB	[X]Mal neoplasm/lymphoid,haematopoietic+related tissu,unspcf
ByuDC	[X]Diffuse non-Hodgkin's lymphoma, unspecified
ByuDE	[X]Unspecified B-cell non-Hodgkin's lymphoma
ByuH6	[X]Neoplasm/uncertn+unknwn behavior/oth myelodysplastic synd
C333.	Macroglobulinaemia
C3330	Waldenstrom's macroglobulinaemia
C3331	Alpha heavy chain disease
C3332	Gamma heavy chain disease
C333z	Macroglobulinaemia NOS
