1429.	H/O: * leukaemia
Xa3AH	Metastasis to peritoneum of unknown primary
Xa3AI	Metastasis to retroperitoneum of unknown primary
Xa3AJ	Metastasis to bone of unknown primary
Xa3AK	Metastasis to vertebral column of unknown primary
Xa3Ba	Metastasis to eye of unknown primary
Xa3Bb	Metastasis to adrenal gland of unknown primary
Xa3Bc	Metastasis to lymph node of unknown primary
Xa3Bd	Disseminated malignancy of unknown primary
Xa3BF	Metastasis to skin of unknown primary
Xa3BG	Metastasis to soft tissue of unknown primary
Xa3BH	Metastasis to breast of unknown primary
Xa3BI	Metastasis to uterus of unknown primary
Xa3BL	Metastasis to ovary of unknown primary
Xa3BM	Metastasis to vagina of unknown primary
Xa3BN	Metastasis to kidney of unknown primary
Xa3BX	Metastasis to bladder of unknown primary
Xa3BZ	Metastasis to brain of unknown primary
Xa3Ea	Acute myeloblastic leukaemia without maturation
Xa3Ec	Acute myeloblastic leukaemia with maturation
Xa3Ee	Acute promyelocytic leukaemia - hypogranular variant
Xa3eF	Carcinoma liver/biliary system
Xa3eG	Carcinoma liver/biliary system NOS
Xa3eH	Carcinoma of upper limb bones/scapula
Xa3eI	Carcinoma of lower limb bones
Xa3eK	Ca breast - nipple/central
Xa3eL	Carcinoma of breast - upper, inner quadrant
Xa3eM	Carcinoma of breast - lower, inner quadrant
Xa3eN	Carcinoma of breast - upper, outer quadrant
Xa3eO	Carcinoma breast - lower, outer quadrant
Xa3eP	Carcinoma of breast - axillary tail
Xa3eQ	Carcinoma of breast NOS
Xa3eR	Carcinoma genital organs
Xa3eS	Carcinoma of epididymis/spermatic cord
Xa3eT	Carcinoma of genital organs NOS
Xa3eU	Secondary carcinoma of gastrointestinal tract
Xa3EW	Acute myeloblastic leukaemia - undifferentiated
Xa3HG	Acute myelomonocytic leukaemia - eosinophilic variant
Xa3rj	Secondary carcinoma NOS
Xa7n9	Transitional cell carcinoma of ureter
Xa84V	Adenocarcinoma of sigmoid colon
Xa8Jb	T-cell lymphoma
Xa97o	Malignant tumour of fraenum of lip
Xa97p	Malignant tumour of anterior two-thirds of tongue
Xa97q	Malignant tumour of liver
Xa97r	Intrahepatic bile duct carcinoma
Xa97s	Malignant tumour of soft tissue
Xa97t	Malignant tumour of soft tissue of head, face and neck
Xa97u	Malignant tumour of soft tissue of shoulder
Xa97v	Malignant tumour of soft tissue of hip
Xa97w	Malignant tumour of soft tissue of thorax
Xa97x	Malignant tumour of soft tissue of pelvis
Xa97y	Malignant tumour of vulva
Xa97z	Malignant tumour of unknown origin or ill-defined site
Xa980	Metastasis to lymph node
Xa981	Metastasis to epididymis
Xa982	Metastatic malignant disease
Xa98N	Glucagonoma
Xa99k	Malignant lymphoma
Xa99l	Malignant lymphoma - small lymphocytic
Xa99n	Diffuse malignant lymphoma - centroblastic
Xa99p	Dermatofibrosarcoma
Xa99w	Nodular malignant lymphoma, lymphocytic - well differentiated
Xa99Y	Lentigo maligna melanoma
Xa99z	Nodular malignant lymphoma, lymphocytic - intermediate differentiation
Xa9A0	Nephroblastoma
Xa9A8	Malignant phyllodes tumour
Xa9A9	Synovial sarcoma
Xa9AM	Acute leukaemia
Xa9AN	Subacute leukaemia
Xa9AO	Chronic leukaemia
Xa9AP	Aleukaemic leukaemia
Xa9CQ	Gestational trophoblastic disease
Xa9EA	Malignant tumour of posterior wall of hypopharynx
Xa9EH	Malignant lymphoma, convoluted cell type
Xa9FC	Malignant lymphoma, follicular centre cell
Xa9FD	Malignant lymphoma, follicular centre cell, cleaved
Xa9FE	Malignant lymphoma, follicular centre cell, non-cleaved
Xa9Jc	Metastasis to head and neck lymph node
Xa9Je	Metastasis to intrathoracic lymph node
Xa9Jg	Metastasis to intra-abdominal lymph node
Xa9Ji	Metastasis to upper limb lymph node
Xa9Jk	Metastasis to lower limb lymph node
Xa9Jm	Metastasis to intrapelvic lymph node
Xa9Jo	Metastasis to multiple lymph nodes
XaA0C	Adenocarcinoma of ileum
Xaa1N	Clinical stage A chronic lymphocytic leukaemia
Xaa1O	Clinical stage B chronic lymphocytic leukaemia
Xaa1P	Clinical stage C chronic lymphocytic leukaemia
XaAtd	Ca rectum + Ca anus NOS
XaB1b	Perforated carcinoma of oesophagus
XaB1e	Retroperitoneal sarcoma
XaB1g	Carcinoma of head of pancreas
XaB1h	Carcinoma of body of pancreas
XaB1i	Carcinoma of tail of pancreas
XaB1p	Metastatic adenocarcinoma of unknown origin
XaB47	Atypical hairy cell leukaemia
XaB8h	Squamous cell carcinoma of mouth
XaBA5	Osteosarcoma of bone
XaBAk	Malignant mastocytosis
XaBAl	Erythroleukaemia
XaBAm	Basophilic leukaemia
XaBAn	Carcinomatosis
XaBAp	Bronchioloalveolar adenocarcinoma of lung
XaBAt	Sebaceous adenocarcinoma
XaBAu	Pseudomyxoma peritonei
XaBAw	Malignant blue naevus of skin
XaBB1	Ewing's sarcoma of bone
XaBB2	Adamantinoma of long bone
XaBB3	Plasma cell leukaemia
XaBB4	Pilomatrix carcinoma of skin
XaBBb	Hodgkin's disease, lymphocytic depletion, reticular type
XaBBc	Hodgkin's disease, nodular sclerosis - cellular phase
XaBBd	Malignant lymphoma, mixed lymphocytic-histiocytic, nodular
XaBBF	Kaposi's sarcoma
XaBBM	Prolymphocytic lymphosarcoma
XaBBN	Malignant lymphoma - lymphoplasmacytic
XaBBO	Diffuse malignant lymphoma - centroblastic-centrocytic
XaBBP	Malignant lymphoma - centrocytic
XaBBr	Microglioma
XaBBs	Histiocytic medullary reticulosis
XaBBt	Myelosclerosis with myeloid metaplasia
XaBBu	Idiopathic thrombocythaemia
XaBBZ	Hodgkin's disease, lymphocytic depletion, diffuse fibrosis
XaBLv	Malignant neoplasm of epiglottis NOS
XaBLw	Follicular non-Hodgkin's lymphoma
XaBLx	Plasmacytoma NOS
XaBmX	Adenocarcinoma of uterus
XaC0y	Secondary malignant neoplasm of tongue
XaC1Q	Malignant neoplasm, overlapping lesion of brain
XaC2J	Malignant neoplasm of lip, unspecified
XaCIv	Malignant melanoma of back
XaCJ1	Primary malignant neoplasm of unknown site
XaCJU	Malignant tumour of soft tissue of back
XaCKx	Malignant neoplasm of canthus
XaD2P	Malignant neoplasm of pinna NEC
XaDbr	Cholangiocarcinoma of biliary tract
XaDc5	Carcinoma of ascending colon
XaDc6	Carcinoma of transverse colon
XaDc7	Carcinoma of descending colon
XaDc8	Carcinoma of hepatic flexure
XaDc9	Carcinoma of splenic flexure
XaE68	Ocular lymphoma
XaE6L	Retinal pigment epithelial adenocarcinoma
XaEfj	Cystadenocarcinoma of ovary
XaEGU	Malignant melanoma of chest wall
XaEGV	Malignant neoplasm of upper eyelid
XaEGW	Malignant neoplasm of lower eyelid
XaEJe	Squamous cell carcinoma of bronchus in left lower lobe
XaEJf	Squamous cell carcinoma of bronchus in left upper lobe
XaEJg	Squamous cell carcinoma of bronchus in right lower lobe
XaEJh	Squamous cell carcinoma of bronchus in right middle lobe
XaEJi	Squamous cell carcinoma of bronchus in right upper lobe
XaELI	Lambda light chain myeloma
XaELJ	Seminoma of undescended testis
XaELK	Seminoma of descended testis
XaELL	Teratoma of descended testis
XaELM	Teratoma of undescended testis
XaEY9	Malignant neoplasm of mesentery
XaF1E	Leukaemic infiltrate of choroid
XaF26	Leukaemic infiltrate of retina
XaFr4	Local recurrence of malignant tumour of tongue
XaFr5	Local recurrence of malignant tumour of buccal cavity
XaFr6	Local recurrence of malignant tumour of thyroid gland
XaFr7	Local recurrence of malignant tumour of lung
XaFr8	Local recurrence of malignant tumour of breast
XaFrc	Metastases by primary malignancy
XaFrD	Local recurrence of malignant tumour of oesophagus
XaFrE	Local recurrence of malignant tumour of stomach
XaFrF	Local recurrence of malignant tumour of gallbladder
XaFrG	Local recurrence of malignant tumour of liver
XaFrH	Local recurrence of malignant tumour of pancreas
XaFrI	Local recurrence of malignant tumour of colon
XaFrJ	Local recurrence of malignant tumour of rectum
XaFrK	Local recurrence of malignant tumour of kidney
XaFrL	Local recurrence of malignant tumour of urinary bladder
XaFrM	Local recurrence of malignant tumour of prostate
XaFrN	Local recurrence of malignant tumour of cervix
XaFro	Metastasis from malignant tumour of colon
XaFrp	Metastasis from malignant tumour of pancreas
XaFrQ	Local recurrence of malignant tumour of bone
XaFrR	Local recurrence of malignant tumour of soft tissue
XaFrs	Metastasis from malignant tumour of stomach
XaFrT	Local recurrence of malignant melanoma of skin
XaFru	Metastasis from malignant tumour of breast
XaFrv	Metastasis from malignant tumour of bronchus
XaFrw	Metastasis from malignant tumour of lung
XaFrx	Metastasis from malignant tumour of thyroid
XaFry	Metastasis from malignant tumour of buccal cavity
XaFrz	Metastasis from malignant tumour of tongue
XaFzu	Malignant neoplasm of bone
XaJgM	Somatostatinoma of pancreas
XaJM3	Osteosarcoma - disorder
XaJU6	Breast cancer detected by national screening programme
XaKWz	Malignant sacral teratoma
XaMeL	Malignant neoplasm of descended testis NOS
XaN5C	Bowel cancer detected by national screening programme
XaOqX	Siewert type II adenocarcinoma
XaOrB	Siewert type III adenocarcinoma
XaOrV	Siewert type I adenocarcinoma
XaQbT	Poikiloderma vasculare atrophicans
XaXQk	Secondary malignant neoplasm of large intestine and rectum
XaYdL	Juvenile myelomonocytic leukaemia
XaYeq	Secondary malignant neoplasm of liver and intrahepatic bile duct
XaYgm	Primary mediastinal (thymic) large B-cell lymphoma
XaYi5	Diffuse follicle centre lymphoma
XaYiI	Anaplastic lymphoma kinase negative anaplastic large cell lymphoma
XaYij	Follicular lymphoma grade 1
XaYiL	Anaplastic lymphoma kinase positive anaplastic large cell lymphoma
XaYim	Follicular lymphoma grade 3b
XaYin	Cutaneous follicle centre lymphoma
XaYip	Sarcoma of dendritic cells
XaYis	Atypical chronic myeloid leukaemia, BCR/ABL negative
XaYj0	Chronic myelogenous leukaemia, BCR/ABL positive
XaYj4	Acute myeloid leukaemia with myelodysplasia-related changes
XaYj9	Acute myeloid leukaemia with 11q23 abnormality
XaYje	Extranodal natural killer/T-cell lymphoma, nasal type
XaYjf	Subcutaneous panniculitic T-cell lymphoma
XaYjI	Primary cutaneous CD30 antigen positive large T-cell lymphoma
XaYk0	Blastic plasmacytoid dendritic cell neoplasm
XaYv2	Refractory anaemia with multilineage dysplasia
XaZdD	Follicular lymphoma grade 3
XaZdF	Follicular lymphoma grade 2
XaZdn	Diffuse large B-cell lymphoma
XaZfR	Adult T-cell leukaemia/lymphoma
XC0dw	Malignant disease
XE1va	Malignant tumour of middle ear and mastoid
XE1vb	Malignant neoplasm of upper lobe, bronchus or lung
XE1vc	Malignant neoplasm of bronchus or lung NOS
XE1ve	Malignant neoplasm of hand bones
XE1vf	Malignant neoplasm of short bones of leg
XE1vg	Malignant neoplasm of soft tissue
XE1vi	Malignant tumour of cervix
XE1vj	Malignant neoplasm of vulva unspecified
XE1vk	Malignant neoplasm of testis NOS
XE1vl	Malignant tumour of adrenal gland
XE1vm	Secondary malignant neoplasm of respiratory and digestive systems
XE1vn	Disseminated malignancy NOS
XE1vO	Malignant tumour of lip
XE1vp	Nodular lymphoma
XE1vq	Lymphoid and histiocytic malignancy NOS
XE1vr	Chronic erythraemia
XE1vS	Malignant tumour of lesser curve of stomach
XE1vT	Malignant tumour of greater curve of stomach
XE1vU	Malignant tumour of caecum
XE1vV	Malignant neoplasm of colon NOS
XE1vW	Malignant tumour of rectum
XE1vX	Malignant tumour of anal canal
XE1vY	Malignant tumour of gallbladder
XE1vZ	Malignant tumour of respiratory and intrathoracic organ
XE1wg	[X]Mesothelioma of other sites
XE1wj	Malignant neoplasms (& carcinoma)
XE1wn	Carcinoma of lip
XE1wp	Tongue carcinoma
XE1wx	Ca lip, oral, pharynx NOS
XE1wz	Ca upper third oesophagus
XE1x1	Ca middle third oesophagus
XE1x3	Ca lower third oesophagus
XE1x5	Ca oesophagus NOS
XE1x7	Ca cardia - stomach
XE1x9	Ca pylorus - stomach
XE1xb	(Ca appendix) or (appendix carcinoma)
XE1xD	Ca Body - stomach
XE1xF	Ca lesser curvature - stomach
XE1xH	Ca greater curvature - stomach
XE1xj	(Ca rectum) or (rectum carcinoma)
XE1xl	(Ca anus) or (anus carcinoma)
XE1xN	Ca hepatic flexure - colon
XE1xp	Ca liver - primary
XE1xR	Ca descending colon
XE1xT	Ca sigmoid colon
XE1xV	(Ca caecum) or (caecum carcinoma)
XE1xX	Ca ascending colon
XE1xz	Ca head of pancreas
XE1y1	Ca body of pancreas
XE1y3	Ca tail of pancreas
XE1y5	Ca pancreas NOS
XE1y7	Ca larynx - glottis
XE1y9	Ca larynx - supraglottis
XE1yB	Ca larynx - subglottis
XE1yD	Ca larynx - NOS
XE1yf	Ca lower limb bones
XE1yh	Ca bone/joint cartilage NOS
XE1yJ	Ca main bronchus
XE1yL	Ca upper lobe bronchus/lung
XE1yN	Ca middle lobe bronchus/lung
XE1yP	Ca lower lobe bronchus/lung
XE1yR	Ca trachea/bronchus/lung NOS
XE1yX	(Ca vertebral column) or (spine carcinoma)
XE1yZ	Ca ribs/sternum/clavicle
XE1z7	(Paget's disease of nipple) or (Ca breast - nipple/central)
XE1z9	Ca breast-upper,inner quadrant
XE1zB	Ca breast-lower,inner quadrant
XE1zD	Ca breast-upper,outer quadrant
XE1zF	Ca breast-lower,outer quadrant
XE1zH	Ca breast - axillary tail
XE1zj	(Carcinoma bladder) or (bladder Ca)
XE1zL	Ca breast - NOS
XE1zn	Ca kidney/urinary organs NOS
XE1zP	Ca cervix uteri - endocervix
XE1zR	Ca cervix uteri - exocervix
XE1zT	Ca cervix uteri NOS
XE1zX	Ca ovary/other uterine adnexa
XE1zz	Secondary nodes - axilla/arm
XE201	Secondary nodes - inguinal/leg
XE203	Secondary nodes NOS
XE205	(Secondary Ca specified sites) or (metastases specified sites) or (secondary Ca known site)
XE207	Secondary Ca GIT
XE20B	Secondary Ca NOS
XE20H	Ca - unspecified site NOS
XE20N	Multiple myeloma etc.
XE20T	Leukaemia - specif. cell NOS
XE2bV	Malignant lymphoma - immunoblastic
XE2rk	Malignant neoplasm of lip, oral cavity and pharynx
XE2t9	[X]Non-Hodgkin's lymphoma, unspecified type
XE2vi	Acute erythraemia and erythroleukaemia
XE2vj	Malignant hydatidiform mole
XE2vN	Malignant neoplasm of common bile duct
XE2vO	Malignant neoplasm of bone, connective tissue, skin and breast
XE2vP	Malignant neoplasm of genitourinary organ
XE2vQ	Malignant neoplasm of kidney and other unspecified urinary organs
XE2vR	Malignant neoplasm of other and unspecified sites
XE2vS	Malignant brain tumour
XE2vT	Secondary malignant neoplasm of other specified sites
XE2xB	Secondary and unspecified malignant neoplasm of lymph nodes
XM00E	Malignant tumour of lower labial mucosa
XM00F	Malignant tumour of ill-defined site
XM0Ac	Carcinoma of base of tongue
XM0Ad	Metastasis to large intestine
XM0pb	Tonsil carcinoma
XM0pq	Cerebrum Ca
XM0ps	Malignant melanoma of eye
XM0pv	Secondary malignant neoplasm of unknown site
XM0pZ	Palate carcinoma
XM1FE	Combined hepatocellular carcinoma and cholangiocarcinoma
XM1FM	Malignant lymphoma - lymphocytic, intermediate differentiation
XM1MM	Metastasis to digestive organs
XM1Oc	Carcinoma ventral surface of tongue
XM1Od	Carcinoma anterior 2/3 tongue ventrum
XM1Oe	Carcinoma of anterior two-thirds of tongue - dorsal surface
XM1Of	Carcinoma of midline of tongue
XM1Oi	Malignant tumour of lipstick area of lip
XM1P4	Primary vulval cancer
XM1Pr	Cerebral metastasis
XM1Ps	Cerebral tumour - malignant
XM1QO	Carcinoma of tongue base - dorsal surface
XM1Qz	Immunoproliferative neoplasm
XM1R8	H/O: * lung
XSA0M	Secondary malignant neoplasm of mouth
ZV106	[V]Personal history of leukaemia
ZVu6G	[X]Personal history of other malignant neoplasms of lymphoid, haematopoietic and related tissues
